ID,orig_ID,orig_source,number,volume,title,journal,author,grobid-version,file,ENTRYTYPE,doi,year,note
P_0000000031,0000000031,pdf,4,43,USING EYE TRACKING TO EXPOSE COGNITIVE PROCESSES IN UNDERSTANDING CONCEPTUAL MODELS 1,MIS Quarterly,"Bera, Palash and Soffer, Pnina and Parsons, Jeffrey",lfoppiano/grobid:0.8.1,data/pdfs/43_4/BeraSofferParsons2019.pdf,article,10.25300/MISQ/2019/14163,,
P_0000000032,0000000032,pdf,2,31,INTEGRATING SCIENTIFIC WITH INDIGENOUS KNOWLEDGE: CONSTRUCTING KNOWLEDGE ALLIANCES FOR LAND MANAGEMENT IN INDIA 1,MIS Quarterly,"Puri, Satish K",lfoppiano/grobid:0.8.1,data/pdfs/31_2/Puri2007.pdf,article,,,
P_0000000033,0000000033,pdf,1,36,"SHACKLED TO THE STATUS QUO: THE INHIBITING EFFECTS OF INCUMBENT SYSTEM HABIT, SWITCHING COSTS, AND INERTIA ON NEW SYSTEM ACCEPTANCE 1",MIS Quarterly,"Polites, Greta L and Karahanna, Elena",lfoppiano/grobid:0.8.1,data/pdfs/36_1/PolitesKarahanna2012.pdf,article,,,
P_0000000034,0000000034,pdf,4,39,"ME, MY SELF, AND I(T): CONCEPTUALIZING INFORMATION TECHNOLOGY IDENTITY AND ITS IMPLICATIONS 1",MIS Quarterly,"Carter, Michelle and Grover, Varun",lfoppiano/grobid:0.8.1,data/pdfs/39_4/CarterGrover2015.pdf,article,,,
P_0000000035,0000000035,pdf,3,4,DEVELOPING A COST JUSTIFIED NATION-WIDE COMMUNICA-TIONS NETWORK: A SYSTEMS APPROACH*,MIS Quarterly,"Perry, George M",lfoppiano/grobid:0.8.1,data/pdfs/4_3/Perry1980.pdf,article,,,
P_0000000036,0000000036,pdf,1,28,"REVIEW: THE RESOURCE-BASED VIEW AND INFORMATION SYSTEMS RESEARCH: REVIEW, EXTENSION, AND SUGGESTIONS FOR FUTURE RESEARCH 1",MIS Quarterly,"Wade, Michael and Hulland, John",lfoppiano/grobid:0.8.1,data/pdfs/28_1/WadeHulland2004.pdf,article,,,
P_0000000037,0000000037,pdf,4,28,BRIDGING USER ORGANIZATIONS: KNOWLEDGE BROKERING AND THE WORK OF INFORMATION TECHNOLOGY PROFESSIONALS 1,MIS Quarterly,"Pawlowski, Suzanne D and Robey, Daniel",lfoppiano/grobid:0.8.1,data/pdfs/28_4/PawlowskiRobey2004.pdf,article,,,
P_0000000038,0000000038,pdf,2,43,NURTURING ONLINE COMMUNITIES: AN EMPIRICAL INVESTIGATION 1,MIS Quarterly,"Bapna, Sofia and Benner, Mary J and Qiu, Liangfei",lfoppiano/grobid:0.8.1,data/pdfs/43_2/BapnaBennerQiu2019.pdf,article,10.25300/MISQ/2019/14530,,
P_0000000039,0000000039,pdf,3,5,"Managers, Computer Systems, and Productivity*",MIS Quarterly,"Berger, Paul and Edelman, Franz",lfoppiano/grobid:0.8.1,data/pdfs/5_3/Edelman1981.pdf,article,,,
P_0000000040,0000000040,pdf,3,31,"THE SPATIAL, TEMPORAL, AND CONFIGURATIONAL CHARACTERISTICS OF GEOGRAPHIC DISPERSION IN TEAMS 1",MIS Quarterly,"Boyer, Michael and Leary, O. ' and Cummings, Jonathon N",lfoppiano/grobid:0.8.1,data/pdfs/31_3/OLearyCummings2007.pdf,article,,,
P_0000000042,0000000042,pdf,2,24,"Roepke, Agarwal, & Ferratt/lT Human Resource Vision at 3M -ALIGNING THE IT HUMAN RESOURCE WITH BUSINESS VISION: THE LEADERSHIP INITIATIVE AT 3M 2",MIS Quarterly,"Roepke, Robert and Agarwal, Ritu and Smith, Robert H and Ferratt, Thomas W",lfoppiano/grobid:0.8.1,data/pdfs/24_2/RoepkeAgarwalFerratt2000.pdf,article,,,
P_0000000043,0000000043,pdf,2,10,Information Technology and Corporate Strategy: A Research Perspective,MIS Quarterly,"Yannis Bakos, J. and Treacy, Michael E",lfoppiano/grobid:0.8.1,data/pdfs/10_2/BakosTreacy1986.pdf,article,,,
P_0000000044,0000000044,pdf,3,44,ALTRUISM OR SHREWD BUSINESS? IMPLICATIONS OF TECHNOLOGY OPENNESS ON INNOVATIONS AND COMPETITION 1,MIS Quarterly,"Huang, He and Parker, Geoffrey and Freeman, A. B and Xu, Hongyan",lfoppiano/grobid:0.8.1,data/pdfs/44_3/HuangParkerTanEtAl2020.pdf,article,10.25300/MISQ/2020/14589,,
P_0000000045,0000000045,pdf,1,41,AN EMPIRICAL ANALYSIS OF INTELLECTUAL PROPERTY RIGHTS SHARING IN SOFTWARE DEVELOPMENT OUTSOURCING 1,MIS Quarterly,"Chen, Yuanyuan and Bharadwaj, Anandhi and Goh, Khim-Yong",lfoppiano/grobid:0.8.1,data/pdfs/41_1/ChenBharadwajGoh2017.pdf,article,,,
P_0000000046,0000000046,pdf,3,42,SOCIAL PRESENCE IN VIRTUAL WORLD COLLABORATION: AN UNCERTAINTY REDUCTION PERSPECTIVE USING A MIXED METHODS APPROACH 1,MIS Quarterly,"Srivastava, Shirish C and Chandra, Shalini",lfoppiano/grobid:0.8.1,data/pdfs/42_3/SrivastavaChandra2018.pdf,article,10.25300/MISQ/2018/11914,,
P_0000000047,0000000047,pdf,1,17,Training End Users: An Experimental Investigation of the Roles of the Computer Interface and Training Methods,MIS Quarterly,"Davis, Sid A and Bostrom, Robert P",lfoppiano/grobid:0.8.1,data/pdfs/17_1/DavisBostrom1993.pdf,article,,,
P_0000000048,0000000048,pdf,3,24,UNDERSTANDING SOFTWARE OPERATIONS SUPPORT EXPERTISE: A REVEALED CAUSAL MAPPING APPROACH 1,MIS Quarterly,"Nelson, Kay M and Nadkarni, Sucheta and Box, P. O and Narayanan, V. K",lfoppiano/grobid:0.8.1,data/pdfs/24_3/NelsonNadkarniNarayananEtAl2000.pdf,article,,,
P_0000000049,0000000049,pdf,3,32,"A THREE-PERSPECTIVE MODEL OF CULTURE, INFORMATION SYSTEMS, AND THEIR DEVELOPMENT AND USE 1",MIS Quarterly,"Kappos, Antonio and Rivard, Suzanne",lfoppiano/grobid:0.8.1,data/pdfs/32_3/KapposRivard2006.pdf,article,,,
P_0000000050,0000000050,pdf,3,38,EMERGENCE OF POWER LAWS IN ONLINE COMMUNITIES: THE ROLE OF SOCIAL MECHANISMS AND PREFERENTIAL ATTACHMENT 1,MIS Quarterly,"Johnson, Steven L and Faraj, Samer and Kudaravalli, Srinivas",lfoppiano/grobid:0.8.1,data/pdfs/38_3/JohnsonFarajKudaravalli2014.pdf,article,,,
P_0000000051,0000000051,pdf,2,38,QUALITY COMPETITION AND MARKET SEGMENTATION IN THE SECURITY SOFTWARE MARKET 1,MIS Quarterly,"Dey, Debabrata and Lahiri, Atanu and Zhang, Guoying",lfoppiano/grobid:0.8.1,data/pdfs/38_2/DeyLahiriZhang2014.pdf,article,,,
P_0000000052,0000000052,pdf,4,27,Weber/Editor's Comments,MIS Quarterly,"Weber, Ron",lfoppiano/grobid:0.8.1,data/pdfs/27_4/Weber2003c.pdf,article,,,
P_0000000053,0000000053,pdf,2,42,ECONOMIC EXPERIMENTS IN INFORMATION SYSTEMS 1,MIS Quarterly,"Gupta, Alok and Kannan, Karthik and Sanyal, Pallab",lfoppiano/grobid:0.8.1,data/pdfs/42_2/GuptaKannanSanyal2018.pdf,article,10.25300/MISQ/2018/13049,,
P_0000000054,0000000054,pdf,4,5,Manager or Technician? The Nature of the Information Systems Manager's Job*,MIS Quarterly,"Ives, Blake and Olson, Margrethe H",lfoppiano/grobid:0.8.1,data/pdfs/5_4/IvesOlson1981.pdf,article,,,
P_0000000055,0000000055,pdf,2,46,EFFECT OF MARKET INFORMATION ON BIDDER ATTRITION IN ONLINE AUCTION MARKETS 1,MIS Quarterly,"Ghasemkhani, Hossein and Goes, Paulo and Tripathi, Arvind K",lfoppiano/grobid:0.8.1,data/pdfs/46_2/GhasemkhaniGoesTripathi2022.pdf,article,10.25300/MISQ/2022/15136,,
P_0000000056,0000000056,pdf,3,5,Evaluating Information System Effectiveness --Part I: Comparing Evaluation Approaches,MIS Quarterly,"Hamilton, Scott and Chervany, Norman L",lfoppiano/grobid:0.8.1,data/pdfs/5_3/HamiltonChervany1981a.pdf,article,,,
P_0000000057,0000000057,pdf,3,1,What The Information Analyst Should Know About Body Language,MIS Quarterly,"Jenkins, A. Milton and Johnson, Randall D",lfoppiano/grobid:0.8.1,data/pdfs/1_3/JenkinsJohnson1977.pdf,article,,,
P_0000000058,0000000058,pdf,3,30,"PROFESSIONAL VERSUS POLITICAL CONTEXTS: INSTITUTIONAL MITIGATION AND THE TRANSACTION COST HEURISTIC IN INFORMATION SYSTEMS OUTSOURCING 1, 2",MIS Quarterly,"Miranda, Shaila M and Kim, Yong-Mi",lfoppiano/grobid:0.8.1,data/pdfs/30_3/MirandaKim2006.pdf,article,,,
P_0000000059,0000000059,pdf,3,37,A DRAMATURGICAL MODEL OF THE PRODUCTION OF PERFORMANCE DATA 1,MIS Quarterly,"Vieira Da Cunha, João",lfoppiano/grobid:0.8.1,data/pdfs/37_3/VieiradaCunha2013.pdf,article,,,
P_0000000060,0000000060,pdf,2,36,THE ASYMMETRIC BENEFITS OF RELATIONAL FLEXIBILITY: EVIDENCE FROM SOFTWARE DEVELOPMENT OUTSOURCING 1 Anandasivam Gopal,MIS Quarterly,"Smith, Robert H and Jones, Jesse H",lfoppiano/grobid:0.8.1,data/pdfs/36_2/GopalKoka2012.pdf,article,,,
P_0000000061,0000000061,pdf,4,41,EXTRACTING REPRESENTATIVE INFORMATION ON INTRA-ORGANIZATIONAL BLOGGING PLATFORMS 1,MIS Quarterly,"Guo, Xunhua and Wei, Qiang and Chen, Guoqing and Zhang, Jin and Qiao, Dandan",lfoppiano/grobid:0.8.1,data/pdfs/41_4/GuoWeiChenEtAl2017.pdf,article,,,
P_0000000062,0000000062,pdf,1,18,Emancipatory Systems Development Realizing Emancipatory Principles in Information Systems Development: The Case for ETHICS,MIS Quarterly,"Hirschheim, Rudy and Klein, Heinz K",lfoppiano/grobid:0.8.1,data/pdfs/18_1/HirschheimKlein1994.pdf,article,,,
P_0000000063,0000000063,pdf,3,19,The MBA Core Course The Information Technology Interaction Model: A Foundation for the MBA Core Course,MIS Quarterly,"Silver, Mark S and Markus, Lynne and Mathis Beath, Cynthia",lfoppiano/grobid:0.8.1,data/pdfs/19_3/SilverMarkusBeath1995.pdf,article,,,
P_0000000064,0000000064,pdf,3,16,The PRISM System: A Key to Organizational Effectiveness at Federal Express Corporation,MIS Quarterly,"Palvla, Prashant C and Zeltmann, Steven M",lfoppiano/grobid:0.8.1,data/pdfs/16_3/PalviaPerkinsZeltmann1992.pdf,article,,,
P_0000000065,0000000065,pdf,4,24,"IS A MAP MORE THAN A PICTURE? THE ROLE OF SDSS TECHNOLOGY, SUBJECT CHARACTERISTICS, AND PROBLEM COMPLEXITY ON MAP READING AND PROBLEM SOLVING 1",MIS Quarterly,"Mennecke Logistics, Brian E and Operations, Management and Crossland, Martin D and Killingsworth, Brenda L",lfoppiano/grobid:0.8.1,data/pdfs/24_4/MenneckeCrosslandKillingsworth2000.pdf,article,,,
P_0000000066,0000000066,pdf,2,37,THE AMBIVALENT ONTOLOGY OF DIGITAL ARTIFACTS 1,MIS Quarterly,"Kallinikos, Jannis and Aaltonen, Aleksi and Marton, Attila",lfoppiano/grobid:0.8.1,data/pdfs/37_2/KallinikosAaltonenMarton2013.pdf,article,,,
P_0000000067,0000000067,pdf,2,42,"CONSUMER PREFERENCES, CANNIBALIZATION, AND COMPETITION: EVIDENCE FROM THE PERSONAL COMPUTER INDUSTRY 1",MIS Quarterly,"Li, Bin and Li, Xinxin and Liu, Hongju",lfoppiano/grobid:0.8.1,data/pdfs/42_2/LiLiLiu2018.pdf,article,10.25300/MISQ/2018/13803,,
P_0000000068,0000000068,pdf,1,45,EDITOR'S COMMENTS Continuing and Extending the MIS Quarterly Trifecta Vision,MIS Quarterly,"Burton-Jones, Andrew",lfoppiano/grobid:0.8.1,data/pdfs/45_1/BurtonJones2021.pdf,article,,,
P_0000000069,0000000069,pdf,3,34,USER PARTICIPATION IN INFORMATION SYSTEMS SECURITY RISK MANAGEMENT 1,MIS Quarterly,"Spears, Janine L and Barki, Henri",lfoppiano/grobid:0.8.1,data/pdfs/34_3/SpearsBarki2010.pdf,article,,,
P_0000000070,0000000070,pdf,3,34,DETECTING FAKE WEBSITES: THE CONTRIBUTION OF STATISTICAL LEARNING THEORY 1,MIS Quarterly,"Abbasi, Ahmed and Lubar, Sheldon B and Zhang, Zhu and Zimbra, David and Chen, Hsinchun and Nunamaker, Jay F",lfoppiano/grobid:0.8.1,data/pdfs/34_3/AbbasiZhangZimbraEtAl2010.pdf,article,,,
P_0000000071,0000000071,pdf,2,15,A Model of Users' Perspective on Change: The Case of Information Systems Technology Implementation1,MIS Quarterly,"Joshi, Kaiash",lfoppiano/grobid:0.8.1,data/pdfs/15_2/Joshi1990.pdf,article,,,
P_0000000072,0000000072,pdf,3,45,SPECIAL ISSUE: MANAGING AI FAILURES OF FAIRNESS IN AUTOMATION REQUIRE A DEEPER UNDERSTANDING OF HUMAN-ML AUGMENTATION 1,MIS Quarterly,"Teodorescu, Mike H M and Morse, Lily and Awwad, Yazeed and Kane, Gerald C",lfoppiano/grobid:0.8.1,data/pdfs/45_3/TeodorescuMorseAwwadEtAl2021.pdf,article,10.25300/MISQ/2021/16535,,
P_0000000073,0000000073,pdf,4,28,INNOVATING MINDFULLY WITH INFORMATION TECHNOLOGY 1,MIS Quarterly,"Swanson, E. Burton and Ramiller, Neil C",lfoppiano/grobid:0.8.1,data/pdfs/28_4/SwansonRamiller2004.pdf,article,,,
P_0000000074,0000000074,pdf,4,3,AN ANALYSIS OF THE IMPACT OF DISTRIBUTED DATA PROCESSING ON ORGANIZATIONS IN THE 1980's,MIS Quarterly,"Davis, Charles K and Wetherbe, James C",lfoppiano/grobid:0.8.1,data/pdfs/3_4/DavisWetherbe1979.pdf,article,,,
P_0000000075,0000000075,pdf,3,45,CAPABILITY DEVELOPMENT THROUGH JUST-IN-TIME ACCESS TO KNOWLEDGE IN DOCUMENT REPOSITORIES: A LONGITUDINAL EXAMINATION OF TECHNICAL PROBLEM SOLVING 1,MIS Quarterly,"Subramani, Mani and Wagle, Mihir and Ray, Gautam and Gupta, Alok",lfoppiano/grobid:0.8.1,data/pdfs/45_3/SubramaniWagleRayEtAl2021.pdf,article,10.25300/MISQ/2021/15635,,
P_0000000076,0000000076,pdf,1,12,"Critical Factors in the User Environment: An Experimental Study of Users, Organizations and Tasks",MIS Quarterly,"Yaverbaum, Gayle J",lfoppiano/grobid:0.8.1,data/pdfs/12_1/Yaverbaum1988.pdf,article,,,
P_0000000077,0000000077,pdf,1,41,SHOW ME THE WAY TO GO HOME: AN EMPIRICAL INVESTIGATION OF RIDE-SHARING AND ALCOHOL RELATED MOTOR VEHICLE FATALITIES 1,MIS Quarterly,"Greenwood, Brad N and Wattal, Sunil",lfoppiano/grobid:0.8.1,data/pdfs/41_1/GreenwoodWattal2017.pdf,article,,,
P_0000000078,0000000078,pdf,1,46,UNDERSTANDING MEDICATION NONADHERENCE FROM SOCIAL MEDIA: A SENTIMENT-ENRICHED DEEP LEARNING APPROACH 1,MIS Quarterly,"Xie, Jiaheng and Liu, Xiao and Zeng, Daniel Dajun and Fang, Xiao",lfoppiano/grobid:0.8.1,data/pdfs/46_1/XieLiuZengEtAl2022.pdf,article,10.25300/MISQ/2022/15336,,
P_0000000079,0000000079,pdf,2,32,TRANSFORMATIONAL TECHNOLOGIES AND THE CREATION OF NEW WORK PRACTICES: MAKING IMPLICIT KNOWLEDGE EXPLICIT IN TASK-BASED OFFSHORING 1,MIS Quarterly,"Leonardi, Paul M and Bailey, Diane E and Pinsonneault, Alan",lfoppiano/grobid:0.8.1,data/pdfs/32_2/LeonardiBailey2006.pdf,article,,,
P_0000000080,0000000080,pdf,2,31,DEVELOPING HEALTH INFORMATION SYSTEMS IN DEVELOPING COUNTRIES: THE FLEXIBLE STANDARDS STRATEGY 1,MIS Quarterly,"Braa, Jørn and Hanseth, Ole and Heywood, Arthur and Mohammed, Woinshet and Shaw, Vincent",lfoppiano/grobid:0.8.1,data/pdfs/31_2/BraaHansethHeywoodEtAl2007.pdf,article,,,
P_0000000081,0000000081,pdf,4,34,THE OTHER SIDE OF ACCEPTANCE: STUDYING THE DIRECT AND INDIRECT EFFECTS OF EMOTIONS ON INFORMATION TECHNOLOGY USE 1,MIS Quarterly,"Beaudry, Anne and Molson, John and Pinsonneault, Alain",lfoppiano/grobid:0.8.1,data/pdfs/34_4/BeaudryPinsonneault2010.pdf,article,,,
P_0000000082,0000000082,pdf,2,42,INFORMATION SPILLOVER AND SEMI-COLLABORATIVE NETWORKS IN INSURER FRAUD DETECTION 1,MIS Quarterly,"Menon, Nirup M and Cheng, Nault",lfoppiano/grobid:0.8.1,data/pdfs/42_2/Menon2018.pdf,article,10.25300/MISQ/2018/14433,,
P_0000000083,0000000083,pdf,4,11,Price and Value of Decision Support Systems,MIS Quarterly,"Pieptea, Dan R and Anderson, Evan",lfoppiano/grobid:0.8.1,data/pdfs/11_4/PiepteaAnderson1987.pdf,article,,,
P_0000000084,0000000084,pdf,2,41,CREATING HIGH-VALUE REAL-WORLD IMPACT THROUGH SYSTEMATIC PROGRAMS OF RESEARCH 1,MIS Quarterly,"Nunamaker, Jay F and Twyman, Nathan W and Giboney, Justin Scott and Briggs, Robert O",lfoppiano/grobid:0.8.1,data/pdfs/41_2/NunamakerJrTwymanGiboneyEtAl2017.pdf,article,,,
P_0000000085,0000000085,pdf,1,45,FROM REPRESENTATION TO MEDIATION: A NEW AGENDA FOR CONCEPTUAL MODELING RESEARCH IN A DIGITAL WORLD 1,MIS Quarterly,"Recker, Jan and Lukyanenko, Roman and Jabbari, Mohammad and Samuel, Binny M and Castellanos, Arturo",lfoppiano/grobid:0.8.1,data/pdfs/45_1/ReckerLukyanenkoJabbariEtAl2021.pdf,article,10.25300/MISQ/2021/16027,,
P_0000000086,0000000086,pdf,4,33,COMMUNITY LEARNING IN INFORMATION TECHNOLOGY INNOVATION 1,MIS Quarterly,"Wang, Ping and Ramiller, Neil C",lfoppiano/grobid:0.8.1,data/pdfs/33_4/WangRamiller2009.pdf,article,,,
P_0000000087,0000000087,pdf,2,30,REVIEW: A REVIEW OF CULTURE IN INFORMATION SYSTEMS RESEARCH: TOWARD A THEORY OF INFORMATION TECHNOLOGY CULTURE CONFLICT 1,MIS Quarterly,"Leidner, Dorothy E and Kayworth, Timothy",lfoppiano/grobid:0.8.1,data/pdfs/30_2/LeidnerKayworth2006.pdf,article,,,
P_0000000088,0000000088,pdf,2,18,MIS Doctoral Dissertations: 1992-1993,MIS Quarterly,"Hamilton, J. Scott and Arogyaswamy, B. J and An, Objectoriented and Ap and Barker, R. M",lfoppiano/grobid:0.8.1,data/pdfs/18_2/HamiltonDavis1994.pdf,article,,,
