ID,ID,ENTRYTYPE,file,grobid-version,journal,title,volume,number,author,doi,year,note
0000000013,0000000013,article,data/pdfs/34_1/ManiBaruaWhinston2010.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,AN EMPIRICAL ANALYSIS OF THE IMPACT OF INFORMATION CAPABILITIES DESIGN ON BUSINESS PROCESS OUTSOURCING PERFORMANCE 1,34,1,"Mani, Deepa and Barua, Anitesh and Whinston, Andrew",,,
0000000014,0000000014,article,data/pdfs/27_3/SpeierMorris2003.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,THE INFLUENCE OF QUERY INTERFACE DESIGN ON DECISION-MAKING PERFORMANCE 1,27,3,"Morris, Speier & and Speier, Cheri and Broad, Eli and Morris, Michael G",,,
0000000015,0000000015,article,data/pdfs/23_1/WalshamSahay1999.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,c MIS rterly,23,1,"Sahay, Walsham & and Gis In India, /. and Walsham, Geoff and Sahay, Sundeep",,,
0000000016,0000000016,article,data/pdfs/26_3/Weber2002b.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,EDITOR'S COMMENTS The Alliance,26,3,"Weber, Ron",,,
0000000017,0000000017,article,data/pdfs/39_3/LinKuoMyers2015.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,EXTENDING ICT4D STUDIES: THE VALUE OF CRITICAL RESEARCH 1,39,3,"Lin, Cecilia I C and Kuo, Feng-Yang and Myers, Michael D",,,
0000000018,0000000018,article,data/pdfs/37_3/NjihiaMerali2013.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,SPECIAL ISSUE: CRITICAL REALISM IN IS RESEARCH THE BROADER CONTEXT FOR ICT4D PROJECTS: A MORPHOGENETIC ANALYSIS 1,37,3,"Muranga Njihia, James and Merali, Yasmin",,,
0000000019,0000000019,article,data/pdfs/35_2/GefenRigdonStraub2011.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,EDITOR'S COMMENTS An Update and Extension to SEM Guidelines for Administrative and Social Science Research 1,35,2,"Gefen, David and Rigdon, Edward E and Straub, Detmar",,,
0000000020,0000000020,article,data/pdfs/12_3/CopelandMcKenney1988.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,Airline Reservations Systems: Lessons From History,12,3,"Copeland, Duncan G and Mckenney, James L",,,
0000000021,0000000021,article,data/pdfs/34_1/MudambiSchuff2010.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,WHAT MAKES A HELPFUL ONLINE REVIEW? A STUDY OF CUSTOMER REVIEWS ON AMAZON.COM 1,34,1,"Mudambi, Susan M and Schuff, David",,,
0000000022,0000000022,article,data/pdfs/34_3/SiponenVance2010.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,NEUTRALIZATION: NEW INSIGHTS INTO THE PROBLEM OF EMPLOYEE INFORMATION SYSTEMS SECURITY POLICY VIOLATIONS 1,34,3,"Siponen, Mikko and Vance, Anthony",,,
0000000023,0000000023,article,data/pdfs/25_3/Bhattacherjee2001.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,UNDERSTANDING INFORMATION SYSTEMS CONTINUANCE: AN EXPECTATION-CONFIRMATION MODEL 1,25,3,"Bhattacherjee, Anol",,,
0000000024,0000000024,article,data/pdfs/13_4/TaylorTucker1989.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,Reducing Data Processing Costs Through Centralized Procurement,13,4,"Taylor, James R",,,
0000000025,0000000025,article,data/pdfs/46_2/EbrahimiChaiSamtaniEtAl2022.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,CROSS-LINGUAL CYBERSECURITY ANALYTICS IN THE INTERNATIONAL DARK WEB WITH ADVERSARIAL DEEP REPRESENTATION LEARNING 1,46,2,"Ebrahimi, Mohammadreza and Chai, Yidong and Samtani, Sagar and Chen, Hsinchun",10.25300/MISQ/2022/16618,,
0000000026,0000000026,article,data/pdfs/25_4/PiccoliAhmadIves2001.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,WEB-BASED VIRTUAL LEARNING ENVIRONMENTS: A RESEARCH FRAMEWORK AND A PRELIMINARY ASSESSMENT OF EFFECTIVENESS IN BASIC IT SKILLS TRAINING 1,25,4,"Piccoli, Gabriele and Ahmad, Rami and Ives, Blake",,,
0000000027,0000000027,article,data/pdfs/39_2/Sykes2015.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,SUPPORT STRUCTURES AND THEIR IMPACTS ON EMPLOYEE OUTCOMES: A LONGITUDINAL FIELD STUDY OF AN ENTERPRISE SYSTEM IMPLEMENTATION 1,39,2,"Sykes, Tracy Ann",,,
0000000028,0000000028,article,data/pdfs/20_1/Massetti1996.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,An Empirical Examination of the Value of Creativity Support Systems on Idea Generation,20,1,"Massetti, Brenda",,,
0000000029,0000000029,article,data/pdfs/16_2/TorkzadehXia1992.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,Managing Telecommunications by Steering Committee',16,2,"Torkzadeh, Gholamreza and Xia, Weidong",,,
0000000030,0000000030,article,data/pdfs/17_1/Earl1993.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,Experiences in Strategic Information Systems Planning*,17,1,"Earl, Michael",,,
0000000031,0000000031,article,data/pdfs/43_4/BeraSofferParsons2019.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,USING EYE TRACKING TO EXPOSE COGNITIVE PROCESSES IN UNDERSTANDING CONCEPTUAL MODELS 1,43,4,"Bera, Palash and Soffer, Pnina and Parsons, Jeffrey",10.25300/MISQ/2019/14163,,
0000000032,0000000032,article,data/pdfs/31_2/Puri2007.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,INTEGRATING SCIENTIFIC WITH INDIGENOUS KNOWLEDGE: CONSTRUCTING KNOWLEDGE ALLIANCES FOR LAND MANAGEMENT IN INDIA 1,31,2,"Puri, Satish K",,,
0000000033,0000000033,article,data/pdfs/36_1/PolitesKarahanna2012.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,"SHACKLED TO THE STATUS QUO: THE INHIBITING EFFECTS OF INCUMBENT SYSTEM HABIT, SWITCHING COSTS, AND INERTIA ON NEW SYSTEM ACCEPTANCE 1",36,1,"Polites, Greta L and Karahanna, Elena",,,
0000000034,0000000034,article,data/pdfs/39_4/CarterGrover2015.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,"ME, MY SELF, AND I(T): CONCEPTUALIZING INFORMATION TECHNOLOGY IDENTITY AND ITS IMPLICATIONS 1",39,4,"Carter, Michelle and Grover, Varun",,,
0000000035,0000000035,article,data/pdfs/4_3/Perry1980.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,DEVELOPING A COST JUSTIFIED NATION-WIDE COMMUNICA-TIONS NETWORK: A SYSTEMS APPROACH*,4,3,"Perry, George M",,,
0000000036,0000000036,article,data/pdfs/28_1/WadeHulland2004.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,"REVIEW: THE RESOURCE-BASED VIEW AND INFORMATION SYSTEMS RESEARCH: REVIEW, EXTENSION, AND SUGGESTIONS FOR FUTURE RESEARCH 1",28,1,"Wade, Michael and Hulland, John",,,
0000000037,0000000037,article,data/pdfs/28_4/PawlowskiRobey2004.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,BRIDGING USER ORGANIZATIONS: KNOWLEDGE BROKERING AND THE WORK OF INFORMATION TECHNOLOGY PROFESSIONALS 1,28,4,"Pawlowski, Suzanne D and Robey, Daniel",,,
0000000038,0000000038,article,data/pdfs/43_2/BapnaBennerQiu2019.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,NURTURING ONLINE COMMUNITIES: AN EMPIRICAL INVESTIGATION 1,43,2,"Bapna, Sofia and Benner, Mary J and Qiu, Liangfei",10.25300/MISQ/2019/14530,,
0000000039,0000000039,article,data/pdfs/5_3/Edelman1981.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,"Managers, Computer Systems, and Productivity*",5,3,"Berger, Paul and Edelman, Franz",,,
0000000040,0000000040,article,data/pdfs/31_3/OLearyCummings2007.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,"THE SPATIAL, TEMPORAL, AND CONFIGURATIONAL CHARACTERISTICS OF GEOGRAPHIC DISPERSION IN TEAMS 1",31,3,"Boyer, Michael and Leary, O. ' and Cummings, Jonathon N",,,
0000000042,0000000042,article,data/pdfs/24_2/RoepkeAgarwalFerratt2000.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,"Roepke, Agarwal, & Ferratt/lT Human Resource Vision at 3M -ALIGNING THE IT HUMAN RESOURCE WITH BUSINESS VISION: THE LEADERSHIP INITIATIVE AT 3M 2",24,2,"Roepke, Robert and Agarwal, Ritu and Smith, Robert H and Ferratt, Thomas W",,,
0000000043,0000000043,article,data/pdfs/10_2/BakosTreacy1986.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,Information Technology and Corporate Strategy: A Research Perspective,10,2,"Yannis Bakos, J. and Treacy, Michael E",,,
0000000044,0000000044,article,data/pdfs/44_3/HuangParkerTanEtAl2020.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,ALTRUISM OR SHREWD BUSINESS? IMPLICATIONS OF TECHNOLOGY OPENNESS ON INNOVATIONS AND COMPETITION 1,44,3,"Huang, He and Parker, Geoffrey and Freeman, A. B and Xu, Hongyan",10.25300/MISQ/2020/14589,,
0000000045,0000000045,article,data/pdfs/41_1/ChenBharadwajGoh2017.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,AN EMPIRICAL ANALYSIS OF INTELLECTUAL PROPERTY RIGHTS SHARING IN SOFTWARE DEVELOPMENT OUTSOURCING 1,41,1,"Chen, Yuanyuan and Bharadwaj, Anandhi and Goh, Khim-Yong",,,
0000000046,0000000046,article,data/pdfs/42_3/SrivastavaChandra2018.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,SOCIAL PRESENCE IN VIRTUAL WORLD COLLABORATION: AN UNCERTAINTY REDUCTION PERSPECTIVE USING A MIXED METHODS APPROACH 1,42,3,"Srivastava, Shirish C and Chandra, Shalini",10.25300/MISQ/2018/11914,,
0000000047,0000000047,article,data/pdfs/17_1/DavisBostrom1993.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,Training End Users: An Experimental Investigation of the Roles of the Computer Interface and Training Methods,17,1,"Davis, Sid A and Bostrom, Robert P",,,
0000000048,0000000048,article,data/pdfs/24_3/NelsonNadkarniNarayananEtAl2000.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,UNDERSTANDING SOFTWARE OPERATIONS SUPPORT EXPERTISE: A REVEALED CAUSAL MAPPING APPROACH 1,24,3,"Nelson, Kay M and Nadkarni, Sucheta and Box, P. O and Narayanan, V. K",,,
0000000049,0000000049,article,data/pdfs/32_3/KapposRivard2006.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,"A THREE-PERSPECTIVE MODEL OF CULTURE, INFORMATION SYSTEMS, AND THEIR DEVELOPMENT AND USE 1",32,3,"Kappos, Antonio and Rivard, Suzanne",,,
0000000050,0000000050,article,data/pdfs/38_3/JohnsonFarajKudaravalli2014.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,EMERGENCE OF POWER LAWS IN ONLINE COMMUNITIES: THE ROLE OF SOCIAL MECHANISMS AND PREFERENTIAL ATTACHMENT 1,38,3,"Johnson, Steven L and Faraj, Samer and Kudaravalli, Srinivas",,,
0000000051,0000000051,article,data/pdfs/38_2/DeyLahiriZhang2014.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,QUALITY COMPETITION AND MARKET SEGMENTATION IN THE SECURITY SOFTWARE MARKET 1,38,2,"Dey, Debabrata and Lahiri, Atanu and Zhang, Guoying",,,
0000000052,0000000052,article,data/pdfs/27_4/Weber2003c.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,Weber/Editor's Comments,27,4,"Weber, Ron",,,
0000000053,0000000053,article,data/pdfs/42_2/GuptaKannanSanyal2018.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,ECONOMIC EXPERIMENTS IN INFORMATION SYSTEMS 1,42,2,"Gupta, Alok and Kannan, Karthik and Sanyal, Pallab",10.25300/MISQ/2018/13049,,
0000000054,0000000054,article,data/pdfs/5_4/IvesOlson1981.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,Manager or Technician? The Nature of the Information Systems Manager's Job*,5,4,"Ives, Blake and Olson, Margrethe H",,,
0000000055,0000000055,article,data/pdfs/46_2/GhasemkhaniGoesTripathi2022.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,EFFECT OF MARKET INFORMATION ON BIDDER ATTRITION IN ONLINE AUCTION MARKETS 1,46,2,"Ghasemkhani, Hossein and Goes, Paulo and Tripathi, Arvind K",10.25300/MISQ/2022/15136,,
0000000056,0000000056,article,data/pdfs/5_3/HamiltonChervany1981a.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,Evaluating Information System Effectiveness --Part I: Comparing Evaluation Approaches,5,3,"Hamilton, Scott and Chervany, Norman L",,,
0000000057,0000000057,article,data/pdfs/1_3/JenkinsJohnson1977.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,What The Information Analyst Should Know About Body Language,1,3,"Jenkins, A. Milton and Johnson, Randall D",,,
0000000058,0000000058,article,data/pdfs/30_3/MirandaKim2006.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,"PROFESSIONAL VERSUS POLITICAL CONTEXTS: INSTITUTIONAL MITIGATION AND THE TRANSACTION COST HEURISTIC IN INFORMATION SYSTEMS OUTSOURCING 1, 2",30,3,"Miranda, Shaila M and Kim, Yong-Mi",,,
0000000059,0000000059,article,data/pdfs/37_3/VieiradaCunha2013.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,A DRAMATURGICAL MODEL OF THE PRODUCTION OF PERFORMANCE DATA 1,37,3,"Vieira Da Cunha, João",,,
0000000060,0000000060,article,data/pdfs/36_2/GopalKoka2012.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,THE ASYMMETRIC BENEFITS OF RELATIONAL FLEXIBILITY: EVIDENCE FROM SOFTWARE DEVELOPMENT OUTSOURCING 1 Anandasivam Gopal,36,2,"Smith, Robert H and Jones, Jesse H",,,
0000000061,0000000061,article,data/pdfs/41_4/GuoWeiChenEtAl2017.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,EXTRACTING REPRESENTATIVE INFORMATION ON INTRA-ORGANIZATIONAL BLOGGING PLATFORMS 1,41,4,"Guo, Xunhua and Wei, Qiang and Chen, Guoqing and Zhang, Jin and Qiao, Dandan",,,
0000000062,0000000062,article,data/pdfs/18_1/HirschheimKlein1994.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,Emancipatory Systems Development Realizing Emancipatory Principles in Information Systems Development: The Case for ETHICS,18,1,"Hirschheim, Rudy and Klein, Heinz K",,,
0000000063,0000000063,article,data/pdfs/19_3/SilverMarkusBeath1995.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,The MBA Core Course The Information Technology Interaction Model: A Foundation for the MBA Core Course,19,3,"Silver, Mark S and Markus, Lynne and Mathis Beath, Cynthia",,,
0000000064,0000000064,article,data/pdfs/16_3/PalviaPerkinsZeltmann1992.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,The PRISM System: A Key to Organizational Effectiveness at Federal Express Corporation,16,3,"Palvla, Prashant C and Zeltmann, Steven M",,,
0000000065,0000000065,article,data/pdfs/24_4/MenneckeCrosslandKillingsworth2000.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,"IS A MAP MORE THAN A PICTURE? THE ROLE OF SDSS TECHNOLOGY, SUBJECT CHARACTERISTICS, AND PROBLEM COMPLEXITY ON MAP READING AND PROBLEM SOLVING 1",24,4,"Mennecke Logistics, Brian E and Operations, Management and Crossland, Martin D and Killingsworth, Brenda L",,,
0000000066,0000000066,article,data/pdfs/37_2/KallinikosAaltonenMarton2013.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,THE AMBIVALENT ONTOLOGY OF DIGITAL ARTIFACTS 1,37,2,"Kallinikos, Jannis and Aaltonen, Aleksi and Marton, Attila",,,
0000000067,0000000067,article,data/pdfs/42_2/LiLiLiu2018.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,"CONSUMER PREFERENCES, CANNIBALIZATION, AND COMPETITION: EVIDENCE FROM THE PERSONAL COMPUTER INDUSTRY 1",42,2,"Li, Bin and Li, Xinxin and Liu, Hongju",10.25300/MISQ/2018/13803,,
0000000068,0000000068,article,data/pdfs/45_1/BurtonJones2021.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,EDITOR'S COMMENTS Continuing and Extending the MIS Quarterly Trifecta Vision,45,1,"Burton-Jones, Andrew",,,
0000000069,0000000069,article,data/pdfs/34_3/SpearsBarki2010.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,USER PARTICIPATION IN INFORMATION SYSTEMS SECURITY RISK MANAGEMENT 1,34,3,"Spears, Janine L and Barki, Henri",,,
0000000070,0000000070,article,data/pdfs/34_3/AbbasiZhangZimbraEtAl2010.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,DETECTING FAKE WEBSITES: THE CONTRIBUTION OF STATISTICAL LEARNING THEORY 1,34,3,"Abbasi, Ahmed and Lubar, Sheldon B and Zhang, Zhu and Zimbra, David and Chen, Hsinchun and Nunamaker, Jay F",,,
0000000071,0000000071,article,data/pdfs/15_2/Joshi1990.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,A Model of Users' Perspective on Change: The Case of Information Systems Technology Implementation1,15,2,"Joshi, Kaiash",,,
0000000072,0000000072,article,data/pdfs/45_3/TeodorescuMorseAwwadEtAl2021.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,SPECIAL ISSUE: MANAGING AI FAILURES OF FAIRNESS IN AUTOMATION REQUIRE A DEEPER UNDERSTANDING OF HUMAN-ML AUGMENTATION 1,45,3,"Teodorescu, Mike H M and Morse, Lily and Awwad, Yazeed and Kane, Gerald C",10.25300/MISQ/2021/16535,,
0000000073,0000000073,article,data/pdfs/28_4/SwansonRamiller2004.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,INNOVATING MINDFULLY WITH INFORMATION TECHNOLOGY 1,28,4,"Swanson, E. Burton and Ramiller, Neil C",,,
0000000074,0000000074,article,data/pdfs/3_4/DavisWetherbe1979.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,AN ANALYSIS OF THE IMPACT OF DISTRIBUTED DATA PROCESSING ON ORGANIZATIONS IN THE 1980's,3,4,"Davis, Charles K and Wetherbe, James C",,,
0000000075,0000000075,article,data/pdfs/45_3/SubramaniWagleRayEtAl2021.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,CAPABILITY DEVELOPMENT THROUGH JUST-IN-TIME ACCESS TO KNOWLEDGE IN DOCUMENT REPOSITORIES: A LONGITUDINAL EXAMINATION OF TECHNICAL PROBLEM SOLVING 1,45,3,"Subramani, Mani and Wagle, Mihir and Ray, Gautam and Gupta, Alok",10.25300/MISQ/2021/15635,,
0000000076,0000000076,article,data/pdfs/12_1/Yaverbaum1988.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,"Critical Factors in the User Environment: An Experimental Study of Users, Organizations and Tasks",12,1,"Yaverbaum, Gayle J",,,
0000000077,0000000077,article,data/pdfs/41_1/GreenwoodWattal2017.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,SHOW ME THE WAY TO GO HOME: AN EMPIRICAL INVESTIGATION OF RIDE-SHARING AND ALCOHOL RELATED MOTOR VEHICLE FATALITIES 1,41,1,"Greenwood, Brad N and Wattal, Sunil",,,
0000000078,0000000078,article,data/pdfs/46_1/XieLiuZengEtAl2022.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,UNDERSTANDING MEDICATION NONADHERENCE FROM SOCIAL MEDIA: A SENTIMENT-ENRICHED DEEP LEARNING APPROACH 1,46,1,"Xie, Jiaheng and Liu, Xiao and Zeng, Daniel Dajun and Fang, Xiao",10.25300/MISQ/2022/15336,,
0000000079,0000000079,article,data/pdfs/32_2/LeonardiBailey2006.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,TRANSFORMATIONAL TECHNOLOGIES AND THE CREATION OF NEW WORK PRACTICES: MAKING IMPLICIT KNOWLEDGE EXPLICIT IN TASK-BASED OFFSHORING 1,32,2,"Leonardi, Paul M and Bailey, Diane E and Pinsonneault, Alan",,,
0000000080,0000000080,article,data/pdfs/31_2/BraaHansethHeywoodEtAl2007.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,DEVELOPING HEALTH INFORMATION SYSTEMS IN DEVELOPING COUNTRIES: THE FLEXIBLE STANDARDS STRATEGY 1,31,2,"Braa, Jørn and Hanseth, Ole and Heywood, Arthur and Mohammed, Woinshet and Shaw, Vincent",,,
0000000081,0000000081,article,data/pdfs/34_4/BeaudryPinsonneault2010.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,THE OTHER SIDE OF ACCEPTANCE: STUDYING THE DIRECT AND INDIRECT EFFECTS OF EMOTIONS ON INFORMATION TECHNOLOGY USE 1,34,4,"Beaudry, Anne and Molson, John and Pinsonneault, Alain",,,
0000000082,0000000082,article,data/pdfs/42_2/Menon2018.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,INFORMATION SPILLOVER AND SEMI-COLLABORATIVE NETWORKS IN INSURER FRAUD DETECTION 1,42,2,"Menon, Nirup M and Cheng, Nault",10.25300/MISQ/2018/14433,,
0000000083,0000000083,article,data/pdfs/11_4/PiepteaAnderson1987.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,Price and Value of Decision Support Systems,11,4,"Pieptea, Dan R and Anderson, Evan",,,
0000000084,0000000084,article,data/pdfs/41_2/NunamakerJrTwymanGiboneyEtAl2017.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,CREATING HIGH-VALUE REAL-WORLD IMPACT THROUGH SYSTEMATIC PROGRAMS OF RESEARCH 1,41,2,"Nunamaker, Jay F and Twyman, Nathan W and Giboney, Justin Scott and Briggs, Robert O",,,
0000000085,0000000085,article,data/pdfs/45_1/ReckerLukyanenkoJabbariEtAl2021.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,FROM REPRESENTATION TO MEDIATION: A NEW AGENDA FOR CONCEPTUAL MODELING RESEARCH IN A DIGITAL WORLD 1,45,1,"Recker, Jan and Lukyanenko, Roman and Jabbari, Mohammad and Samuel, Binny M and Castellanos, Arturo",10.25300/MISQ/2021/16027,,
0000000086,0000000086,article,data/pdfs/33_4/WangRamiller2009.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,COMMUNITY LEARNING IN INFORMATION TECHNOLOGY INNOVATION 1,33,4,"Wang, Ping and Ramiller, Neil C",,,
0000000087,0000000087,article,data/pdfs/30_2/LeidnerKayworth2006.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,REVIEW: A REVIEW OF CULTURE IN INFORMATION SYSTEMS RESEARCH: TOWARD A THEORY OF INFORMATION TECHNOLOGY CULTURE CONFLICT 1,30,2,"Leidner, Dorothy E and Kayworth, Timothy",,,
0000000088,0000000088,article,data/pdfs/18_2/HamiltonDavis1994.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,MIS Doctoral Dissertations: 1992-1993,18,2,"Hamilton, J. Scott and Arogyaswamy, B. J and An, Objectoriented and Ap and Barker, R. M",,,
0000000089,0000000089,article,data/pdfs/42_2/AbbasZhouDengEtAl2018.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,TEXT ANALYTICS TO SUPPORT SENSE-MAKING IN SOCIAL MEDIA: A LANGUAGE-ACTION PERSPECTIVE 1,42,2,"Abbasi, Ahmed and Zhou, Yilu and Deng, Shasha and Zhang, Pengzhu",10.25300/MISQ/2018/13239,,
0000000090,0000000090,article,data/pdfs/20_2/HittBrynjolfsson1996.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,"Productivity, Business Profitability, and Consumer Surplus: Three Different Measures of Information Technology Value1, 2",20,2,"Hitt, Lorin M and Brynjolfsson, Erik",,,
0000000091,0000000091,article,data/pdfs/32_2/DibbernWinklerHeinzl2006.pdf,lfoppiano/grobid:0.8.1,MIS Quarterly,EXPLAINING VARIATIONS IN CLIENT EXTRA COSTS BETWEEN SOFTWARE PROJECTS OFFSHORED TO INDIA 1,32,2,"Dibbern, Jens and Winkler, Jessica and Heinzl, Armin",,,
