"ID","title","year","author","pages","volume","number","ENTRYTYPE","journal"
"id_0000012","Novel strategies in immunosuppression: issues in perspective.",2011,"Webber, A. and Hirose, R. and Vincenti, F.","1057-1064",91,10,"article","Transplantation"
"id_0000013","Novel Strategies in Immunosuppression: Issues in Perspective",2011,"Webber, A. and Hirose, R. and Vincenti, F.","1057-1064",91,10,"article","Transplantation"
"id_0000014","AHUS caused by complement dysregulation: New therapies on the horizon",2011,"Waters, A. M. and Licht, C.","41-57",26,1,"article","Pediatric Nephrology."
"id_0000015","aHUS caused by complement dysregulation: new therapies on the horizon.",2011,"Waters, A. M. and Licht, C.","41-57",26,1,"article","Pediatric Nephrology"
"id_0000016","Therapeutic potential of complement modulation",2010,"Wagner, E. and Frank, M. M.","43-56",9,1,"article","Nature Reviews Drug Discovery"
"id_0000017","Therapeutic potential of complement modulation.",2010,"Wagner, E. and Frank, M. M.","43-56","Drug Discovery. 9",1,"article","Nature Reviews"
"id_0000018","Severe deficiency of the specific von Willebrand factor-cleaving protease (ADAMTS 13) activity in a subgroup of children with atypical hemolytic uremic syndrome",2003,"Veyradier, A. and Obert, B. and Haddad, E. and Cloarec, S. and Nivet, H. and Foulard, M. and Lesure, F. and Delattre, P. and Lakhdari, M. and Meyer, D. and Girma, J. P. and Loriat, C.","310-317",142,3,"article","Journal of Pediatrics"
"id_0000019","Severe deficiency of the specific von Willebrand factor-cleaving protease (ADAMTS 13) activity in a subgroup of children with atypical hemolytic uremic syndrome.[Erratum appears in J Pediatr. 2003 Jun",2003,"Veyradier, A. and Obert, B. and Haddad, E. and Cloarec, S. and Nivet, H. and Foulard, M. and Lesure, F. and Delattre, P. and Lakhdari, M. and Meyer, D. and Girma, J. P. and Loirat, C.","310-317",142,3,"article","Journal of Pediatrics"
"id_0000020","Erratum: Severe deficiency of the specific von Willebrand factor-cleaving protease (ADAMTS 13) activity in a sub-group of children with atypical hemolytic uremic syndrome (The Journal of Pediatrics (M",2003,"Veyradier,","616-616",142,6,"article","Journal of Pediatrics."
"id_0000021","Severe deficiency of the specific von Willebrand factor-cleaving protease (ADAMTS 13) activity in a subgroup of children with atypical hemolytic uremic syndrome (vol 142, pg 310, 2003)",2003,"Veyradier,","616-616",142,6,"article","Journal of Pediatrics"
"id_0000022","Complement and glomerulonephritis: new insights",2005,"Turnberg, D. and Cook, H. T.","223-228",14,3,"article","Current Opinion in Nephrology and Hypertension"
"id_0000023","Complement and glomerulonephritis: new insights.",2005,"Turnberg, D. and Cook, H. T.","223-228",14,3,"article","Current Opinion in Nephrology & Hypertension"
"id_0000024","Clinical aspects of the complement system. [Japanese]",2006,"Tsukamoto, H. and Horiuchi, T.","757-762",54,7,"article","Rinsho byori.The Japanese journal of clinical pathology."
"id_0000025","[Clinical aspects of the complement system]. [Japanese]",2006,"Tsukamoto, H. and Horiuchi, T.","757-762",54,7,"article","Rinsho Byori - Japanese Journal of Clinical Pathology"
"id_0000026","Eculizumab in atypical hemolytic uremic syndrome: Long-term clinical course and histological findings",2011,"Tschumi, S. and Gugger, M. and Bucher, B. S. and Riedl, M. and Simonetti, G. D.","2085-2088",26,11,"article","Pediatric Nephrology."
"id_0000027","Eculizumab in atypical hemolytic uremic syndrome: long-term clinical course and histological findings",2011,"Tschumi, S. and Gugger, M. and Bucher, B. S. and Riedl, M. and Simonetti, G. D.","2085-2088",26,11,"article","Pediatric Nephrology"
"id_0000028","Excessive activation of the complement system in atypical hemolytic uremic syndrome: Is it ready for prime time",2010,"Tsai, H. M.","267-269",77,4,"article","Kidney International."
"id_0000029","Excessive activation of the complement system in atypical hemolytic uremic syndrome: is it ready for prime time?",2010,"Tsai, H. M.","267-269",77,4,"article","Kidney International"
"id_0000030","Autoantibodies in haemolytic uraemic syndrome (HUS)",2009,"Skerka, C. and Jozsi, M. and Zipfel, P. F. and Dragon-Durey, M. A. and Fremeaux-Bacchi, V.","227-232",101,2,"article","Thrombosis and Haemostasis"
"id_0000031","Autoantibodies in haemolytic uraemic syndrome (HUS).",2009,"Skerka, C. and Jozsi, M. and Zipfel, P. F. and Dragon-Durey, M. A. and Fremeaux-Bacchi, V.","227-232",101,2,"article","Thrombosis & Haemostasis"
"id_0000032","Eculizumab therapy for atypical hemolytic uremic syndrome (aHUS) in pediatric patients: efficacy and safety outcomes from a retrospective study",2011,"Simonetti, G. D. and Gruppo, R. A. and Rodig, N. and Hernandez, J. and Lapeyraque, A. L. and Sherwinter, J. and Fremont, O. and Langman, C. B. and Baudouin, V.","1663-1663",26,9,"article","Pediatr Nephrol. "
"id_0000033","Eculizumab therapy for atypical hemolytic uremic syndrome (aHUS) in pediatric patients: efficacy and safety outcomes from a retrospective study",2011,"Simonetti, G. D. and Gruppo, R. A. and Rodig, N. and Hernandez, J. and Lapeyraque, A. L. and Sherwinter, J. and Fremont, O. and Langman, C. B. and Baudouin, V.","1663-1663",26,9,"article","Pediatr Nephrol. "
"id_0000034","More on eculizumab for congenital atypical hemolytic-uremic syndrome... N Engl J Med. 2009 Jan 29;360(5):544-6",2009,"Shin, J. I. and Lee, J. S.","2142-2143",360,20,"article","New England Journal of Medicine"
"id_0000035","More on eculizumab for congenital atypical hemolytic-uremic syndrome",2009,"Shin, J. I. and Lee, J. S.","2142-2143",360,20,"article","New England Journal of Medicine"
"id_0000036","More on Eculizumab for Congenital Atypical Hemolytic–Uremic Syndrome",2009,"Shin","2142-2143",360,20,"article","New England Journal of Medicine"
"id_0000037","[Pathophysiology and treatment of paroxysmal nocturnal hemoglobinuria (PNH)--recent advances]. [Japanese]",2009,"Shichishima, A. and Shichishima, T. and Study Group of Tohoku Hematology, Forum","1679-1686",50,12,"article","Rinsho Ketsueki - Japanese Journal of Clinical Hematology"
"id_0000038","Pathophysiology and treatment of paroxysmal nocturnal hemoglobinuria (PNH)--recent advances. [Japanese]",2009,"Shichishima, A. and Shichishima, T.","1679-1686",50,12,"article","[Rinsho ketsueki] The Japanese journal of clinical hematology."
"id_0000039","Atypical hemolytic uremic syndrome associated with group A beta hemolytic streptococcus - Reply",2004,"Shepherd, Amy B. and Palmer, April L. and Baliga, Radhakrishna",945,19,8,"article","Pediatric Nephrology"
"id_0000040","Atypical hemolytic uremic syndrome associated with group A beta hemolytic streptococcus - Reply",2004,"Shepherd, A. B. and Palmer, A. L. and Baliga, R.","945-945",19,8,"article","Pediatric Nephrology"
"id_0000041","Translational mini-review series on complement factor H: Structural and functional correlations for factor H",2008,"Schmidt, C. Q. and Herbert, A. P. and Hocking, H. G. and Uhrin, D. and Barlow, P. N.","14-24",151,1,"article","Clinical and Experimental Immunology"
"id_0000042","Translational mini-review series on complement factor H: structural and functional correlations for factor H.",2008,"Schmidt, C. Q. and Herbert, A. P. and Hocking, H. G. and Uhrin, D. and Barlow, P. N.","14-24",151,1,"article","Clinical & Experimental Immunology"
"id_0000043","Liver-kidney transplantation to cure atypical hemolytic uremic syndrome.",2009,"Saland, J. M. and Ruggenenti, P. and Remuzzi, G. and Consensus Study, Group","940-949",20,5,"article","J Am Soc  Nephrol"
"id_0000044","Liver-Kidney Transplantation to Cure Atypical Hemolytic Uremic Syndrome",2009,"Saland, J. M. and Ruggenenti, P. and Remuzzi, G.","940-949",20,5,"article","J Am Soc  Nephrol "
"id_0000045","Paroxysmal nocturnal hemoglobinuria therapy with eculizumab: Spanish experience",2011,"Rubio, M. L. and Morado, M. and Gaya, A. and Rosa, D. A. and Ojeda, E. and Munoz, J. A. and de Mendiguren, B. P. and Monteagudo, M. D. and Duran, J. M. and Fisac, R. M. and Moreno, D. and Villegas, A. M.","8-13",137,1,"article","Medicina Clinica"
"id_0000046","Paroxysmal nocturnal hemoglobinuria and thrombosis. [French]",2007,"Rodrigues, C. A. and Blin, N. and de Latour, R. P. and Socie, G.","425-429",19,8,"article","Sang Thrombose Vaisseaux."
"id_0000047","Paroxsmal nocturnal hemoglobinuria and thrombosis",2007,"Rodrigues, C. A. and Blin, N. and de Latour, R. P. and Socie, G.","425-429",19,8,"article","Sang Thrombose Vaisseaux"
"id_0000048","Implications of the initial mutations in membrane cofactor protein (MCP; CD46) leading to atypical hemolytic uremic syndrome",2007,"Richards, A. and Liszewski, M. K. and Kavanagh, D. and Fang, C. J. and Moulton, E. and Fremeaux-Bacchi, V. and Remuzzi, G. and Noris, M. and Goodship, T. H. J. and Atkinson, J. P.","111-122",44,"1-3","article","Molecular Immunology"
"id_0000049","Inherited complement regulatory protein deficiency predisposes to human disease in acute injury and chronic inflammatory states",2007,"Richards, A. and Kavanagh, D. and Atkinson, J. P.","141-177",96,,"article","Advances in Immunology."
"id_0000050","Inherited complement regulatory protein deficiency predisposes to human disease in acute injury and chronic inflammatory statesthe examples of vascular damage in atypical hemolytic uremic syndrome and",2007,"Richards, A. and Kavanagh, D. and Atkinson, J. P.","141-177",96,,"article","Advances in Immunology"
"id_0000051","Implications of the initial mutations in membrane cofactor protein (MCP; CD46) leading to atypical hemolytic uremic syndrome.",2007,"Richards, A. and Kathryn, Liszewski M. and Kavanagh, D. and Fang, C. J. and Moulton, E. and Fremeaux-Bacchi, V. and Remuzzi, G. and Noris, M. and Goodship, T. H. and Atkinson, J. P.","111-122",44,"1-3","article","Molecular Immunology"
"id_0000052","Anti-Factor H Autoantibodies in a Fifth Renal Transplant Recipient with Atypical Hemolytic and Uremic Syndrome",2009,"Quintrec, M. and Zuber, J. and Noel, L. H. and Thervet, E. and Fremeaux-Bacchi, V. and Fridman, W. H. and Legendre, C. and Dragon-Durey, M. A.","1223-1229",9,5,"article","American Journal of Transplantation"
"id_0000053","Typical and atypical hemolytic uremic syndrome",1996,"Proesmans, W.","205-208",19,"3-4","article","Kidney & Blood Pressure Research"
"id_0000054","Typical and atypical hemolytic uremic syndrome.",1996,"Proesmans, W.","205-208",19,"3-4","article","Kidney & Blood Pressure Research"
"id_0000055","Complement and glomerular disease: new insights",2011,"Pickering, M. and Cook, H. T.","271-277",20,3,"article","Current Opinion in Nephrology and Hypertension"
"id_0000056","Complement and glomerular disease: new insights.",2011,"Pickering, M. and Cook, H. T.","271-277",20,3,"article","Current Opinion in Nephrology & Hypertension"
"id_0000057","Eculizumab for atypical hemolytic-uremic syndrome (New England Journal of Medicine (2009) 360 (542-544))",2009,"Philipp, T.","2487-2487",360,23,"article","New England Journal of Medicine."
"id_0000058","Eculizumab for Atypical Hemolytic-Uremic Syndrome (vol 360, pg 542, 2009)",2009,"Philipp, T.","2487-2487",360,23,"article","New England Journal of Medicine"
"id_0000059","Reduced dose maintenance eculizumab in atypical hemolytic uremic syndrome (aHUS): An update on a previous case report",2011,"Ohanian, M. and Cable, C. and Halka, K.","45-50",3,1,"article","Clinical Pharmacology: Advances and Applications."
"id_0000060","Eculizumab safely reverses neurologic impairment and eliminates need for dialysis in severe atypical hemolytic uremic syndrome",2011,"Ohanian, M. and Cable, C. and Halka, K.","5-12",3,1,"article","Clinical Pharmacology: Advances and Applications."
"id_0000061","Reduced dose maintenance eculizumab in atypical hemolytic uremic syndrome (aHUS): An update on a previous case report",2011,"Ohanian, M. and Cable, C. and Halka, K.","45-50",3,1,"article","Clinical Pharmacology: Advances and Applications."
"id_0000062","Eculizumab safely reverses neurologic impairment and eliminates need for dialysis in severe atypical hemolytic uremic syndrome",2011,"Ohanian, M. and Cable, C. and Halka, K.","5-12",3,1,"article","Clinical Pharmacology: Advances and Applications."
"id_0000063","Eculizumab for Atypical Hemolytic–Uremic Syndrome",2009,"Nürnberger, Jens and Philipp, Thomas and Witzke, Oliver and Saez, Anabelle Opazo and Vester, Udo and Baba, Hideo Andreas and Kribben, Andreas and Zimmerhackl, Lothar Bernd and Janecke, Andreas R. and Nagel, Mato and Kirschfink, Michael","542-544",360,5,"article","New Engl J Med"
"id_0000064","Eculizumab for atypical hemolytic-uremic syndrome.[Erratum appears in N Engl J Med. 2009 Jun 4;360(23):2487 Note: Philipp, Thomas [added]]",2009,"Nurnberger, J. and Philipp, T. and Witzke, O. and Opazo, Saez A. and Vester, U. and Baba, H. A. and Kribben, A. and Zimmerhackl, L. B. and Janecke, A. R. and Nagel, M. and Kirschfink, M.","542-544",360,5,"article","New England Journal of Medicine"
"id_0000065","Eculizumab for atypical hemolytic-uremic syndrome.[Erratum appears in N Engl J Med. 2009 Jun 4;360(23):2487 Note: Philipp, Thomas [added]]",2009,"Nurnberger, J. and Philipp, T. and Witzke, O. and Opazo, Saez A. and Vester, U. and Baba, H. A. and Kribben, A. and Zimmerhackl, L. B. and Janecke, A. R. and Nagel, M. and Kirschfink, M.","542-544",360,5,"article","New Engl J Med"
"id_0000066","Successful Treatment of Atypical Hemolytic Uremic Syndrome with the Complement Inhibitor Eculizumab",2008,"Nuernberger, Jens and Witzke, Oliver and Rother, Russell P. and Philipp, Thomas and Vester, Udo and Baba, Hideo and Zimmerhackl, Lothar Bemd and Kribben, Andreas",800,112,11,"article","Blood"
"id_0000067","Successful Treatment of Atypical Hemolytic Uremic Syndrome with the Complement Inhibitor Eculizumab",2008,"Nuernberger, J. and Witzke, O. and Rother, R. P. and Philipp, T. and Vester, U. and Baba, H. and Zimmerhackl, L. B. and Kribben, A.","800-800",112,11,"article","Blood"
"id_0000068","Thrombotic microangiopathy after kidney transplantation",2010,"Noris, M. and Remuzzi, G.","1517-1523",10,7,"article","American Journal of Transplantation."
"id_0000069","Genetics and genetic testing in hemolytic uremic syndrome/thrombotic thrombocytopenic purpura",2010,"Noris, M. and Remuzzi, G.","395-408",30,4,"article","Seminars in Nephrology."
"id_0000070","Thrombotic microangiopathy after kidney transplantation",2010,"Noris, M. and Remuzzi, G.","1517-1523",10,7,"article","American Journal of Transplantation"
"id_0000071","Genetics and genetic testing in hemolytic uremic syndrome/thrombotic thrombocytopenic purpura",2010,"Noris, M. and Remuzzi, G.","395-408",30,4,"article","Seminars in Nephrology"
"id_0000072","Atypical hemolytic-uremic syndrome",2009,"Noris, M. and Remuzzi, G.","1676-1687",361,17,"article","New England Journal of Medicine"
"id_0000073","MEDICAL PROGRESS Atypical Hemolytic-Uremic Syndrome",2009,"Noris, M. and Remuzzi, G.","1676-1687",361,17,"article","New England Journal of Medicine"
"id_0000074","Atypical hemolytic-uremic syndrome.",2009,"Noris, M. and Remuzzi, G.","1676-1687",361,17,"article","New England Journal of Medicine"
"id_0000075","Atypical Hemolytic–Uremic Syndrome",2009,"Noris, M and Remuzzi, G","1676-1687",361,17,"article","N Engl J Med"
"id_0000076","Relative role of genetic complement abnormalities in sporadic and familial aHUS and their impact on clinical phenotype",2010,"Noris, M. and Caprioli, J. and Bresin, E. and Mossali, C. and Pianetti, G. and Gamba, S. and Daina, E. and Fenili, C. and Castelletti, F. and Sorosina, A. and Piras, R. and Donadelli, R. and Maranta, R. and van, der Meer I. and Conway, E. M. and Zipfel, P. F. and Goodship, T. H. and Remuzzi, G.","1844-1859",5,10,"article","Clin J Am Soc Nephrol"
"id_0000077","Relative role of genetic complement abnormalities in sporadic and familial aHUS and their impact on clinical phenotype",2010,"Noris, M and Caprioli, J and Bresin, E and Mossali, C and Pianetti, G and Gamba, S and Daina, E and Fenili, C and Castelletti, F and Sorosina, A and Piras, R and Donadelli, R and Maranta, R and van der Meer, I and Conway, EM and Zipfel, PF and Goodship, TH and Remuzzi, G","1844-59",5,10,"article","Clin J Am Soc Nephrol."
"id_0000078","Complement factor I in health and disease",2011,"Nilsson, S. C. and Sim, R. B. and Lea, S. M. and Fremeaux-Bacchi, V. and Blom, A. M.","1611-1620",48,14,"article","Molecular Immunology"
"id_0000079","Complement factor I in health and disease.",2011,"Nilsson, S. C. and Sim, R. B. and Lea, S. M. and Fremeaux-Bacchi, V. and Blom, A. M.","1611-1620",48,14,"article","Molecular Immunology"
"id_0000080","Heterogeneity of atypical haemolytic uraemic syndromes",1997,"Neuhaus, T. J. and Calonder, S. and Leumann, E. P.","518-521",76,6,"article","Archives of Disease in Childhood"
"id_0000081","Heterogeneity of atypical haemolytic uraemic syndromes.",1997,"Neuhaus, T. J. and Calonder, S. and Leumann, E. P.","518-521",76,6,"article","Archives of Disease in Childhood"
"id_0000082","Pre-emptive eculizumab and plasmapheresis for renal transplant in atypical hemolytic uremic syndrome",2011,"Nester, C. and Stewart, Z. and Myers, D. and Jetton, J. and Nair, R. and Reed, A. and Thomas, C. and Smith, R. and Brophy, P. and $$include title John","1488-1494",6,6,"article","Clinical Journal of The American Society of Nephrology: CJASN"
"id_0000083","Pre-emptive eculizumab and plasmapheresis for renal transplant in atypical hemolytic uremic syndrome",2011,"Nester, C. and Stewart, Z. and Myers, D. and Jetton, J. and Nair, R. and Reed, A. and Thomas, C. and Smith, R. and Brophy, P.","1488-1494",6,6,"article","Clinical Journal of the American Society of Nephrology."
"id_0000084","Complement analysis in the 21st century.",2007,"Mollnes, T. E. and Jokiranta, T. S. and Truedsson, L. and Nilsson, B. and Rodriguez de, Cordoba S. and Kirschfink, M.","3838-3849",44,16,"article","Molecular Immunology"
"id_0000085","Complement analysis in the 21st century",2007,"Mollnes, T. E. and Jokiranta, T. S. and Truedsson, L. and Nilsson, B. and Rodriguez de Cordoba, S. and Kirschfink, M.","3838-3849",44,16,"article","Molecular Immunology"
"id_0000086","Loss of self-control in the complement system and innate autoreactivity",2007,"Meri, S.","93-105",1109,,"article","Autoimmunity, Part A: Basic Principles and New Diagnostic Tools"
"id_0000087","Loss of self-control in the complement system and innate autoreactivity",2007,"Meri, S.","93-105",1109,,"article","Annals of the New York Academy of Sciences"
"id_0000088","Transcriptional control of complement receptor gene expression",2007,"Martin, B. K.","146-159",39,"1-3","article","Immunologic Research"
"id_0000089","Transcriptional control of complement receptor gene expression.",2007,"Martin, B. K.","146-159",39,"1-3","article","Immunologic Research"
"id_0000090","Complement inhibitor eculizumab in atypical hemolytic uremic syndrome",2009,"Mache, C. J. and Acham-Roschitz, B. and Fremeaux-Bacchi, V. and Kirschfink, M. and Zipfel, P. F. and Roedl, S. and Vester, U. and Ring, E.","1312-1316",4,8,"article","Clinical Journal of The American Society of Nephrology: CJASN"
"id_0000091","Complement inhibitor eculizumab in atypical hemolytic uremic syndrome",2009,"Mache, C. J. and Acham-Roschitz, B. and Fremeaux-Bacchi, V. and Kirschfink, M. and Zipfel, P. F. and Roedl, S. and Vester, U. and Ring, E.","1312-1316",4,8,"article","Clinical Journal of The American Society of Nephrology: CJASN"
"id_0000092","[Paroxysmal nocturnal hemoglobinuria therapy with eculizumab: Spanish experience]. [Spanish]",2011,"Lopez, Rubio M. and Morado, M. and Gaya, A. and Alonso, Rosa D. and Ojeda, E. and Munoz, J. A. and Perez de, Mendiguren B. and Monteagudo, M. D. and Duran, J. M. and Fisac, R. M. and Moreno, D. and Villegas, A. M.","8-13",137,1,"article","Medicina Clinica"
"id_0000093","Complement and the atypical haemolytic uremic syndrome in children",2008,"Loirat, C and Noris, M and Fremeaux-Bacchi, V",,,,"article","Pediatr Nephrol"
"id_0000094","Complement and the atypical hemolytic uremic syndrome in children",2008,"Loirat, C. and Noris, M. and Fremeaux-Bacchi, V.","1957-1972",23,11,"article","Pediatric Nephrology."
"id_0000095","Complement and the atypical hemolytic uremic syndrome in children",2008,"Loirat, C. and Noris, M. and Fremeaux-Bacchi, V.","1957-1972",23,11,"article","Pediatric Nephrology"
"id_0000096","Complement and the atypical hemolytic uremic syndrome in children.",2008,"Loirat, C. and Noris, M. and Fremeaux-Bacchi, V.","1957-1972",23,11,"article","Pediatric Nephrology"
"id_0000097","Plasmatherapy in Atypical Hemolytic Uremic Syndrome",2010,"Loirat, C. and Garnier, A. and Sellier-Leclerc, A. L. and Kwon, T.","673-681",36,6,"article","Seminars in Thrombosis and Hemostasis"
"id_0000098","Plasmatherapy in atypical hemolytic uremic syndrome.",2010,"Loirat, C. and Garnier, A. and Sellier-Leclerc, A. L. and Kwon, T.","673-681",36,6,"article","Seminars in Thrombosis & Hemostasis"
"id_0000099","Atypical hemolytic uremic syndrome",2011,"Loirat, C. and Fremeaux-Bacchi, V.",60,6,,"article","Orphanet Journal Of Rare Diseases"
"id_0000100","Atypical hemolytic uremic syndrome",2011,"Loirat, C. and Fremeaux-Bacchi, V.",60,6,,"article","Orphanet J Rare Dis."
"id_0000101","Hemolytic uremic syndrome recurrence after renal transplantation",2008,"Loirat, C. and Fremeaux-Bacchi, V.","619-629",12,6,"article","Pediatric Transplantation."
"id_0000102","Hemolytic uremic syndrome recurrence after renal transplantation",2008,"Loirat, C. and Fremeaux-Bacchi, V.","619-629",12,6,"article","Pediatric Transplantation"
"id_0000103","Eculizumab in adolescents/adult patients with atypical hemolytic uremic syndrome resistant to plasma exchange/infusion: a phase II efficacy and safety study",2011,"Loirat, C. and Babu, S. and Furman, R. and Sheerin, N. and Cohen, D. and Gaber, O. and Eitner, F. and Delmas, Y. and Greenbaum, L. and Bedrosian, C. L. and Zimmerhackl, L. B. and Legendre, C.","1660-1661",26,9,"article","Pediatr  Nephrol."
"id_0000104","Eculizumab in adolescents/adult patients with atypical hemolytic uremic syndrome resistant to plasma exchange/infusion: a phase II efficacy and safety study",2011,"Loirat, C. and Babu, S. and Furman, R. and Sheerin, N. and Cohen, D. and Gaber, O. and Eitner, F. and Delmas, Y. and Greenbaum, L. and Bedrosian, C. L. and Zimmerhackl, L. B. and Legendre, C.","1660-1661",26,9,"article","Pediatr  Nephrol.  "
"id_0000105","The treatment of atypical hus",2011,"Loirat, C.",9,,26,"article","Pediatric Nephrology.Conference: 44th Annual Scientific Meeting of the European Society for Paediatric Nephrology Cavtat, Dubrovnik Croatia."
"id_0000106","The treatment of atypical hus",2011,"Loirat, C.","1746-1746",26,9,"article","Pediatric Nephrology.Conference: 44th Annual Scientific Meeting of the European Society for Paediatric Nephrology Cavtat, Dubrovnik Croatia."
"id_0000107","Inhibiting complement activation on cells at the step of C3 cleavage",2008,"Liszewski, M. K. and Fang, C. J. and Atkinson, J. P.","I22-I27",26,,"article","Vaccine"
"id_0000108","Inhibiting complement activation on cells at the step of C3 cleavage.",2008,"Liszewski, M. K. and Fang, C. J. and Atkinson, J. P.","I22-I27",26,"Suppl 8","article","Vaccine"
"id_0000109","The need for orthodontic treatment in Ahus and Simrishamn. [Swedish]",1986,"Lindgren, G.","532, 534-536, 538-540",78,10,"article","Tandlakartidningen."
"id_0000110","[The need for orthodontic treatment in Ahus and Simrishamn]. [Swedish]",1986,"Lindgren, G.","532-536",78,10,"article","Tandlakartidningen"
"id_0000111","A phase II study of eculizumab in patients with atypical hemolytic uremic syndrome (AHUS) receiving chronic plasma exchange/infusion: Interim analysis",2011,"Licht, C. and Muus, P. and Legendre, C. and Douglas, K. and Hourmant, M. and Delmas, Y. and Herthelius, M. and Trivelli, A. and Goodship, T. and Bedrosian, C. and Loirat, C.",,,,"article","Journal of Thrombosis and Haemostasis.Conference: 23rd Congress of the International Society on Thrombosis and Haemostasis 57th Annual SSC Meeting Kyoto Japan."
"id_0000112","A phase II study of eculizumab in adolescent/adult patients with atypical hemolytic uremic syndrome (aHUS) receiving chronic plasma exchange/infusion: interim efficacy and safety analysis",2011,"Licht, C. and Muus, P. and Legendre, C. and Douglas, K. and Hourmant, M. and Delmas, Y. and Herthelius, M. and Trivelli, A. and Goodship, T. and Bedrosian, C. and Loirat, C.",1660,26,9,"article","Pediatr Nephrol."
"id_0000113","A phase II study of eculizumab in patients with atypical hemolytic uremic syndrome (AHUS) receiving chronic plasma exchange/infusion: Interim analysis",2011,"Licht, C. and Muus, P. and Legendre, C. and Douglas, K. and Hourmant, M. and Delmas, Y. and Herthelius, M. and Trivelli, A. and Goodship, T. and Bedrosian, C. and Loirat, C.","499–711",9,"s2","article","J Thromb Haemost"
"id_0000114","A phase II study of eculizumab in adolescent/adult patients with atypical hemolytic uremic syndrome (aHUS) receiving chronic plasma exchange/infusion: interim efficacy and safety analysis",2011,"Licht, C. and Muus, P. and Legendre, C. and Douglas, K. and Hourmant, M. and Delmas, Y. and Herthelius, M. and Trivelli, A. and Goodship, T. and Bedrosian, C. and Loirat, C.",1660,26,9,"article","Pediatr  Nephrol. "
"id_0000115","Safety & efficacy of eculizamab in aHUS patients resistant to plasma therapy: interim analysis from a phase II trial",2011,"Legendre, CM and Babu, S and Furman, R and Sheerin, N and Cohen, DJ and Gaber, AO and Eitner, F and Delmas, Y and Loirat, C and Greenbaum, LA and Zimmerhackl, LB",,21,201,"article","J Am Soc Nephrol"
"id_0000116","Safety & Efficacy of Eculizumab in aHUS Patients Resistant to Plasma Therapy: Interim Analysis from a Phase II Trial",2010,"Legendre, CM and Babu, S and Furman, RR and Sheerin, NS and Cohen, DJ and Gaber, AO and Eitner, F and Delmas, Y and Loirat, C and Greenbaum, LA and Zimmerhackl, LB",,21,201,"article","J Am Soc Nephrol"
"id_0000117","Anti-Factor H autoantibodies in a fifth renal transplant recipient with atypical hemolytic and uremic syndrome.[Erratum appears in Am J Transplant. 2009 Sep;9(9):2205 Note: Niauif, P [added]].[Erratum",2009,"Le, Quintrec M. and Zuber, J. and Noel, L. H. and Thervet, E. and Fremeaux-Bacchi, V. and Niaudet, P. and Fridman, W. H. and Legendre, C. and Dragon-Durey, M. A.","1223-1229",9,5,"article","American Journal of Transplantation"
"id_0000118","Efficacy of eculizumab in the treatment of recurrent atypical hemolytic-uremic syndrome after renal transplantation",2010,"Larrea, C. F. and Cofan, F. and Oppenheimer, F. and Campistol, J. M. and Escolar, G. and Lozano, M.","903-904",89,7,"article","Transplantation"
