package,time,dataset,TP,FP,FN,TN,false_positive_rate,specificity,sensitivity,precision,f1,runtime
bib-dedupe,2023-11-17 06:21,cytology_screening,760,0,7,1089,0.0,1.0,0.9908735332464146,1.0,0.9954158480681072,
asreview,2023-11-17 06:21,cytology_screening,688,13,79,1076,0.0119375573921028,0.9880624426078972,0.8970013037809648,0.9814550641940084,0.9373297002724796,
bib-dedupe,2023-11-17 06:32,respiratory,392,0,44,1552,0.0,1.0,0.8990825688073395,1.0,0.9468599033816426,
asreview,2023-11-17 06:32,respiratory,393,12,43,1540,0.0077319587628865,0.9922680412371134,0.9013761467889908,0.9703703703703704,0.9346016646848988,
bib-dedupe,2023-11-17 06:34,digital_work,352,0,9,6798,0.0,1.0,0.9750692520775625,1.0,0.9873772791023844,
asreview,2023-11-17 06:34,digital_work,333,218,28,6580,0.0320682553692262,0.9679317446307738,0.922437673130194,0.604355716878403,0.730263157894737,
bib-dedupe,2023-11-17 06:35,stroke,303,0,11,978,0.0,1.0,0.964968152866242,1.0,0.9821717990275526,
asreview,2023-11-17 06:35,stroke,301,13,13,965,0.0132924335378323,0.9867075664621676,0.9585987261146496,0.9585987261146496,0.9585987261146496,
bib-dedupe,2023-11-17 06:35,haematology,104,0,27,1284,0.0,1.0,0.7938931297709924,1.0,0.8851063829787233,
asreview,2023-11-17 06:35,haematology,104,32,27,1252,0.0249221183800623,0.9750778816199376,0.7938931297709924,0.7647058823529411,0.7790262172284643,
bib-dedupe,2023-11-17 06:35,cytology_screening,760,0,7,1089,0.0,1.0,0.9908735332464146,1.0,0.9954158480681072,
asreview,2023-11-17 06:35,cytology_screening,688,13,79,1076,0.0119375573921028,0.9880624426078972,0.8970013037809648,0.9814550641940084,0.9373297002724796,
bib-dedupe,2023-11-17 06:59,respiratory,396,1,40,1551,0.0006443298969072,0.9993556701030928,0.908256880733945,0.9974811083123426,0.95078031212485,
asreview,2023-11-17 06:59,respiratory,393,12,43,1540,0.0077319587628865,0.9922680412371134,0.9013761467889908,0.9703703703703704,0.9346016646848988,
bib-dedupe,2023-11-17 07:02,digital_work,355,0,6,6798,0.0,1.0,0.9833795013850416,1.0,0.9916201117318436,
asreview,2023-11-17 07:02,digital_work,333,218,28,6580,0.0320682553692262,0.9679317446307738,0.922437673130194,0.604355716878403,0.730263157894737,
bib-dedupe,2023-11-17 07:02,stroke,305,0,9,978,0.0,1.0,0.9713375796178344,1.0,0.9854604200323104,
asreview,2023-11-17 07:02,stroke,301,13,13,965,0.0132924335378323,0.9867075664621676,0.9585987261146496,0.9585987261146496,0.9585987261146496,
bib-dedupe,2023-11-17 07:03,haematology,105,0,26,1284,0.0,1.0,0.8015267175572519,1.0,0.8898305084745763,
asreview,2023-11-17 07:03,haematology,104,32,27,1252,0.0249221183800623,0.9750778816199376,0.7938931297709924,0.7647058823529411,0.7790262172284643,
bib-dedupe,2023-11-17 07:03,cytology_screening,761,6,6,1083,0.0055096418732782,0.9944903581267218,0.9921773142112124,0.9921773142112124,0.9921773142112124,
asreview,2023-11-17 07:03,cytology_screening,688,13,79,1076,0.0119375573921028,0.9880624426078972,0.8970013037809648,0.9814550641940084,0.9373297002724796,
bib-dedupe,2023-11-17 07:12,respiratory,396,1,40,1551,0.0006443298969072,0.9993556701030928,0.908256880733945,0.9974811083123426,0.95078031212485,
asreview,2023-11-17 07:12,respiratory,393,12,43,1540,0.0077319587628865,0.9922680412371134,0.9013761467889908,0.9703703703703704,0.9346016646848988,
bib-dedupe,2023-11-17 07:14,digital_work,355,0,6,6798,0.0,1.0,0.9833795013850416,1.0,0.9916201117318436,
asreview,2023-11-17 07:14,digital_work,333,218,28,6580,0.0320682553692262,0.9679317446307738,0.922437673130194,0.604355716878403,0.730263157894737,
bib-dedupe,2023-11-17 07:14,stroke,305,0,9,978,0.0,1.0,0.9713375796178344,1.0,0.9854604200323104,
asreview,2023-11-17 07:14,stroke,301,13,13,965,0.0132924335378323,0.9867075664621676,0.9585987261146496,0.9585987261146496,0.9585987261146496,
bib-dedupe,2023-11-17 07:15,haematology,105,0,26,1284,0.0,1.0,0.8015267175572519,1.0,0.8898305084745763,
asreview,2023-11-17 07:15,haematology,104,32,27,1252,0.0249221183800623,0.9750778816199376,0.7938931297709924,0.7647058823529411,0.7790262172284643,
bib-dedupe,2023-11-17 07:22,respiratory,405,1,31,1551,0.0006443298969072,0.9993556701030928,0.9288990825688074,0.9975369458128078,0.9619952494061758,
asreview,2023-11-17 07:22,respiratory,393,12,43,1540,0.0077319587628865,0.9922680412371134,0.9013761467889908,0.9703703703703704,0.9346016646848988,
bib-dedupe,2023-11-17 07:24,digital_work,355,0,6,6798,0.0,1.0,0.9833795013850416,1.0,0.9916201117318436,
asreview,2023-11-17 07:25,digital_work,333,218,28,6580,0.0320682553692262,0.9679317446307738,0.922437673130194,0.604355716878403,0.730263157894737,
bib-dedupe,2023-11-17 07:25,stroke,306,0,8,978,0.0,1.0,0.9745222929936306,1.0,0.9870967741935484,
asreview,2023-11-17 07:25,stroke,301,13,13,965,0.0132924335378323,0.9867075664621676,0.9585987261146496,0.9585987261146496,0.9585987261146496,
bib-dedupe,2023-11-17 07:25,haematology,107,2,24,1282,0.0015576323987538,0.9984423676012462,0.816793893129771,0.981651376146789,0.8916666666666667,
asreview,2023-11-17 07:25,haematology,104,32,27,1252,0.0249221183800623,0.9750778816199376,0.7938931297709924,0.7647058823529411,0.7790262172284643,
bib-dedupe,2023-11-17 07:27,respiratory,405,1,31,1551,0.0006443298969072,0.9993556701030928,0.9288990825688074,0.9975369458128078,0.9619952494061758,
asreview,2023-11-17 07:27,respiratory,393,12,43,1540,0.0077319587628865,0.9922680412371134,0.9013761467889908,0.9703703703703704,0.9346016646848988,
bib-dedupe,2023-11-17 07:29,digital_work,355,0,6,6798,0.0,1.0,0.9833795013850416,1.0,0.9916201117318436,
asreview,2023-11-17 07:30,digital_work,333,218,28,6580,0.0320682553692262,0.9679317446307738,0.922437673130194,0.604355716878403,0.730263157894737,
bib-dedupe,2023-11-17 07:30,stroke,306,0,8,978,0.0,1.0,0.9745222929936306,1.0,0.9870967741935484,
asreview,2023-11-17 07:30,stroke,301,13,13,965,0.0132924335378323,0.9867075664621676,0.9585987261146496,0.9585987261146496,0.9585987261146496,
bib-dedupe,2023-11-17 07:30,haematology,107,2,24,1282,0.0015576323987538,0.9984423676012462,0.816793893129771,0.981651376146789,0.8916666666666667,
asreview,2023-11-17 07:30,haematology,104,32,27,1252,0.0249221183800623,0.9750778816199376,0.7938931297709924,0.7647058823529411,0.7790262172284643,
bib-dedupe,2023-11-17 07:30,cytology_screening,767,1,4,1084,0.0009216589861751,0.9990783410138248,0.9948119325551232,0.9986979166666666,0.9967511371020144,
asreview,2023-11-17 07:30,cytology_screening,691,10,80,1075,0.0092165898617511,0.9907834101382488,0.8962386511024644,0.985734664764622,0.938858695652174,
bib-dedupe,2023-11-17 07:38,respiratory,405,1,31,1551,0.0006443298969072,0.9993556701030928,0.9288990825688074,0.9975369458128078,0.9619952494061758,
asreview,2023-11-17 07:38,respiratory,393,12,43,1540,0.0077319587628865,0.9922680412371134,0.9013761467889908,0.9703703703703704,0.9346016646848988,
bib-dedupe,2023-11-17 07:40,digital_work,355,0,6,6798,0.0,1.0,0.9833795013850416,1.0,0.9916201117318436,
asreview,2023-11-17 07:40,digital_work,333,218,28,6580,0.0320682553692262,0.9679317446307738,0.922437673130194,0.604355716878403,0.730263157894737,
bib-dedupe,2023-11-17 07:41,stroke,306,0,8,978,0.0,1.0,0.9745222929936306,1.0,0.9870967741935484,
asreview,2023-11-17 07:41,stroke,301,13,13,965,0.0132924335378323,0.9867075664621676,0.9585987261146496,0.9585987261146496,0.9585987261146496,
bib-dedupe,2023-11-17 07:41,haematology,109,0,24,1282,0.0,1.0,0.8195488721804511,1.0,0.9008264462809916,
asreview,2023-11-17 07:41,haematology,105,31,28,1251,0.0241809672386895,0.9758190327613104,0.7894736842105263,0.7720588235294118,0.7806691449814126,
bib-dedupe,2023-11-17 07:41,cytology_screening,767,1,4,1084,0.0009216589861751,0.9990783410138248,0.9948119325551232,0.9986979166666666,0.9967511371020144,
asreview,2023-11-17 07:41,cytology_screening,691,10,80,1075,0.0092165898617511,0.9907834101382488,0.8962386511024644,0.985734664764622,0.938858695652174,
bib-dedupe,2023-11-17 07:50,respiratory,405,1,31,1551,0.0006443298969072,0.9993556701030928,0.9288990825688074,0.9975369458128078,0.9619952494061758,
asreview,2023-11-17 07:50,respiratory,393,12,43,1540,0.0077319587628865,0.9922680412371134,0.9013761467889908,0.9703703703703704,0.9346016646848988,
bib-dedupe,2023-11-17 07:52,digital_work,355,0,6,6798,0.0,1.0,0.9833795013850416,1.0,0.9916201117318436,
asreview,2023-11-17 07:53,digital_work,333,218,28,6580,0.0320682553692262,0.9679317446307738,0.922437673130194,0.604355716878403,0.730263157894737,
bib-dedupe,2023-11-17 07:53,stroke,306,0,8,978,0.0,1.0,0.9745222929936306,1.0,0.9870967741935484,
asreview,2023-11-17 07:53,stroke,301,13,13,965,0.0132924335378323,0.9867075664621676,0.9585987261146496,0.9585987261146496,0.9585987261146496,
bib-dedupe,2023-11-17 07:53,haematology,109,0,24,1282,0.0,1.0,0.8195488721804511,1.0,0.9008264462809916,
asreview,2023-11-17 07:53,haematology,105,31,28,1251,0.0241809672386895,0.9758190327613104,0.7894736842105263,0.7720588235294118,0.7806691449814126,
bib-dedupe,2023-11-17 07:54,cytology_screening,767,1,4,1084,0.0009216589861751,0.9990783410138248,0.9948119325551232,0.9986979166666666,0.9967511371020144,
asreview,2023-11-17 07:54,cytology_screening,691,10,80,1075,0.0092165898617511,0.9907834101382488,0.8962386511024644,0.985734664764622,0.938858695652174,
bib-dedupe,2023-11-17 07:57,respiratory,405,1,31,1551,0.0006443298969072,0.9993556701030928,0.9288990825688074,0.9975369458128078,0.9619952494061758,
asreview,2023-11-17 07:58,respiratory,393,12,43,1540,0.0077319587628865,0.9922680412371134,0.9013761467889908,0.9703703703703704,0.9346016646848988,
bib-dedupe,2023-11-18 10:28,respiratory,405,1,31,1551,0.0006443298969072,0.9993556701030928,0.9288990825688074,0.9975369458128078,0.9619952494061758,0:00:07
asreview,2023-11-18 10:28,respiratory,393,12,43,1540,0.0077319587628865,0.9922680412371134,0.9013761467889908,0.9703703703703704,0.9346016646848988,0:00:00
bib-dedupe,2023-11-18 10:31,respiratory,405,1,31,1551,0.0006443298969072,0.9993556701030928,0.9288990825688074,0.9975369458128078,0.9619952494061758,0:00:07
asreview,2023-11-18 10:31,respiratory,393,12,43,1540,0.0077319587628865,0.9922680412371134,0.9013761467889908,0.9703703703703704,0.9346016646848988,0:00:00
bib-dedupe,2023-11-18 10:32,respiratory,405,1,31,1551,0.0006443298969072,0.9993556701030928,0.9288990825688074,0.9975369458128078,0.9619952494061758,0:00:06
asreview,2023-11-18 10:32,respiratory,393,12,43,1540,0.0077319587628865,0.9922680412371134,0.9013761467889908,0.9703703703703704,0.9346016646848988,0:00:00
bib-dedupe,2023-11-18 10:35,respiratory,405,1,31,1551,0.0006443298969072,0.9993556701030928,0.9288990825688074,0.9975369458128078,0.9619952494061758,0:00:06
asreview,2023-11-18 10:35,respiratory,393,12,43,1540,0.0077319587628865,0.9922680412371134,0.9013761467889908,0.9703703703703704,0.9346016646848988,0:00:00
bib-dedupe,2023-11-18 10:37,respiratory,405,1,31,1551,0.0006443298969072,0.9993556701030928,0.9288990825688074,0.9975369458128078,0.9619952494061758,0:00:07
asreview,2023-11-18 10:37,respiratory,393,12,43,1540,0.0077319587628865,0.9922680412371134,0.9013761467889908,0.9703703703703704,0.9346016646848988,0:00:00
bib-dedupe,2023-11-18 10:38,respiratory,405,1,31,1551,0.0006443298969072,0.9993556701030928,0.9288990825688074,0.9975369458128078,0.9619952494061758,0:00:06
asreview,2023-11-18 10:38,respiratory,393,12,43,1540,0.0077319587628865,0.9922680412371134,0.9013761467889908,0.9703703703703704,0.9346016646848988,0:00:00
bib-dedupe,2023-11-18 10:40,respiratory,405,1,31,1551,0.0006443298969072,0.9993556701030928,0.9288990825688074,0.9975369458128078,0.9619952494061758,0:00:07
asreview,2023-11-18 10:40,respiratory,393,12,43,1540,0.0077319587628865,0.9922680412371134,0.9013761467889908,0.9703703703703704,0.9346016646848988,0:00:00
bib-dedupe,2023-11-18 11:52,srsr,16179,22,678,36122,0.0006086764054891,0.9993913235945108,0.9597793201637302,0.9986420591321524,0.9788250952870712,0:27:41
bib-dedupe,2023-11-18 12:34,srsr,16178,19,679,36125,0.0005256750774679,0.999474324922532,0.9597199976270986,0.9988269432610978,0.9788830398741454,0:25:24
asreview,2023-11-18 12:52,srsr,16019,299,838,35845,0.0082724656927844,0.9917275343072156,0.9502877143026636,0.981676676063243,0.9657272042200452,0:00:03
bib-dedupe,2023-11-18 13:26,respiratory,405,1,31,1551,0.0006443298969072,0.9993556701030928,0.9288990825688074,0.9975369458128078,0.9619952494061758,0:00:10
bib-dedupe,2023-11-18 13:27,respiratory,405,1,31,1551,0.0006443298969072,0.9993556701030928,0.9288990825688074,0.9975369458128078,0.9619952494061758,0:00:10
asreview,2023-11-18 13:27,respiratory,393,12,43,1540,0.0077319587628865,0.9922680412371134,0.9013761467889908,0.9703703703703704,0.9346016646848988,0:00:00
bib-dedupe,2023-11-18 14:01,srsr,16173,20,684,36124,0.0005533421868083,0.9994466578131916,0.9594233849439402,0.9987648984128944,0.9786989409984872,0:24:52
asreview,2023-11-18 14:18,srsr,16019,299,838,35845,0.0082724656927844,0.9917275343072156,0.9502877143026636,0.981676676063243,0.9657272042200452,0:00:03
bib-dedupe,2023-11-18 14:46,digital_work,355,0,6,6798,0.0,1.0,0.9833795013850416,1.0,0.9916201117318436,0:01:17
asreview,2023-11-18 14:46,digital_work,333,218,28,6580,0.0320682553692262,0.9679317446307738,0.922437673130194,0.604355716878403,0.730263157894737,0:00:00
bib-dedupe,2023-11-18 14:47,diabetes,1257,1,4,583,0.0017123287671232,0.9982876712328768,0.9968279143536876,0.9992050874403816,0.99801508535133,0:00:06
asreview,2023-11-18 14:47,diabetes,1233,22,28,562,0.0376712328767123,0.9623287671232876,0.9777954004758128,0.9824701195219124,0.980127186009539,0:00:00
bib-dedupe,2023-11-18 14:47,respiratory,405,1,31,1551,0.0006443298969072,0.9993556701030928,0.9288990825688074,0.9975369458128078,0.9619952494061758,0:00:08
asreview,2023-11-18 14:47,respiratory,393,12,43,1540,0.0077319587628865,0.9922680412371134,0.9013761467889908,0.9703703703703704,0.9346016646848988,0:00:00
bib-dedupe,2023-11-18 15:16,srsr,16174,19,684,36124,0.0005256896217801,0.99947431037822,0.959425791908886,0.9988266534922496,0.9787298417597048,0:22:17
asreview,2023-11-18 15:31,srsr,16019,299,839,35844,0.0082726945743297,0.9917273054256702,0.9502313441689406,0.981676676063243,0.96569809500844,0:00:03
bib-dedupe,2023-11-18 16:45,depression,9905,19,238,69718,0.0002724522133157,0.9997275477866844,0.9765355417529332,0.9980854494155582,0.9871929037723626,1:02:17
asreview,2023-11-18 17:24,depression,5057,51,5086,69686,0.0007313190989001,0.9992686809011,0.4985704426698215,0.990015661707126,0.6631696282211001,0:00:04
bib-dedupe,2023-11-18 17:25,neuroimaging,1275,4,24,2135,0.0018700327255726,0.9981299672744272,0.9815242494226328,0.99687255668491,0.9891388673390225,0:00:17
asreview,2023-11-18 17:25,neuroimaging,1204,7,95,2132,0.0032725572697522,0.9967274427302478,0.9268668206312548,0.9942196531791908,0.9593625498007968,0:00:00
bib-dedupe,2023-11-18 17:26,stroke,306,0,8,978,0.0,1.0,0.9745222929936306,1.0,0.9870967741935484,0:00:06
asreview,2023-11-18 17:26,stroke,301,13,13,965,0.0132924335378323,0.9867075664621676,0.9585987261146496,0.9585987261146496,0.9585987261146496,0:00:00
bib-dedupe,2023-11-18 17:26,haematology,109,0,24,1282,0.0,1.0,0.8195488721804511,1.0,0.9008264462809916,0:00:08
