ID,author,title,year,journal,volume,number,pages,url,doi
43,Benn R Konsynski,Special Issue: Decision Support and Knowledge-based Systems,,Journal of Management Information Systems,5,1,,,
44,Indranil Bardhan and Jonathan Whitaker and Sunil Mithas,"Information Technology, Production Process Outsourcing, and Manufacturing Plant Performance",,Journal of Management Information Systems,23,2,,,10.2753/MIS0742-1222230202
45,,Differential Innovativeness Outcomes of User and Employee Participation in an Online User Innovation Community,,Journal of Management Information Systems,35,3,,,10.1080/07421222.2018.1481669
46,Brad M Tuttle and Adrian Harrell and Paul Harrison,"Moral Hazard, Ethical Considerations, and the Decision to Implement an Information System",,Journal of Management Information Systems,13,4,,,
47,Eric K Clemons,How Information Changes Consumer Behavior and How Consumer Behavior Determines Corporate Strategy,,Journal of Management Information Systems,25,2,,,10.2753/MIS0742-1222250202
48,Matthew J Liberatore and George J Titus and Paul W Dixon and Is Manager,The Effects of Display Formats on Information Systems Design,,Journal of Management Information Systems,5,3,,,
49,Xianghua Lu and Xia Zhao,Differential Effects of Keyword Selection in Search Engine Advertising on Direct and Indirect Sales,,Journal of Management Information Systems,30,4,,,10.2753/MIS0742-1222300411
50,Mei Lin and Shaojin Li and Andrew B Whinston,Innovation and Price Competition in a Two-Sided Market,,Journal of Management Information Systems,28,2,,,10.2753/MIS0742-1222280207
51,Jong-Min Choe,"The Relationships among Performance of Accounting Information Systems, Influence Factors, and Evolution Level of Information Systems JONG-MIN CHOE",,Journal of Management Information Systems,12,4,,,
52,Magid Igbaria and Jack J Baroudi,"A Motivational Model of Microcomputer Usage MAGID IGBARIA, SAROJ PARASURAMAN, AND JACK J. BAROUDI",,Journal of Management Information Systems,13,1,,,
53,Jaime Gómez and Idana Salazar and Pilar Vargas,"Firm Boundaries, Information Processing Capacity, and Performance in Manufacturing Firms",,Journal of Management Information Systems,33,3,,,10.1080/07421222.2016.1243954
54,Alexander Benlian and Marios Koufaris and Thomas Hess,Service Quality in Software-as-a-Service: Developing the SaaS-Qual Measure and Examining Its Role in Usage Continuance,,Journal of Management Information Systems,28,3,,,10.2753/MIS0742-1222280303
55,Levent Orman,Evolutionary Development of Information Systems,,Journal of Management Information Systems,5,3,,,
56,Takeoka Akemi and Chatfield,The Impact of IOS-Enabled Business Process Change on Business Outcomes: Transformation of the Value Chain of Japan Airlines AKEMITAKEOKA CHATFIELD AND NIELS BJ0RN-ANDERS EN,,Journal of Management Information Systems,14,1,,,
57,Tung X Bui and Frangois Bodart and Pai-Chun Ma,ARBAS: A Formal Language to Support Argumentation in Network-Based Organizations,,Journal of Management Information Systems,14,3,,,
58,Weidong Xia,Complexity of Information Systems Development Projects: Conceptualization and Measurement Development WEIDONG XIA AND GWANHOO LEE,,Journal of Management Information Systems,22,1,,,
59,Eric K Clemons and Josh Wilson and Christian Matt and Thomas Hess and Huffington Post,Global Differences in Online Shopping Behavior: Understanding Factors Leading to Trust,,Journal of Management Information Systems,33,4,,,10.1080/07421222.2016.1267531
60,Andrew B Whinston and Anitesh Barua,"Efficient Selection of Suppliers over the Internet ANITESH BARUA, SURY RAVINDRAN, AND",,Journal of Management Information Systems,13,4,,,
61,David B Paradice and James F David Courtney and Paradice,Controlling Bias in User Assertions in Expert Decision Support Systems for Problem Formulation,,Journal of Management Information Systems,3,1,,,
62,Jerry Cha-Jan Chang and William R King,Measuring the Performance of Information Systems: A Functional Scorecard,,Journal of Management Information Systems,22,1,,,
63,Janna M Crews,Interactions Between System Evaluation and Theory Testing: A Demonstration of the Power of a Multifaceted Approach to Information Systems Research,,Journal of Management Information Systems,22,4,,,
64,Morton Norman and Amador Muriel and York Morton Norman,Writing Simple Program Generators: A Case Study in Building Productivity Tools,,Journal of Management Information Systems,1,1,,,
65,Debabrata Dey and Atanu Lahiri and Dengpan Liu,Consumer Learning and Time-Locked Trials of Software Products,,Journal of Management Information Systems,30,2,,,10.2753/MIS0742-1222300209
66,Jae Choi and Derek L Nazareth and Hemant K Jain,Implementing Service-Oriented Architecture in Organizations,,Journal of Management Information Systems,26,4,,,10.2753/MIS0742-1222260409
67,Suprateek Sarker,"Understanding Business Process Change Failure: An Actor-Network Perspective SUPRATEEK SARKER, SAONEE SARKER, AND ANNASIDOROVA",,Journal of Management Information Systems,23,1,,,
68,Ivy Yuan and Alan R Dennis,Acting Like Humans? Anthropomorphism and Consumer's Willingness to Pay in Electronic Commerce LINGYAO (IVY) YUAN AND ALAN R. DENNIS,,Journal of Management Information Systems,36,2,,,10.1080/07421222.2019.1598691
69,Donald L Davis and Donna F Davis and Donald L Davis and Donna F Davis,The Effect of Training Techniques and Personal Characteristics on Training End Users of Information Systems,,Journal of Management Information Systems,7,2,,,
70,Gene Moo Lee and Liangfei Qiu and Andrew B Whinston,A Friend Like Me: Modeling Network Formation in a Location-Based Social Network,,Journal of Management Information Systems,33,4,,,10.1080/07421222.2016.1267523
71,,,,Journal of Management Information Systems,2,4,,,
72,Rosalie Ocker and Jerry Fjermestad and Starr Roxanne Hiltz and Kenneth Johnson and Bernard C Y Tan and Kwok-Kee Wei and Richard T Watson and Rita M Walczuch,,,Journal of Management Information Systems,15,1,,,
73,Hemant K Bhargava and Shankar Sundaresan,Contingency Pricing for Information Goods and Services Under Industrywide Performance Standard,,Journal of Management Information Systems,20,2,,,
74,Robert J Kauffman and Ryan Sougstad,Risk Management of Contract Portfolios in IT Services: The Profit-at-Risk Approach,,Journal of Management Information Systems,25,1,,,10.2753/MIS0742-1222250102
75,Mei Lin and Xuqing Ke and Andrew B Whinston,Vertical Differentiation and a Comparison of Online Advertising Models,,Journal of Management Information Systems,29,1,,,10.2753/MIS0742-1222290106
76,Michel Benaroch,Managing Information Technology Investment Risk: A Real Options Perspective,,Journal of Management Information Systems,19,2,,,
77,Shuo Yu and Yidong Chai and Hsinchun Chen and Randall A Brown and Scott J Sherman and Jay F Nunamaker,Fall Detection with Wearable Sensors: A Hierarchical Attention-based Convolutional Neural Network Approach,,Journal of Management Information Systems,38,4,,,10.1080/07421222.2021.1990617
78,Jordana George and Natalie Gerhart and Russell Torres,Uncovering the Truth about Fake News: A Research Model Grounded in Multi-Disciplinary Literature,,Journal of Management Information Systems,38,4,,,10.1080/07421222.2021.1990608
79,Robert O Briggs and Gwendolyn L Kolfschoten and Gert-Jan De Vreede and Stephan Lukosch and Conan C Albrecht,Facilitator-in-a-Box: Process Support Applications to Help Practitioners Realize the Potential of Collaboration Technology,,Journal of Management Information Systems,29,4,,,10.2753/MIS0742-1222290406
80,Moshe Ayal and Abraham Seidmann,An Empirical Investigation of the Value of Integrating Enterprise Information Systems: The Case of Medical Imaging Informatics,,Journal of Management Information Systems,26,2,,,10.2753/MIS0742-1222260203
81,Kar Yantam,A Choice Model for the Selection of Computer Vendors and Its Empirical Estimation KAR YAN TAM AND KAI LUNG HUI,,Journal of Management Information Systems,17,4,,,
82,Maryam Alavi and Timothy R Kayworth and Dorothy E Leidner and Sandra Ferguson,An Empirical Examination of the Influence of Organizational Culture on Knowledge Management Practices,,Journal of Management Information Systems,22,3,,,
83,Brian Kimball Dunn and Narayan Ramasubbu and Dennis F Galletta and Paul Benjamin Lowry,,,Journal of Management Information Systems,36,2,,,10.1080/07421222.2019.1598682
84,Betty Vandenbosch and Christopher A Higgins and Betty Vandbnbosch,Executive Support Systems and Learning: A Model and Empirical Test,,Journal of Management Information Systems,12,2,,,
85,Rajesh Mirant and William R King and Rajesh Mirani,Impacts of End-User and Information Center Characteristics on End-User Computing Support,,Journal of Management Information Systems,11,1,,,
86,Yogesh Malhotra and Dennis F Galletta and J. Kirsch and Martin J Whitman,How Endogenous Motivations Influence User Intentions: Beyond the Dichotomy of Extrinsic and Intrinsic User Motivations,,Journal of Management Information Systems,25,1,,,10.2753/MIS0742-1222250110
87,,,,Journal of Management Information Systems,16,1,,,
88,Jong Seok Lee and Mark Keil and Vijay Kasi,The Effect of an Initial Budget and Schedule Goal on Software Project Escalation,,Journal of Management Information Systems,29,1,,,10.2753/MIS0742-1222290102
89,P. Candace Deans and Kirk R Karwan and Martin D Goslar and David A Ricks and Brian Toyne and Carolina He,Identification of Key International Information Systems Issues in U.S.-Based Multinational Corporations,,Journal of Management Information Systems,7,4,,,
90,Jay-Louise Weldon,Information System Design and Development,,Journal of Management Information Systems,1,3,,,
91,C. Choong and Lee,Exploring Mediation Between Environmental and Structural Attributes: The Penetration of Communication Technologies in Manufacturing Organizations CHOONG C. LEE AND VARUN GROVER,,Journal of Management Information Systems,16,3,,,
92,James Y L Thong,"Business Process Reengineering in the Public Sector: The Case of the Housing Development Board in Singapore JAMES Y.L. THONG, CHEESING YAP, AND KIN-LEE SEAH",,Journal of Management Information Systems,17,1,,,
93,Mary Jane and Lenard Gregory and R. Madey and Jane Lenard and Gregory R Madey,The Design and Validation of a Hybrid Information System for the Auditor's Going Concern Decision,,Journal of Management Information Systems,14,4,,,
94,Jay F Nunamaker and Robert O Briggs and Daniel D Mittleman and Douglas R Vogel and Pierre A Balthazard and Jay F Nunam Aker and Robert Romano and Mittleman Briggs,Lessons from a Dozen Years of Group Support Systems Research: A Discussion of Lab and Field Findings,,Journal of Management Information Systems,13,3,,,
95,G. Premkumar and K. Ramamurthy and Sree Nilakanta,Implementation of Electronic Data Interchange: An Innovation Diffusion Perspective,,Journal of Management Information Systems,11,2,,,
96,Mu Xia and Nan Xia,The Complementary Effects of E-Markets on Existing Supplier-Buyer Relationships in a Supply Chain,,Journal of Management Information Systems,25,3,,,10.2753/MIS0742-1222250301
97,Stanley J Smits and Ephraim R Mclean and John R Tanner,Managing High-Achieving Information Systems Professionals,,Journal of Management Information Systems,9,4,,,
98,David Kang and Radhika Santhanam,A Longitudinal Field Study of Training Practices in a Collaborative Application Environment,,Journal of Management Information Systems,20,3,,,
99,Eric K Clemons and Michael C Row,Information Technology and Industrial Cooperation: The Changing Economics of Coordination and Ownership,,Journal of Management Information Systems,9,2,,,
100,Linda Volonino and Hugh J Watson,The Strategic Business Objectives Method for Guiding Executive Information Systems Development,,Journal of Management Information Systems,7,3,,,
101,Francois Bergeron and Clermont Bfigin and Franqois Bergeron,The Use of Critical Success Factors in Evaluation of Information Systems: A Case Study,,Journal of Management Information Systems,5,4,,,
102,Randy V Bradley and Jeannie L Pridmore and Terry Anthony Byrd,Information Systems Success in the Context of Different Corporate Cultural Types: An Empirical Investigation,,Journal of Management Information Systems,23,2,,,10.2753/MIS0742-1222230211
103,Andrew Gemino and Horner Reich and Chris Sauer,A Temporal Model of Information Technology Project Performance,,Journal of Management Information Systems,24,3,,,10.2753/MIS0742-1222240301
104,Tommy K H Chan and Christy M K Cheung and Randy Y M Wong,Cyberbullying on Social Networking Sites: The Crime Opportunity and Affordance Perspectives,,Journal of Management Information Systems,36,2,,,10.1080/07421222.2019.1599500
105,Robert O Briggs and Jay F Nunamaker and Ralph H Sprague,Special Issue: Crossing Boundaries in Information Systems Research,,Journal of Management Information Systems,22,4,,,
106,Langtao Chen and Aaron Baird and Detmar Straub,Fostering Participant Health Knowledge and Attitudes: An Econometric Study of a Chronic Disease-Focused Online Health Community,,Journal of Management Information Systems,36,1,,,10.1080/07421222.2018.1550547
107,Anjana Susarla and Anitesh Barua and Andrew B Whinston,"Multitask Agency, Modular Architecture, and Task Disaggregation in SaaS",,Journal of Management Information Systems,26,4,,,10.2753/MIS0742-1222260404
108,William H Delone and Ephraim R Mclean and Ephraim R Mcle.'\n,The DeLone and McLean Model of Information Systems Success: A Ten-Year Update,,Journal of Management Information Systems,19,4,,,
109,Alina M Chircu and Robert J Kauffman,"Special Section: Competitive Strategy, Economics, and the Internet",,Journal of Management Information Systems,19,3,,,
110,Barry Shane and Mitchel Fry and Reuben Toro,The Design of an Investment Portfolio Selection Decision Support System Using Two Expert Systems and a Consulting System,,Journal of Management Information Systems,3,4,,,
111,Varun Grover and Joong Cheon and James T C Teng,The Effect of Service Quality and Partnership on the Outsourcing of Information Systems Functions,,Journal of Management Information Systems,12,4,,,
112,Irma Becerra-Fernandez and Rajiv Sabherwal Becerra-Fernandez,Organizational Knowledge Management: A Contingency Perspective,,Journal of Management Information Systems,18,1,,,
113,,,,Journal of Management Information Systems,19,2,,,
114,Michael Paulgrunbacher and Stefan Halling and Hasan Biffl and Barry W Kitapci and Paul Boehm and Gronbacher and Michael Halling and Stefan Bifpl and Barry W Boehm,Integrating Collaborative Processes and Quality Assurance Techniques: Experiences from Requirements Negotiation,,Journal of Management Information Systems,20,4,,,
115,Robert P Cerveny and Edward J Garrity and G. Lawrence and Sanders Robert and P. Cerveny and G. Lawrence Sanders,The Application of Prototyping to Systems Development: A Rationale and Model,,Journal of Management Information Systems,3,2,,,
116,Ram L Kumar,,,Journal of Management Information Systems,32,1,,,10.1080/07421222.2015.1029382
117,Hamed Qahri-Saremi and Ali Reza Montazemi,Factors Affecting the Adoption of an Electronic Word of Mouth Message: A Meta-Analysis HAMED QAHRI-SAREMI AND ALI REZA MONTAZEMI,,Journal of Management Information Systems,36,3,,,10.1080/07421222.2019.1628936
118,Line Dubé,Exploring How IT Professionals Experience Role Transitions at the End of Successful Projects,,Journal of Management Information Systems,31,1,,,10.2753/MIS0742-1222310102
119,Ilze Zigurs and Julie Billingsley,"Adoption Patterns and Attitudinal Development in Computer-Supported Meetings: An Exploratory Study with ÎLZE ZIGURS, GERARDINE DESANCTIS, and JULIE BILLINGSLEY",,Journal of Management Information Systems,7,4,,,
120,Julia Klier and Mathias Klier and Lea Thiel and Ritu Agarwal and Robert H Smith,Power of Mobile Peer Groups: A Design-Oriented Approach to Address Youth Unemployment,,Journal of Management Information Systems,36,1,,,10.1080/07421222.2018.1550557
121,Joseph S Valacich and Alan R Dennis and Joseph S Valaqch,A Mathematical Model of Performance of Computer-Mediated Groups during Idea Generation,,Journal of Management Information Systems,11,1,,,
122,Nathan W Twyman and Jeffrey G Proudfoot and Ann-Frances Cameron and Eric Case and Judee K Burgoon and Douglas P Twitchell,Too Busy to Be Manipulated: How Multitasking with Technology Improves Deception Detection in Collaborative Teamwork,,Journal of Management Information Systems,37,2,,,10.1080/07421222.2020.1759938
123,Warren Harrison,Using Software Metrics to Allocate Testing Resources,,Journal of Management Information Systems,4,4,,,
124,Raymond Mcleod and John C Atid and Raymond Rogers and Mcleod,Marketing Information Systems: Their Current Status in Fortune 1000 Companies,,Journal of Management Information Systems,1,4,,,
125,Peng Xu and Balasubramaniam Ramesh,Impact of Knowledge Support on the Performance of Software Process Tailoring,,Journal of Management Information Systems,25,3,,,10.2753/MIS0742-1222250308
126,Naveen Kumar,"Detecting Anomalous Online Reviewers: An Unsupervised Approach Using Mixture Models NAVEEN KUMAR, DEEPAK VENUGOPAL, LIANGFEI QIU, AND SUBODHA KUMAR",,Journal of Management Information Systems,36,4,,,10.1080/07421222.2019.1661089
127,Kunsoo Han and Robert J Kauffman and Kunsoo Nault and Han and Han Kauffman,Information Exploitation and Interorganizational Systems Ownership,,Journal of Management Information Systems,21,2,,,
128,Mark E Mcmurtrey and Varun Grover and James T C Teng and Nancy J Lightner,Job Satisfaction of Information Technology Workers: The Impact of Career Orientation and Task Automation in a CASE Environment,,Journal of Management Information Systems,19,2,,,
129,Moutaz Khouja,Optimal Pricing of Digital Experience Goods Under Piracy MOUTAZ KHOUJA AND SUNGJUNE PARK,,Journal of Management Information Systems,24,3,,,10.2753/MIS0742-1222240304
130,Niek Althuizen and Berend Wierenga,Supporting Creative Problem Solving with a Case-Based Reasoning System,,Journal of Management Information Systems,31,1,,,10.2753/MIS0742-1222310112
131,Ronald M Lee and George R Widmeyer,Shopping in the Electronic Marketplace,,Journal of Management Information Systems,2,4,,,
132,Atbert Lederer and Roger Mchaney and Vijay Agarwat and Melinda Cline and Nirup M Menon and Anne Powell and Srinivasan Raghunathan,,,Journal of Management Information Systems,21,1,,,
133,Timo Saari>fen and Ari P J Vepsalainen T and M. O Saarinen and European and Ari Pj Vepsalainen,Procurement Strategies for Information Systems,,Journal of Management Information Systems,11,2,,,
134,Alice M Johnson and Albert L Lederer,The Effect of Communication Frequency and Channel Richness on the Convergence Between Chief Executive and Chief Information Officers,,Journal of Management Information Systems,22,2,,,
135,Eric K Clemons and Robert J Kauffman and Thomas A Weber and Stanford University Weber,Special Section: IT-Enabled Social and Economic Transitions,,Journal of Management Information Systems,31,3,,,10.1080/07421222.2014.994589
136,Jorng-Tzong Horng,"Extending SQL with Graph Matching and Set Covering for Decision Support Applications JORNG-TZONG HORNG, GWO-DONG CHEN, AND BAW-JHIUNE LIU",,Journal of Management Information Systems,11,1,,,
137,Varun Grover and Thomas H Davenport,General Perspectives on Knowledge Management: Fostering a Research Agenda,,Journal of Management Information Systems,18,1,,,
138,Geun Ho and Theodore H Clark Lee and Lee and Theodore H Clark,Market Process Reengineering through Electronic Market Systems: Opportunities and Challenges,,Journal of Management Information Systems,13,3,,,
139,Samuel Bendahan and Giovanni Camponovo and Jean-Sebastien Monzani and Yves Pigneur,Negotiation in Technology Landscapes: An Actor-Issue Analysis,,Journal of Management Information Systems,21,4,,,
140,David Rozenshtein and Naftaly Minsky,Controlling the Use and Evolution of Database Systems: A Prolog-based Approach,,Journal of Management Information Systems,3,1,,,
141,John M Stevens and Anthony G Cahill and Josephine M Laplante,The Utilization of Information Systems Technology in State Financial Management: An Empirical Assessment,,Journal of Management Information Systems,8,1,,,
142,Maryam Alavi and R. Ryan Nelson and Ira R Weiss,Strategies for End-User Computing: An Integrative Framework,,Journal of Management Information Systems,4,3,,,
143,Alina M Chircu and Robert J Kauffman,Limits to Value in Electronic Commerce-Related IT Investments,,Journal of Management Information Systems,17,2,,,
144,Adam Mo and Gary J Mann and Adam Mahmood and Takeoka Akemi and Chatfield and Kevin J Dooley and Edmond P Fitzgerald and Barbara Haley and Robert Kauffman and Stefan Koch and Tor J Larsen and Marcus A Rothenberger and Benjamin B M Shao and Asher Tishler and Marvin D Troutt,Special Issue: Impacts of Information Technology Investment on Organizational Performance,,Journal of Management Information Systems,16,4,,,
145,Eric K Clemons and Bruce W Weber,Special Section: Strategic Information Systems,,Journal of Management Information Systems,15,2,,,
146,Eric K Clemons and Bruce W Weber,Special Section: Strategic and Competitive Information Systems,,Journal of Management Information Systems,16,2,,,
147,Robert O Briggs and Jay F Nunamaker and Ralph H Sprague,Special Section: Exploring the Outlands of the MIS Discipline,,Journal of Management Information Systems,16,3,,,
148,Ramnath K Chellappa,An Economic Model of Privacy: A Property Rights Approach to Regulatory Choices for Online Personalization RAMNATH K. CHELLAPPA AND SHIVENDU SHIVENDU,,Journal of Management Information Systems,24,3,,,10.2753/MIS0742-1222240307
149,Natalia Levina,TYirning a Community into a Market: A Practice Perspective on Information Technology Use in Boundary Spanning NATALIA LEVINA AND EMMANUELLE VAAST,,Journal of Management Information Systems,22,4,,,
150,Robert W Zmud William and P. Anthony and Robert W Zmud and Thomas L Williams,The Use of Mental Imagery to Facilitate Information Identification in Requirements Analysis,,Journal of Management Information Systems,9,4,,,
151,Jan Dempsey,"Influentials, Imitables, or Susceptibles? Virality and Word-of-Mouth Conversations in Online Social Networks",,Journal of Management Information Systems,33,1,,,10.1080/07421222.2016.1172454
152,David Kopcso and Leo Pipino and William Rybolt,A Comparison of the Manipulation of Certainty Factors by Individuals and Expert System Shells,,Journal of Management Information Systems,5,1,,,
153,Jill Y Smith and Michael T Vanecek,Dispersed Group Decision Making Using Nonsimultaneous Computer Conferencing: A Report of Research,,Journal of Management Information Systems,7,2,,,
154,Shirley Gregor and Aleck C H Lin and Tom Gedeon and Amir Riaz and Dingyun Zhu,Neuroscience and a Nomological Network for the Understanding and Assessment of Emotions in Information Systems Research,,Journal of Management Information Systems,30,4,,,10.2753/MIS0742-1222300402
155,Jay F ^^jnamaker and Minder Chen and Titus D M Purdin and Research Methodologies,Systems Development in Information Systems Research,,Journal of Management Information Systems,7,3,,,
156,Robert O Briggs and Jay F Nunamaker and Ralph H Sprague,Special Section: Social Aspects of Sociotechnical Systems,,Journal of Management Information Systems,27,1,,,10.2753/MIS0742-1222270101
