merged_origins
"['source_1.bib/0000000004', 'source_1.bib/0000002045']"
"['source_1.bib/0000001319', 'source_1.bib/0000002894']"
"['source_1.bib/0000001324', 'source_1.bib/0000003332']"
"['source_1.bib/0000001329', 'source_1.bib/0000002966']"
"['source_1.bib/0000001334', 'source_1.bib/0000001940', 'source_1.bib/0000002990']"
"['source_1.bib/0000001345', 'source_1.bib/0000003001']"
"['source_1.bib/0000001351', 'source_1.bib/0000003004', 'source_1.bib/0000003349']"
"['source_1.bib/0000001361', 'source_1.bib/0000002987', 'source_1.bib/0000003345']"
"['source_1.bib/0000001388', 'source_1.bib/0000003006']"
"['source_1.bib/0000001390', 'source_1.bib/0000002993']"
"['source_1.bib/0000001395', 'source_1.bib/0000001952']"
"['source_1.bib/0000001399', 'source_1.bib/0000003014']"
"['source_1.bib/0000001409', 'source_1.bib/0000003023']"
"['source_1.bib/0000001412', 'source_1.bib/0000003021']"
"['source_1.bib/0000001419', 'source_1.bib/0000003015', 'source_1.bib/0000003365']"
"['source_1.bib/0000001440', 'source_1.bib/0000003025']"
"['source_1.bib/0000001442', 'source_1.bib/0000003029']"
"['source_1.bib/0000001460', 'source_1.bib/0000003377']"
"['source_1.bib/0000001490', 'source_1.bib/0000001977']"
"['source_1.bib/0000001491', 'source_1.bib/0000001982']"
"['source_1.bib/0000001504', 'source_1.bib/0000001990']"
"['source_1.bib/0000001514', 'source_1.bib/0000001995']"
"['source_1.bib/0000001525', 'source_1.bib/0000003422']"
"['source_1.bib/0000001530', 'source_1.bib/0000003055', 'source_1.bib/0000003427']"
"['source_1.bib/0000000005', 'source_1.bib/0000001536', 'source_1.bib/0000002007']"
"['source_1.bib/0000000007', 'source_1.bib/0000001537', 'source_1.bib/0000002016']"
"['source_1.bib/0000000008', 'source_1.bib/0000001538', 'source_1.bib/0000002017']"
"['source_1.bib/0000000006', 'source_1.bib/0000001539', 'source_1.bib/0000002024']"
"['source_1.bib/0000000011', 'source_1.bib/0000001540']"
"['source_1.bib/0000000013', 'source_1.bib/0000001541', 'source_1.bib/0000002022']"
"['source_1.bib/0000000027', 'source_1.bib/0000001543', 'source_1.bib/0000002062']"
"['source_1.bib/0000000021', 'source_1.bib/0000001544']"
"['source_1.bib/0000000031', 'source_1.bib/0000001545', 'source_1.bib/0000002146']"
"['source_1.bib/0000000037', 'source_1.bib/0000001546']"
"['source_1.bib/0000000035', 'source_1.bib/0000001548', 'source_1.bib/0000002114']"
"['source_1.bib/0000000046', 'source_1.bib/0000001550']"
"['source_1.bib/0000000034', 'source_1.bib/0000001551', 'source_1.bib/0000002067']"
"['source_1.bib/0000000059', 'source_1.bib/0000001552']"
"['source_1.bib/0000000050', 'source_1.bib/0000001554', 'source_1.bib/0000002070', 'source_1.bib/0000002074', 'source_1.bib/0000003068']"
"['source_1.bib/0000000056', 'source_1.bib/0000001555']"
"['source_1.bib/0000000066', 'source_1.bib/0000001556']"
"['source_1.bib/0000000068', 'source_1.bib/0000001558']"
"['source_1.bib/0000000078', 'source_1.bib/0000001560', 'source_1.bib/0000002061']"
"['source_1.bib/0000000092', 'source_1.bib/0000001563', 'source_1.bib/0000002164']"
"['source_1.bib/0000000088', 'source_1.bib/0000001564', 'source_1.bib/0000002116']"
"['source_1.bib/0000000085', 'source_1.bib/0000001565']"
"['source_1.bib/0000000094', 'source_1.bib/0000001566']"
"['source_1.bib/0000000082', 'source_1.bib/0000001567', 'source_1.bib/0000002112']"
"['source_1.bib/0000000087', 'source_1.bib/0000001568']"
"['source_1.bib/0000000081', 'source_1.bib/0000001570', 'source_1.bib/0000002210']"
"['source_1.bib/0000001571', 'source_1.bib/0000002156']"
"['source_1.bib/0000000096', 'source_1.bib/0000001572']"
"['source_1.bib/0000000105', 'source_1.bib/0000001573']"
"['source_1.bib/0000000106', 'source_1.bib/0000001574']"
"['source_1.bib/0000000099', 'source_1.bib/0000001575', 'source_1.bib/0000002181']"
"['source_1.bib/0000000100', 'source_1.bib/0000001576', 'source_1.bib/0000002224']"
"['source_1.bib/0000000118', 'source_1.bib/0000001578']"
"['source_1.bib/0000000109', 'source_1.bib/0000001579']"
"['source_1.bib/0000000126', 'source_1.bib/0000001582', 'source_1.bib/0000002175', 'source_1.bib/0000003095']"
"['source_1.bib/0000000120', 'source_1.bib/0000001583']"
"['source_1.bib/0000000121', 'source_1.bib/0000001585', 'source_1.bib/0000002190', 'source_1.bib/0000003082']"
"['source_1.bib/0000000246', 'source_1.bib/0000001587', 'source_1.bib/0000002053']"
"['source_1.bib/0000000247', 'source_1.bib/0000001588', 'source_1.bib/0000002157']"
"['source_1.bib/0000000252', 'source_1.bib/0000001589']"
"['source_1.bib/0000000137', 'source_1.bib/0000001590', 'source_1.bib/0000002177']"
"['source_1.bib/0000000134', 'source_1.bib/0000001591', 'source_1.bib/0000002202']"
"['source_1.bib/0000000133', 'source_1.bib/0000001592', 'source_1.bib/0000002178']"
"['source_1.bib/0000000141', 'source_1.bib/0000001593']"
"['source_1.bib/0000000145', 'source_1.bib/0000001594', 'source_1.bib/0000002189', 'source_1.bib/0000003093']"
"['source_1.bib/0000000146', 'source_1.bib/0000001595', 'source_1.bib/0000002015', 'source_1.bib/0000003058']"
"['source_1.bib/0000001597', 'source_1.bib/0000002136']"
"['source_1.bib/0000000152', 'source_1.bib/0000001599']"
"['source_1.bib/0000000151', 'source_1.bib/0000001600']"
"['source_1.bib/0000000159', 'source_1.bib/0000001601']"
"['source_1.bib/0000000170', 'source_1.bib/0000001602', 'source_1.bib/0000002163']"
"['source_1.bib/0000000164', 'source_1.bib/0000001604', 'source_1.bib/0000002106']"
"['source_1.bib/0000000160', 'source_1.bib/0000001605', 'source_1.bib/0000003077']"
"['source_1.bib/0000000176', 'source_1.bib/0000001606']"
"['source_1.bib/0000000185', 'source_1.bib/0000001608', 'source_1.bib/0000002038', 'source_1.bib/0000003061']"
"['source_1.bib/0000000140', 'source_1.bib/0000001610']"
"['source_1.bib/0000000192', 'source_1.bib/0000001613']"
"['source_1.bib/0000000193', 'source_1.bib/0000001614', 'source_1.bib/0000002085', 'source_1.bib/0000003070']"
"['source_1.bib/0000000249', 'source_1.bib/0000001617', 'source_1.bib/0000002092']"
"['source_1.bib/0000000195', 'source_1.bib/0000001619']"
"['source_1.bib/0000000203', 'source_1.bib/0000001620', 'source_1.bib/0000002039', 'source_1.bib/0000003062']"
"['source_1.bib/0000000207', 'source_1.bib/0000001622']"
"['source_1.bib/0000000065', 'source_1.bib/0000001624']"
"['source_1.bib/0000000098', 'source_1.bib/0000001626']"
"['source_1.bib/0000000237', 'source_1.bib/0000001627']"
"['source_1.bib/0000000148', 'source_1.bib/0000001628']"
"['source_1.bib/0000000174', 'source_1.bib/0000001629']"
"['source_1.bib/0000000250', 'source_1.bib/0000001631']"
"['source_1.bib/0000000219', 'source_1.bib/0000001632', 'source_1.bib/0000002220', 'source_1.bib/0000003101']"
"['source_1.bib/0000000236', 'source_1.bib/0000001635', 'source_1.bib/0000002311']"
"['source_1.bib/0000000220', 'source_1.bib/0000001636']"
"['source_1.bib/0000000223', 'source_1.bib/0000001638', 'source_1.bib/0000002010']"
"['source_1.bib/0000000217', 'source_1.bib/0000001639', 'source_1.bib/0000002208', 'source_1.bib/0000003102']"
"['source_1.bib/0000000257', 'source_1.bib/0000001640', 'source_1.bib/0000003106']"
"['source_1.bib/0000000263', 'source_1.bib/0000001641', 'source_1.bib/0000002228', 'source_1.bib/0000003107']"
"['source_1.bib/0000000260', 'source_1.bib/0000001642']"
"['source_1.bib/0000000274', 'source_1.bib/0000001643', 'source_1.bib/0000002066']"
"['source_1.bib/0000000258', 'source_1.bib/0000001644', 'source_1.bib/0000002186']"
"['source_1.bib/0000000273', 'source_1.bib/0000001645', 'source_1.bib/0000002055', 'source_1.bib/0000002331', 'source_1.bib/0000003064']"
"['source_1.bib/0000000280', 'source_1.bib/0000001646', 'source_1.bib/0000002274', 'source_1.bib/0000003111']"
"['source_1.bib/0000000300', 'source_1.bib/0000001650', 'source_1.bib/0000003088']"
"['source_1.bib/0000000305', 'source_1.bib/0000001651', 'source_1.bib/0000002312']"
"['source_1.bib/0000000307', 'source_1.bib/0000001653']"
"['source_1.bib/0000000318', 'source_1.bib/0000001655', 'source_1.bib/0000002336']"
"['source_1.bib/0000000319', 'source_1.bib/0000001656']"
"['source_1.bib/0000000321', 'source_1.bib/0000001658']"
"['source_1.bib/0000000394', 'source_1.bib/0000001659', 'source_1.bib/0000002113', 'source_1.bib/0000003085']"
"['source_1.bib/0000000328', 'source_1.bib/0000001660', 'source_1.bib/0000002171']"
"['source_1.bib/0000000337', 'source_1.bib/0000001663', 'source_1.bib/0000002342']"
"['source_1.bib/0000000350', 'source_1.bib/0000001665']"
"['source_1.bib/0000000354', 'source_1.bib/0000001666', 'source_1.bib/0000002229']"
"['source_1.bib/0000000356', 'source_1.bib/0000001667', 'source_1.bib/0000002282']"
"['source_1.bib/0000000365', 'source_1.bib/0000001669']"
"['source_1.bib/0000000377', 'source_1.bib/0000001672']"
"['source_1.bib/0000000371', 'source_1.bib/0000001673', 'source_1.bib/0000002242', 'source_1.bib/0000003134']"
"['source_1.bib/0000000389', 'source_1.bib/0000001675', 'source_1.bib/0000002269', 'source_1.bib/0000003126']"
"['source_1.bib/0000000390', 'source_1.bib/0000001677', 'source_1.bib/0000002231', 'source_1.bib/0000003127']"
"['source_1.bib/0000000392', 'source_1.bib/0000001678']"
"['source_1.bib/0000000288', 'source_1.bib/0000001680']"
"['source_1.bib/0000000766', 'source_1.bib/0000003213']"
"['source_1.bib/0000000431', 'source_1.bib/0000001682']"
"['source_1.bib/0000000209', 'source_1.bib/0000001684']"
"['source_1.bib/0000000208', 'source_1.bib/0000001685']"
"['source_1.bib/0000000340', 'source_1.bib/0000001686', 'source_1.bib/0000002286', 'source_1.bib/0000003114']"
"['source_1.bib/0000000412', 'source_1.bib/0000001688', 'source_1.bib/0000002206', 'source_1.bib/0000003115']"
"['source_1.bib/0000000439', 'source_1.bib/0000001690']"
"['source_1.bib/0000000396', 'source_1.bib/0000001694', 'source_1.bib/0000002236', 'source_1.bib/0000003131']"
"['source_1.bib/0000000444', 'source_1.bib/0000001695', 'source_1.bib/0000002290']"
"['source_1.bib/0000000574', 'source_1.bib/0000001698', 'source_1.bib/0000002403']"
"['source_1.bib/0000000448', 'source_1.bib/0000001699', 'source_1.bib/0000002258']"
"['source_1.bib/0000000451', 'source_1.bib/0000001701', 'source_1.bib/0000002406', 'source_1.bib/0000003145']"
"['source_1.bib/0000000454', 'source_1.bib/0000001702']"
"['source_1.bib/0000000459', 'source_1.bib/0000001703']"
"['source_1.bib/0000000537', 'source_1.bib/0000001704', 'source_1.bib/0000002422', 'source_1.bib/0000002442', 'source_1.bib/0000003153']"
"['source_1.bib/0000000466', 'source_1.bib/0000001705']"
"['source_1.bib/0000000563', 'source_1.bib/0000001706', 'source_1.bib/0000002375', 'source_1.bib/0000003147']"
"['source_1.bib/0000000467', 'source_1.bib/0000001707', 'source_1.bib/0000002419', 'source_1.bib/0000003140']"
"['source_1.bib/0000000479', 'source_1.bib/0000001708', 'source_1.bib/0000002380']"
"['source_1.bib/0000000468', 'source_1.bib/0000001710']"
"['source_1.bib/0000000474', 'source_1.bib/0000001711', 'source_1.bib/0000002267']"
"['source_1.bib/0000000471', 'source_1.bib/0000001712']"
"['source_1.bib/0000000487', 'source_1.bib/0000001713']"
"['source_1.bib/0000000491', 'source_1.bib/0000001715']"
"['source_1.bib/0000000550', 'source_1.bib/0000001716', 'source_1.bib/0000002271']"
"['source_1.bib/0000000484', 'source_1.bib/0000001717']"
"['source_1.bib/0000000493', 'source_1.bib/0000001718']"
"['source_1.bib/0000000494', 'source_1.bib/0000001719', 'source_1.bib/0000002400']"
"['source_1.bib/0000000560', 'source_1.bib/0000001722', 'source_1.bib/0000002393', 'source_1.bib/0000003161']"
"['source_1.bib/0000000504', 'source_1.bib/0000001725', 'source_1.bib/0000002263']"
"['source_1.bib/0000000511', 'source_1.bib/0000001727', 'source_1.bib/0000002249']"
"['source_1.bib/0000000555', 'source_1.bib/0000001728']"
"['source_1.bib/0000000538', 'source_1.bib/0000001729', 'source_1.bib/0000002415', 'source_1.bib/0000003157']"
"['source_1.bib/0000000510', 'source_1.bib/0000001730', 'source_1.bib/0000002377']"
"['source_1.bib/0000000508', 'source_1.bib/0000001731', 'source_1.bib/0000003170']"
"['source_1.bib/0000000569', 'source_1.bib/0000001733']"
"['source_1.bib/0000000545', 'source_1.bib/0000001734', 'source_1.bib/0000002417', 'source_1.bib/0000003081']"
"['source_1.bib/0000000514', 'source_1.bib/0000001735']"
"['source_1.bib/0000000516', 'source_1.bib/0000001736', 'source_1.bib/0000002388', 'source_1.bib/0000003174']"
"['source_1.bib/0000000557', 'source_1.bib/0000001737', 'source_1.bib/0000002259']"
"['source_1.bib/0000000594', 'source_1.bib/0000001738']"
"['source_1.bib/0000000520', 'source_1.bib/0000001740', 'source_1.bib/0000002256', 'source_1.bib/0000003162']"
"['source_1.bib/0000000521', 'source_1.bib/0000001741', 'source_1.bib/0000002410', 'source_1.bib/0000003167']"
"['source_1.bib/0000000525', 'source_1.bib/0000001742', 'source_1.bib/0000002386']"
"['source_1.bib/0000000573', 'source_1.bib/0000001743']"
"['source_1.bib/0000000524', 'source_1.bib/0000001744', 'source_1.bib/0000002384']"
"['source_1.bib/0000000548', 'source_1.bib/0000001745']"
"['source_1.bib/0000000562', 'source_1.bib/0000001746', 'source_1.bib/0000002397']"
"['source_1.bib/0000000539', 'source_1.bib/0000001747', 'source_1.bib/0000003173']"
"['source_1.bib/0000000533', 'source_1.bib/0000001749', 'source_1.bib/0000002413', 'source_1.bib/0000003172']"
"['source_1.bib/0000000592', 'source_1.bib/0000001750']"
"['source_1.bib/0000000571', 'source_1.bib/0000001752', 'source_1.bib/0000002387', 'source_1.bib/0000003175']"
"['source_1.bib/0000000485', 'source_1.bib/0000001753', 'source_1.bib/0000002012', 'source_1.bib/0000002373']"
"['source_1.bib/0000000518', 'source_1.bib/0000001754']"
"['source_1.bib/0000000513', 'source_1.bib/0000001755', 'source_1.bib/0000002385', 'source_1.bib/0000003165']"
"['source_1.bib/0000000593', 'source_1.bib/0000001759']"
"['source_1.bib/0000000603', 'source_1.bib/0000001761']"
"['source_1.bib/0000000697', 'source_1.bib/0000001762', 'source_1.bib/0000002536', 'source_1.bib/0000003190']"
"['source_1.bib/0000001766', 'source_1.bib/0000002532', 'source_1.bib/0000003185']"
"['source_1.bib/0000000616', 'source_1.bib/0000001767', 'source_1.bib/0000002529']"
"['source_1.bib/0000000617', 'source_1.bib/0000001768']"
"['source_1.bib/0000000753', 'source_1.bib/0000001769']"
"['source_1.bib/0000000675', 'source_1.bib/0000001772']"
"['source_1.bib/0000000715', 'source_1.bib/0000001774']"
"['source_1.bib/0000000678', 'source_1.bib/0000000679', 'source_1.bib/0000001775', 'source_1.bib/0000001776']"
"['source_1.bib/0000000658', 'source_1.bib/0000001778']"
"['source_1.bib/0000000689', 'source_1.bib/0000001779']"
"['source_1.bib/0000000731', 'source_1.bib/0000001780', 'source_1.bib/0000002483']"
"['source_1.bib/0000000748', 'source_1.bib/0000001783']"
"['source_1.bib/0000000703', 'source_1.bib/0000001784', 'source_1.bib/0000002524']"
"['source_1.bib/0000000698', 'source_1.bib/0000001785', 'source_1.bib/0000002466']"
"['source_1.bib/0000000759', 'source_1.bib/0000001786', 'source_1.bib/0000002509']"
"['source_1.bib/0000000733', 'source_1.bib/0000001787', 'source_1.bib/0000002499']"
"['source_1.bib/0000000635', 'source_1.bib/0000001788', 'source_1.bib/0000003205']"
"['source_1.bib/0000000637', 'source_1.bib/0000001789']"
"['source_1.bib/0000000696', 'source_1.bib/0000001790']"
"['source_1.bib/0000000708', 'source_1.bib/0000001792', 'source_1.bib/0000002472']"
"['source_1.bib/0000000668', 'source_1.bib/0000001793', 'source_1.bib/0000002495']"
"['source_1.bib/0000000644', 'source_1.bib/0000001795', 'source_1.bib/0000002510', 'source_1.bib/0000003203']"
"['source_1.bib/0000000643', 'source_1.bib/0000001796', 'source_1.bib/0000002473']"
"['source_1.bib/0000000646', 'source_1.bib/0000001797']"
"['source_1.bib/0000000712', 'source_1.bib/0000001799', 'source_1.bib/0000002535', 'source_1.bib/0000003207']"
"['source_1.bib/0000000740', 'source_1.bib/0000001801', 'source_1.bib/0000003179']"
"['source_1.bib/0000000609', 'source_1.bib/0000001802']"
"['source_1.bib/0000000711', 'source_1.bib/0000001803']"
"['source_1.bib/0000000655', 'source_1.bib/0000001804']"
"['source_1.bib/0000000650', 'source_1.bib/0000001805', 'source_1.bib/0000002518', 'source_1.bib/0000003208']"
"['source_1.bib/0000000752', 'source_1.bib/0000001806']"
"['source_1.bib/0000000764', 'source_1.bib/0000001807', 'source_1.bib/0000002613', 'source_1.bib/0000003217']"
"['source_1.bib/0000000782', 'source_1.bib/0000001809']"
"['source_1.bib/0000000772', 'source_1.bib/0000001811', 'source_1.bib/0000002623', 'source_1.bib/0000003228']"
"['source_1.bib/0000000775', 'source_1.bib/0000001812', 'source_1.bib/0000002575', 'source_1.bib/0000003215']"
"['source_1.bib/0000000794', 'source_1.bib/0000001813']"
"['source_1.bib/0000000826', 'source_1.bib/0000001815']"
"['source_1.bib/0000000784', 'source_1.bib/0000001816']"
"['source_1.bib/0000000920', 'source_1.bib/0000001817', 'source_1.bib/0000003242']"
"['source_1.bib/0000000840', 'source_1.bib/0000001821', 'source_1.bib/0000002643', 'source_1.bib/0000003227']"
"['source_1.bib/0000000851', 'source_1.bib/0000001822', 'source_1.bib/0000002621']"
"['source_1.bib/0000000850', 'source_1.bib/0000001824']"
"['source_1.bib/0000000852', 'source_1.bib/0000001825', 'source_1.bib/0000002620']"
"['source_1.bib/0000000856', 'source_1.bib/0000001826', 'source_1.bib/0000003252']"
"['source_1.bib/0000000857', 'source_1.bib/0000001828']"
"['source_1.bib/0000000864', 'source_1.bib/0000001829', 'source_1.bib/0000002651', 'source_1.bib/0000003253']"
"['source_1.bib/0000000865', 'source_1.bib/0000001830', 'source_1.bib/0000003234']"
"['source_1.bib/0000000874', 'source_1.bib/0000001831', 'source_1.bib/0000002653', 'source_1.bib/0000003233']"
"['source_1.bib/0000000871', 'source_1.bib/0000001832']"
"['source_1.bib/0000000877', 'source_1.bib/0000001833', 'source_1.bib/0000002628']"
"['source_1.bib/0000000917', 'source_1.bib/0000001834']"
"['source_1.bib/0000000875', 'source_1.bib/0000001835']"
"['source_1.bib/0000000887', 'source_1.bib/0000001836', 'source_1.bib/0000002644', 'source_1.bib/0000003240']"
"['source_1.bib/0000000892', 'source_1.bib/0000001837']"
"['source_1.bib/0000000889', 'source_1.bib/0000001838']"
"['source_1.bib/0000000901', 'source_1.bib/0000001839']"
"['source_1.bib/0000000776', 'source_1.bib/0000000795', 'source_1.bib/0000001840', 'source_1.bib/0000002654', 'source_1.bib/0000003216']"
"['source_1.bib/0000000779', 'source_1.bib/0000001841', 'source_1.bib/0000003211']"
"['source_1.bib/0000000908', 'source_1.bib/0000001842']"
"['source_1.bib/0000000853', 'source_1.bib/0000001846']"
