cluster,ID,title,author,url,number,volume,year,doi,ENTRYTYPE,journal,pages,abstract,language,__orig_index
6,001571,Platform Signaling for Generating Platform Content,"Hukal, Philipp and Henfridsson, Ola and Shaikh, Maha and Parker, Geoffrey",https://misq.umn.edu/platform-signaling-for-generating-platform-content.html?SID=67ikiie6qc728mk6qnimfij6n6,3,44,2020,10.25300/MISQ/2020/15190/,article,MIS Quarterly,1177--1205,,,1479
6,001920,Platform Signaling for Generating Platform Content,"Hukal, Philipp and Henfridsson, Ola and Shaikh, Maha and Parker, Geoffrey",https://misq.umn.edu/platform-signaling-for-generating-platform-content.html,3,44,2020,10.25300/MISQ/2020/15190,article,MIS Quarterly,1177--1205,"The generation of platform content is essential for platform growth and competition. However, the overwhelming number of platform complementors makes it impossible for platform operators to engage in extensive communication with each complementor about which content contributions are desired. Therefore, platform operators need to find a way to signal strategic interests to platform complementors. In this paper, we employ a mixed-methods design using data from the geodata platform OpenStreetMap to develop and test two distinct types of platform signals as a means of implementing a platform operator’s strategy: (1) opportunity signals, which aim to stimulate activity in new areas of the platform, and (2) endorsement signals, which aim to increase activity in existing areas of the platform. In particular, we examine how platform signals influence the generation of platform content in terms of the volume and diversity of information on the platform. We contribute important insights to the platform governance literature by developing and empirically testing a signaling perspective on the generation of platform content and discussing its implications for guiding platform complementors in content creation.",,1826
7,000601,Editor's Comments: Parting Thoughts on My Term of Office as EIC of MISQ (2008-2012),Straub,,4,36,2012,10.2307/41703495,article,MIS Quarterly,,,,555
7,000978,Editor's Comments: Use,Straub and del Giudice,,4,36,2012,10.2307/41703494,article,MIS Quarterly,iii,,,914
8,001793,Combining Crowd and Machine Intelligence to Detect False News on Social Media,"Wei, Xuan and Zhang, Zhu and Zhang, Mingyue and Chen, Weiyun and Zeng, Daniel Dajun",https://misq.umn.edu/combining-crowd-and-machine-intelligence-to-detect-false-news-on-social-media.html,2,46,2022,10.25300/MISQ/2022/16526,article,MIS Quarterly,977--1008,"The explosive spread of false news on social media has severely affected many areas such as news ecosystems, politics, economics, and public trust, especially amid the COVID-19 infodemic. Machine intelligence has met with limited success in detecting and curbing false news. Human knowledge and intelligence hold great potential to complement machine-based methods. Yet they are largely underexplored in current false news detection research, especially in terms of how to efficiently utilize such information. We observe that the crowd contributes to the challenging task of assessing the veracity of news by posting responses or reporting. We propose combining these two types of scalable crowd judgments with machine intelligence to tackle the false news crisis. Specifically, we design a novel framework called CAND, which first extracts relevant human and machine judgments from data sources including news features and scalable crowd intelligence. The extracted information is then aggregated by an unsupervised Bayesian aggregation model. Evaluation based on Weibo and Twitter datasets demonstrates the effectiveness of crowd intelligence and the superior performance of the proposed framework in comparison with the benchmark methods. The results also generate many valuable insights, such as the complementary value of human and machine intelligence, the possibility of using human intelligence for early detection, and the robustness of our approach to intentional manipulation. This research significantly contributes to relevant literature on false news detection and crowd intelligence. In practice, our proposed framework serves as a feasible and effective approach for false news detection.",,1701
8,001942,Combining Crowd and Machine Intelligence to Detect False News on Social Media,"Wei, Xuan and Zhang, Zhu and Zhang, Mingyue and Chen, Weiyun and Zeng, Daniel Dajun",https://misq.umn.edu/combining-crowd-and-machine-intelligence-to-detect-false-news-on-social-media.html,2,46,2022,10.25300/MISQ/2022/16256,article,MIS Quarterly,977--1008,"The explosive spread of false news on social media has severely affected many areas such as news ecosystems, politics, economics, and public trust, especially amid the COVID-19 infodemic. Machine intelligence has met with limited success in detecting and curbing false news. Human knowledge and intelligence hold great potential to complement machine-based methods. Yet they are largely underexplored in current false news detection research, especially in terms of how to efficiently utilize such information. We observe that the crowd contributes to the challenging task of assessing the veracity of news by posting responses or reporting. We propose combining these two types of scalable crowd judgments with machine intelligence to tackle the false news crisis. Specifically, we design a novel framework called CAND, which first extracts relevant human and machine judgments from data sources including news features and scalable crowd intelligence. The extracted information is then aggregated by an unsupervised Bayesian aggregation model. Evaluation based on Weibo and Twitter datasets demonstrates the effectiveness of crowd intelligence and the superior performance of the proposed framework in comparison with the benchmark methods. The results also generate many valuable insights, such as the complementary value of human and machine intelligence, the possibility of using human intelligence for early detection, and the robustness of our approach to intentional manipulation. This research significantly contributes to relevant literature on false news detection and crowd intelligence. In practice, our proposed framework serves as a feasible and effective approach for false news detection.",,1847
9,000892,A Daily Field Investigation of Technology-Driven Spillovers from Work to Home,"Benlian, Alexander",https://misq.umn.edu/a-daily-field-investigation-of-technology-driven-spillovers-from-work-to-home.html,3,44,2020,10.25300/MISQ/2020/14911/,article,MIS Quarterly,1259--1300,,,830
9,001971,A Daily Field Investigation of Technology-Driven Spillovers from Work to Home,"Benlian, Alexander",https://misq.umn.edu/a-daily-field-investigation-of-technology-driven-spillovers-from-work-to-home.html,3,44,2020,10.25300/MISQ/2020/14911,article,MIS Quarterly,1259--1300,"Although recent theoretical developments and empirical studies indicate that technology-related stress may have negative and positive consequences for employees across life domains, the majority of previous IS research on technostress has focused on its downsides at work and has neglected to study how and why technology-related stress may spill over from work to home. Furthermore, while much of our knowledge of technology-related stress and its effects derives from cross-sectional studies examining between-person differences, there is a need for longitudinal, daily investigations that take a within-person view. Integrating the challenge–hindrance stressor framework with affective events theory and work–home spillover literature, we propose a broader conceptualization of technology-related stressors, referred to as technology-driven (TD) stressors, which comprise technology-driven challenge (TCS) and hindrance (THS) stressors, and examine how and why daily TCS and THS experienced at work affect the relationship between employees and their partners at home. In an experience sampling study of 115 employees who responded to daily surveys both at work and at home over a two-week period, we found that while THS are negatively related to partnership satisfaction via negative affect, TCS are positively related to partnership satisfaction via positive affect. We also investigated the moderating effect of work–home role integration (WHI) and perceived organizational support in work–home boundary management (POS) on the strength of the within-individual spillover processes. Our results show that WHI acts as a double-edged sword for letting TCS- and THS-triggered positive and negative affect spill over to partnership satisfaction, whereas POS serves as a facilitator of positive affect and as a buffer against negative affect. Broadly, our study shows that understanding daily TD work stressors is important because their negative and positive downstream effects often do not stop at employees’ workplace boundaries but actually penetrate and shape their everyday lives at home.",,1876
10,000533,Can Recommender Systems Reduce Healthcare Costs? The Role of Time Pressure and Cost Transparency in Prescription Choice,"Bouayad, Lin and Padmanabhan, Balaji and Chari, Kaushal",https://misq.umn.edu/can-recommender-systems-reduce-healthcare-costs-the-role-of-time-pressure-and-cost-transparency-in-prescription-choice.html,4,44,2020,10.25300/MISQ/2020/14435/,article,MIS Quarterly,1859--1903,,,500
10,001995,Can Recommender Systems Reduce Healthcare Costs? The Role of Time Pressure and Cost Transparency in Prescription Choice,"Bouayad, Lina and Padmanabhan, Balaji and Chari, Kaushal",https://misq.umn.edu/can-recommender-systems-reduce-healthcare-costs-the-role-of-time-pressure-and-cost-transparency-in-prescription-choice.html,4,44,2020,10.25300/MISQ/2020/14435,article,MIS Quarterly,1859--1903,"This paper presents and synthesizes results from three studies (two controlled experiments and one interview) on using recommender systems to reduce healthcare costs at prescription time, while taking time pressure into account. All of our subjects were real practicing physicians, nurse practitioners, or physician assistants. Across these studies, a total of 160 medical practitioners used a system that provides recommendations for medications along with associated cost information. The main finding was a general tendency among practitioners to reduce healthcare costs by prescribing lower cost medications when cost information is provided by a recommender system. The time pressure faced daily by prescribers, however, appears to impact the use of recommendations by nurse practitioners and physician assistants more than it does physicians. These results have significant implications for cost reduction in healthcare and for the design of effective real-time healthcare recommender systems.",,1900
