"journal","title_variant","source","note"
"Acta Chimica Slovenica","Acta Chimica Slovenica","wikipedia","Slovene"
"Slovenian Geographical Journal","Slovenski geografski vestnik","wikipedia","Slovenian"
"German journal","Deutsche Zeitschrift","wikipedia","German"
"Acta Linguistica Asiatica","Acta Linguistica Asiatica","wikipedia","Slovene"
"Journal of Mathematics","Journal de mathématiques","wikipedia","French"
"Journal of Mathematics","Zeitschrift für Mathematik","wikipedia","German"
"Philosophical journal","Giornale filosofico","wikipedia","Italian"
"Philosophical journal","Revista filosófica","wikipedia","Spanish"
"Philosophical journal","Revue philosophique","wikipedia","French"
"Spanish Acts of Psychiatry","Actas Españolas de Psiquiatría","wikipedia","Spanish"
"Advances in Radio Science","Fortschritte in der Radiowissenschaft","wikipedia","German"
"Africa Development","Afrique et développement","wikipedia","French"
"African Economic History","Afrique Développement","wikipedia","French"
"African Economic History","Desenvolvimento de África","wikipedia","Portuguese"
"African Economic Outlook","Perspectives économiques en Afrique","wikipedia","French"
"African Economic Outlook","Perspectivas Económicas Africanas","wikipedia","Portuguese"
"African Human Rights Law Reports","Perspectives économiques en Afrique","wikipedia","French"
"African Journal of Neurological Sciences","Journal africain des sciences neurologiques","wikipedia","French"
"African Journal of Reproductive Health","La Revue Africaine de la Santé Reproductive","wikipedia","French"
"African Journal of Urology","Journal Africain d'Urologie","wikipedia","French"
"African Population Studies","Etude de la Population Africaine","wikipedia","French"
"African Skies","Cieux Africains","wikipedia","French"
"African Studies Abstracts Online","Samenvattingen van Afrikaanse studies online","wikipedia","Dutch"
"African Studies Abstracts Online","Résumés d’études africaines en ligne","wikipedia","French"
"African Studies Abstracts Online","Abstracts zur Afrikanistik online","wikipedia","German"
"African Studies Review","Revue des études africaines","wikipedia","French"
"African","Afrikaans","wikipedia","Afrikaans"
"Afro-Hispanic Review","Revisión afrohispana","wikipedia","Spanish"
"Leading","Al-Raida","wikipedia","Arabic"
"Annals of Physics","Anales de la física","wikipedia","Spanish"
"Social Analysis","Análise Social","wikipedia","Portuguese"
"Philosophical Analysis","Análisis filosófico","wikipedia","Spanish"
"Anatolian Journal of Cardiology","Anadolu Kardiyoloji Dergisi","wikipedia","Turkish"
"Andean Geology","Revista Geológica de Chile","wikipedia","Spanish"
"Andrews University Seminary Studies","Études du séminaire de l’Université Andrews","wikipedia","French"
"Andrews University Seminary Studies","Seminarstudien der Andrews University","wikipedia","German"
"applied Chemistry","Angewandte Chemie","wikipedia","German"
"Annals of Ecuador","Annales de l'Équateur","wikipedia","French"
"Annals of the Fourier Institute","Annales de l'Institut Fourier","wikipedia","French"
"Annals of the Faculty of Sciences of Toulouse","Annales de la Faculté des Sciences de Toulouse","wikipedia","French"
"Fyssen Foundation","Fondation Fyssen","wikipedia","French"
"Annals of the Entomological Society of France","Annales de la Société entomologique de France","wikipedia","French"
"Scientific Annals of the École Normale Supérieure","Annales Scientifiques de l'École Normale Supérieure","wikipedia","French"
"Annals of the Faculty of Law in Belgrade – Belgrade Law Review","Анали Правног факултета у Београду – Београдска правна ревија","wikipedia","Serbian"
"The Sociological Year","L'Année sociologique","wikipedia","French"
"Ancient East","Orient ancien","wikipedia","French"
"Ancient East","Antiguo Oriente","wikipedia","Spanish"
"Apeiron","Apeiron","wikipedia","French"
"Apeiron","Apeiron","wikipedia","German"
"Applied Physiology, Nutrition, and Metabolism","Physiologie appliquée, nutrition et métabolisme","wikipedia","French"
"Aquila","Aquila","wikipedia","Hungarian"
"Arabic Sciences and Philosophy","Sciences et philosophie arabes","wikipedia","French"
"Arabica","Arabica","wikipedia","French"
"Archaeology, Ethnology & Anthropology of Eurasia","Археология, Этнография и Антропология Евразии","wikipedia","Russian"
"Architectura: Magazine for the history of architecture","Architectura: Zeitschrift für Geschichte der Baukunst","wikipedia","German"
"Archive for Mathematics and Natural Sciences","Arkiv for matematikk og naturfag","wikipedia","Norwegian"
"Archive for Mathematics and Natural Sciences","Archiv für Mathematik und Naturwissenschaften","wikipedia","German"
"Archive for the study of modern languages ​​and literatures","Archiv für das Studium der neueren Sprachen und Literaturen","wikipedia","German"
"Archive for the study of modern languages ​​and literatures","Arhivă pentru studiul limbilor și literaturilor moderne","wikipedia","Romania"
"Archive for the History of Philosophy","Archiv für Geschichte der Philosophie","wikipedia","German"
"Archive for the History of Philosophy","Archives pour l'histoire de la philosophie","wikipedia","French"
"Archive for the History of Philosophy","Archivio per la storia della filosofia","wikipedia","Italian"
"Archives for Philosophy of Law and Social Philosophy","Archives pour la philosophie du droit et la philosophie sociale","wikipedia","French"
"Archives for Philosophy of Law and Social Philosophy","Archiv für Rechtsphilosophie und Sozialphilosophie","wikipedia","German"
"Archives for Philosophy of Law and Social Philosophy","Archivos de Filosofía del Derecho y Filosofía Social","wikipedia","Spanish"
"Oriental Archive","Archives orientales","wikipedia","French"
"Oriental Archive","Orientalisches Archiv","wikipedia","German"
"Veterinary Medicine Archives","Archivos de Medicina Veterinaria","wikipedia","Spanish"
"Archive for Mathematics, Astronomy and Physics","Arkiv för matematik, astronomi och fysik","wikipedia","Swedish"
"Archive for Mathematics, Astronomy and Physics","Archive pour les mathématiques, l'astronomie et la physique","wikipedia","French"
"Archive for Mathematics, Astronomy and Physics","Archiv für Mathematik, Astronomie und Physik","wikipedia","French"
"Archive for Nordic Philology","Arkiv för nordisk filologi","wikipedia","Swedish"
"Articulo – Journal of Urban Research","Article – Journal de recherche urbaine","wikipedia","French"
"Asian Culture","Yazhou Wenhua","wikipedia","Chinese"
"AStA Economics","AStA Wirtschafts","wikipedia","German"
"Augustinian","Augustinienne","wikipedia","French"
"Augustinian","Augustinerin","wikipedia","German"
"Augustinian","Agustina","wikipedia","Spanish"
"Augustinian","Agostiniana","wikipedia","Italian"
"Azerbaijan Journal of Educational Studies","Azərbaycan Təhsil Araşdırmaları Jurnalı","wikipedia","Azerbaijani"
"Azerbaijan Journal of Educational Studies","Azerbaydzhanskiy zhurnal obrazovatel'nykh issledovaniy","wikipedia","Russian"
"Azerbaijan Journal of Educational Studies","Azerbaycan Eğitim Araştırmaları Dergisi","wikipedia","Turkish"
"Baltic Journal of Art History","Baltic Journal of Art History","wikipedia","Estonian"
"Baltic Journal of Art History","Baltische Zeitschrift für Kunstgeschichte","wikipedia","German"
"Biblical","Biblica","wikipedia","Italian"
"Journal of the Humanities and Social Sciences of Southeast Asia and Oceania","Bijdragen tot de Taal-, Land- en Volkenkunde","wikipedia","Dutch"
"Bilingual Research Journal","Revista de investigación bilingüe","wikipedia","Spanish"
"Bilingual Review","La revista bilingüe","wikipedia","Spanish"
"Periglacial Bulletin","Bulletin périglaciaire","wikipedia","French"
"BMGN: Low Countries Historical Review","BMGN: Historisch overzicht van de Lage Landen","wikipedia","Dutch"
"Theological Journal","Revue théologique","wikipedia","French"
"Theological Journal","Theologische Zeitschrift","wikipedia","German"
"Theological Journal","Giornale teologico","wikipedia","Italian"
"Theological Journal","Acta Theologica","wikipedia","Latin"
"Theological Journal","Bogoslovni vestnik","wikipedia","Slovene"
"Geology Bulletin","Boletín de Geología","wikipedia","Spanish"
"Geology Bulletin","Boletim de Geologia","wikipedia","Portuguese"
"Bosque","bosques","wikipedia","Spanish"
"Botany","Botanique","wikipedia","French"
"Brazilian Journal of Geology","Revista Brasileira de Geologia","wikipedia","Portuguese"
"Brazilian Journal of Geology","Revista Brasileña de Geología","wikipedia","Spanish"
"Bulletin of the French Institute of Oriental Archaeology","Bulletin de l'Institut français d'archéologie orientale","wikipedia","French"
"Bulletin of the French Institute of Oriental Archaeology","Bulletin des Französischen Instituts für Orientalische Archäologie","wikipedia","German"
"Bulletin of the French Mathematical Society","Bulletin de la Société Mathématique de France","wikipedia","French"
"Bulletin of the World Health Organization","nashrat munazamat alsihat alealamia","wikipedia","Arabic"
"Bulletin of the World Health Organization","Shìjiè wèishēng zǔzhī gōngbào","wikipedia","Chinese"
"Bulletin of the World Health Organization","Bulletin de l'Organisation Mondiale de la Santé","wikipedia","French"
"Bulletin of the World Health Organization","Byulleten' Vsemirnoy organizatsii zdravookhraneniya","wikipedia","Russian"
"Bulletin of the World Health Organization","Boletín de la Organización Mundial de la Salud","wikipedia","Spanish"
"Agriculture Notebooks","Cahiers Agricultures","wikipedia","French"
"African Studies Notebooks","Cahiers d'Études Africaines","wikipedia","French"
"Notebooks of categorical topology and categorical differential geometry","Cahiers de Topologie et Géométrie Différentielle Catégoriques","wikipedia","French"
"Caldasia","Caldasia","wikipedia","Spanish"
"Canadian Aeronautics and Space Journal","Journal aéronautique et spatial du Canada","wikipedia","French"
"Canadian Army Journal","Journal de l'Armée canadienne","wikipedia","French"
"The Canadian Entomologist","L'entomologiste canadien","wikipedia","French"
"Canadian Family Physician","Le Médecin de famille canadien","wikipedia","French"
"Canadian Jewish Studies","Études juives canadiennes","wikipedia","French"
"Canadian Journal of Administrative Law and Practice","Revue canadienne du droit et de la pratique administrative","wikipedia","French"
"Canadian Journal of Administrative Sciences","Revue Canadienne des Sciences de l'Administration","wikipedia","French"
"Canadian Journal of African Studies","Revue canadienne d'études africaines","wikipedia","French"
"Canadian Journal of Animal Science","Revue canadienne de zootechnie","wikipedia","French"
"Canadian Journal of Behavioural Science","Revue canadienne des sciences du comportement","wikipedia","French"
"Canadian Journal of Bioethics","Revue canadienne de bioéthique","wikipedia","French"
"Canadian Journal of Chemistry","Revue canadienne de chimie","wikipedia","French"
"Canadian Journal of Earth Sciences","Revue canadienne des sciences de la Terre","wikipedia","French"
"Canadian Journal of Economics","Revue canadienne d'économique","wikipedia","French"
"The Canadian Journal of Economics and Political Science","La Revue canadienne d'économie et de science politique","wikipedia","French"
"Canadian Journal of Experimental Psychology","Revue canadienne de psychologie expérimentale","wikipedia","French"
"Canadian Journal of Gastroenterology and Hepatology","Revue canadienne de gastroentérologie et d'hépatologie","wikipedia","French"
"Canadian Journal of History","Annales canadiennes d'histoire","wikipedia","French"
"Canadian Journal of Infectious Diseases and Medical Microbiology","Revue canadienne des maladies infectieuses et de microbiologie médicale","wikipedia","French"
"Canadian Journal of Law and Society","Revue canadienne droit et société","wikipedia","French"
"Canadian Journal of Linguistics","Revue canadienne de linguistique","wikipedia","French"
"Canadian Journal of Mathematics","Journal canadien de mathématiques","wikipedia","French"
"Canadian Journal of Netherlandic Studies","Revue canadienne d'études néerlandaises","wikipedia","French"
"Canadian Journal of Netherlandic Studies","Canadian Journal of Netherlandic Studies","wikipedia","Dutch"
"Canadian Journal of Occupational Therapy","Revue canadienne d'ergothérapie","wikipedia","French"
"Canadian Journal of Physiology and Pharmacology","Revue canadienne de physiologie et pharmacologie","wikipedia","French"
"Canadian Journal of Plant Science","Revue canadienne de phytotechnie","wikipedia","French"
"Canadian Journal of Political Science","Revue canadienne de science politique","wikipedia","French"
"Canadian Journal of Program Evaluation","Revue Canadienne d'Évaluation de Programme","wikipedia","French"
"The Canadian Journal of Psychiatry","La revue canadienne de psychiatrie","wikipedia","French"
"Canadian Journal of Public Health","Revue canadienne de santé publique","wikipedia","French"
"Canadian Journal of Respiratory Therapy","Revue canadienne de la thérapie respiratoire","wikipedia","French"
"Canadian Journal of Soil Science","Revue canadienne de la science du sol","wikipedia","French"
"Canadian Journal of Speech-Language Pathology and Audiology ","Revue canadienne d'orthophonie et d'audiologie","wikipedia","French"
"Canadian Journal of Surgery","Journal canadien de chirurgie","wikipedia","French"
"Canadian Journal of Women and the Law","Revue canadienne sur les femmes et le droit","wikipedia","French"
"Canadian Journal of Zoology","Revue canadienne de zoologie","wikipedia","French"
"Canadian Literature","Littérature canadienne","wikipedia","French"
"Canadian Mathematical Bulletin","Bulletin Canadien de Mathématiques","wikipedia","French"
"Canadian Medical Association Journal ","Journal de l'Association Médicale Canadienne","wikipedia","French"
"needs additional citations for","a besoin de citations supplémentaires pour","wikipedia","French"
"Canadian Pharmacists Journal","Revue des pharmaciens canadiens","wikipedia","French"
"Canadian Psychology","Psychologie canadienne","wikipedia","French"
"Canadian Respiratory Journal","Revue canadienne de pneumologie","wikipedia","French"
"Canadian Review of Studies in Nationalism","Revue canadienne des études sur le nationalisme","wikipedia","French"
"Canadian Review of Studies in Nationalism","Kanadische Überprüfung der Studien zum Nationalismus","wikipedia","German"
"Canadian Slavonic Papers","Papiers slaves canadiens","wikipedia","French"
"Canadian Woman Studies","Les cahiers de la femme","wikipedia","French"
"Canadian Young Scientist Journal","Revue Canadienne des Jeunes Scientifiques","wikipedia","French"
"Catalan Journal of Theology","Revue catalane de théologie","wikipedia","French"
"Catalan Journal of Theology","Revista Catalana de Teologia","wikipedia","Spanish"
"Central Asiatic Journal","Journal d'Asie centrale","wikipedia","French"
"Central Asiatic Journal","Zhōng yà zázhì","wikipedia","Chinese"
"Central Asiatic Journal","Zentralasiatische Zeitschrift","wikipedia","German"
"Central Asiatic Journal","Tsentral'noaziatskiy zhurnal","wikipedia","Russian"
"Chemical Sheets","Chemické listy","wikipedia","Czech"
"Chemical Sheets","Chemické listy","wikipedia","Slovak"
"The Chesterton Review","La revue Chesterton","wikipedia","French"
"The Chesterton Review","La recensione di Chesterton","wikipedia","Italian"
"The Chesterton Review","A crítica de Chesterton","wikipedia","Portuguese"
"The Chesterton Review","La revisión de Chesterton","wikipedia","Spanish"
"Chiasmi International","Chiasmi International","wikipedia","French"
"Chiasmi International","Chiasmi Internazionale","wikipedia","Italian"
"Chinese as a Second Language","Hànyǔ zuòwéi dì èr yǔyán","wikipedia","Chinese"
"Chinese Journal of Integrative Medicine","Journal chinois de médecine intégrative","wikipedia","French"
"Chiron: Correspondence of the Commission for Ancient History and Epigraphy in the German Archaeological Institute","Chiron. Mitteilungen der Kommission für Alte Geschichte und Epigraphik des Deutschen Archäologischen Instituts","wikipedia","German"
"Chungara Journal of Chilean Anthropology","Chungara Revista de Antropología Chilena","wikipedia","Spanish"
"Chymia","Chymie","wikipedia","French"
"Chymia","Chymie","wikipedia","German"
"Cincinnati Romance Review","Revue romantique de Cincinnati","wikipedia","French"
"Cincinnati Romance Review","Revisión del romance de Cincinnati","wikipedia","Spanish"
"Cincinnati Romance Review","Crítica de romance de Cincinnati","wikipedia","Portuguese"
"Cincinnati Romance Review","Recensione romantica di Cincinnati","wikipedia","Italian"
"Classica et Mediaevalia","Classique et Médiévale","wikipedia","French"
"Classica et Mediaevalia","Classica et Mediaevalia","wikipedia","German"
"Communion","Gemeinschaft","wikipedia","German"
"Communion","Comunión","wikipedia","Spanish"
"Proceedings of the Academy of Sciences","Comptes rendus de l'Académie des Sciences","wikipedia","French"
"Communicate","Comunicar","wikipedia","Spanish"
"Communicate","Jiāoliú","wikipedia","Chinese"
"Communicate","Comunicar","wikipedia","Portuguese"
"Council","Vijeće","wikipedia","Croatian"
"Council","Rat","wikipedia","German"
"Council","Consiglio","wikipedia","Italian"
"Council","Conselho","wikipedia","Portuguese"
"Council","Concejo","wikipedia","Spanish"
"Confluences","Confluencias","wikipedia","Spanish"
"Confluences","Confluenze","wikipedia","Italian"
"Confluences","Confluências","wikipedia","Portuguese"
"Conservation Science in Cultural Heritage","Scienze della conservazione dei beni culturali","wikipedia","Italian"
"Contemporary Accounting Research","Recherche comptable contemporaine","wikipedia","French"
"Courier Research Institute Senckenberg","Courier Forschungsinstitut Senckenberg","wikipedia","German"
"Crelle's Journal","Crelles Tagebuch","wikipedia","German"
"Crelle's Journal","Le journal de Crelle","wikipedia","French"
"Cretica Chronica","Cretica Chronica","wikipedia","Greek"
"Cretica Chronica","Crétique Chronique","wikipedia","French"
"Cretica Chronica","Cretica Chronica","wikipedia","German"
"Cretica Chronica","Cretica Cronica","wikipedia","Italian"
"Crisis","Crise","wikipedia","French"
"Crisis","Krise","wikipedia","German"
"Culture","Culture","wikipedia","French"
"Culture","Kultur","wikipedia","German"
"Culture","Cultura","wikipedia","Italian"
"Current Approaches in Psychiatry","Psikiyatride Güncel Yaklaşımlar","wikipedia","Turkish"
"Current Medical Science","Aktuelle medizinische Wissenschaft","wikipedia","German"
"Dacia","Dacia","wikipedia","Romanian"
"Dacia","Dacia","wikipedia","French"
"Dacia","Dacia","wikipedia","German"
"Dacia","Dakiya","wikipedia","Russian"
"Damqatum","Damquatum","wikipedia","French"
"Damqatum","Damqatum","wikipedia","Spanish"
"Danish Journal of Geography","Dansk Tidsskrift for Geografi","wikipedia","Danish"
"Dialogue","Dialogue","wikipedia","French"
"Dieđut","Dieđut","wikipedia","French"
"Linguistic Research","Dilbilim Araştırmaları","wikipedia","Turkish"
"Discussion","Discussão","wikipedia","Portuguese"
"Duke Mathematical Journal","Journal mathématique duc","wikipedia","French"
"Durkheimian Studies","Études durkheimiennes","wikipedia","French"
"Dutch Journal of Music Theory","Nederlands Tijdschrift voor Muziektheorie","wikipedia","Dutch"
"Dutch Journal of Music Theory","Niederländische Zeitschrift für Musiktheorie","wikipedia","German"
"Dynamis","Dinámica","wikipedia","Spanish"
"Eastern Mediterranean Health Journal","Journal de la santé de la Méditerranée orientale","wikipedia","French"
"Eastern Mediterranean Health Journal","majalat sihat sharq albahr al'abyad almutawasit","wikipedia","Arabic"
"The church praying","L'église en prière","wikipedia","French"
"The church praying","Die Kirche betet","wikipedia","German"
"The church praying","La chiesa in preghiera","wikipedia","Italian"
"The church praying","A igreja orando","wikipedia","Portuguese"
"The church praying","la iglesia orando","wikipedia","Sapnish"
"Ecoscience","Écosciences","wikipedia","French"
"Éditions Mélanie Seteun","Éditions Mélanie Seteun","wikipedia","French"
"Education Policy Analysis Archives","Archivos de análisis de políticas educativas","wikipedia","Sapnish"
"Education Policy Analysis Archives","Arquivos de análise de políticas educacionais","wikipedia","Portuguese"
"Education Review","Revisão educacional","wikipedia","Portuguese"
"Education Review","Revisión de educación","wikipedia","Sapnish"
"Eighteenth-Century Ireland","Éire san Ochtú hAois Déag","wikipedia","Irish"
"Eighteenth-Century Ireland","L'Irlande du XVIIIe siècle","wikipedia","French"
"Electronics","Elektronika","wikipedia","polish"
"Elements of mathematics","Éléments de mathématiques","wikipedia","French"
"Encyclopedia of Mexico","Encyclopédie du Mexique","wikipedia","French"
"Energy-Safety and Energy-Economy","Energobezopasnost' i energoekonomika","wikipedia","Russian"
"Entomological Journal","Entomologisk tidskrift","wikipedia","Swedish"
"Leuven Theological Journals","Revues théologiques de Louvain","wikipedia","French"
"Leuven Theological Journals","Leuvener theologische Zeitschriften","wikipedia","German"
"Epistemology","Epistemologia","wikipedia","Italian"
"ERA Forum","Forum ERA","wikipedia","French"
"ERA Forum","ERA-Forum","wikipedia","German"
"Eriu","Eiriu","wikipedia","Irish"
"Space and Development","Espacio y desarrollo","wikipedia","Spanish"
"Space and Development","Espaço e Desenvolvimento","wikipedia","Portuguese"
"Space and Development","Espace et développement","wikipedia","French"
"The Creative Spirit","L'esprit créatif","wikipedia","French"
"Atacameños Studies","Estudios atacameños","wikipedia","Spanish"
"Atacama studies","estudios de atacama","wikipedia","Spanish"
"Phenomenological Studies","Études phénoménologiques","wikipedia","French"
"European Journal of Minority Studies","Europäisches Journal für Minderheitenstudien","wikipedia","German"
"European Journal of Post-Classical Archaeologies","Revue européenne d'archéologies post-classiques","wikipedia","French"
"European Journal of Post-Classical Archaeologies","Giornale europeo di archeologie post-classiche","wikipedia","Italian"
"European Journal of Post-Classical Archaeologies","Revista europea de arqueología posclásica","wikipedia","Sapnish"
"European Journal of Theology","Journal Européen de Théologie","wikipedia","French"
"European Journal of Theology","Europäische Theologische Zeitschrift","wikipedia","German"
"European Law Reporter","Europäischer Rechtsreporter","wikipedia","German"
"The European Legacy","L'héritage européen","wikipedia","French"
"A story","Une histoire","wikipedia","French"
"A story","Eine Geschichte","wikipedia","German"
"Family Process","Proceso Familiar","wikipedia","Spanish"
"Family Process","Jiātíng liúchéng","wikipedia","Chinese"
"Feminist Studies","Feministische Studien","wikipedia","German"
"Philosophy","filozofia","wikipedia","Slovak"
"Philosophy","Filozofie","wikipedia","Czech"
"Philosophical journal","Filozofski vestnik","wikipedia","Slovene"
"Philosophical journal","Revue philosophique","wikipedia","French"
"Philosophical journal","Philosophische Zeitschrift","wikipedia","German"
"Finance & Development","altamwil waltanmia","wikipedia","Arabic"
"Finance & Development","Jīnróng yǔ fāzhǎn","wikipedia","Chinese"
"Finance & Development","Finances et développement","wikipedia","French"
"Finance & Development","Finansy i razvitiye","wikipedia","Russian"
"Finance & Development","Finanzas y Desarrollo","wikipedia","Spanish"
"Geological Journal","Földtani Közlöny","wikipedia","Hungarian"
"For the Learning of Mathematics","Pour l'apprentissage des mathématiques","wikipedia","French"
"Forced Migration Review","murajaeat alhijrat alqasria","wikipedia","Arabic"
"Forced Migration Review","Revisión de la migración forzada","wikipedia","Spanish"
"Forced Migration Review","Examen de la migration forcée","wikipedia","French"
"Forum: International Journal of Interpretation and Translation","Forum : Revue internationale d’interprétation et de traduction","wikipedia","French"
"Forum: Qualitative Social Research","Forum Qualitative Sozialforschung","wikipedia","German"
"Forum: Qualitative Social Research","Foro: Investigación Social Cualitativa","wikipedia","Spanish"
"Foreign languages ​​and university","Fremdsprachen und Hochschule","wikipedia","German"
"Foreign languages ​​and university","Lingue straniere e università","wikipedia","Italian"
"Foreign languages ​​and university","Lenguas extranjeras y universidad","wikipedia","Spanish"
"Foreign languages ​​and university","Langues étrangères et université","wikipedia","French"
"French Forum","Forum français","wikipedia","French"
"French Historical Studies","Études historiques françaises","wikipedia","French"
"French Politics, Culture & Society","Politique, culture et société françaises","wikipedia","French"
"French Studies","Études françaises","wikipedia","French"
"Foundation for Science and Technology","Fondation pour la science et la technologie","wikipedia","French"
"Foundation for Science and Technology","Fundação para a Ciência e Tecnologia","wikipedia","Portuguese"
"Foundation for Science and Technology","Fundación para la Ciencia y la Tecnología","wikipedia","Spanish"
"GAIA","GAIA","wikipedia","German"
"Gayana","Siete","wikipedia","Spanish"
"Guyana Botany","Guyana Botany","wikipedia","Spanish"
"Italian Chemical Journal","Gazzetta Chimica Italiana","wikipedia","Italian"
"Genetics Selection Evolution","Évolution de la sélection génétique","wikipedia","French"
"Genome","Génome","wikipedia","French"
"International Geophysics","Geofísica Internacional ","wikipedia","Spanish"
"Polish geography","Geografia Polski","wikipedia","Polish"
"Geomorphology","Géomorphologie","wikipedia","French"
"German Yearbook of International Law","Annuaire allemand de droit international","wikipedia","French"
"German Yearbook of International Law","Deutsches Jahrbuch für Völkerrecht","wikipedia","German"
"German studies in Ireland","Germanistik in Ireland ","wikipedia","German"
"German studies in Ireland","Staidéar Gearmánach in Éirinn","wikipedia","Irish"
"History and society","Geschichte und Gesellschaft","wikipedia","German"
"Journal of Economists and Annals of Economics","Giornale degli economisti e Annali di economia","wikipedia","Italian"
"Glareana","Glaréane","wikipedia","French"
"Glareana","Glareana","wikipedia","German"
"Global Health Promotion","Promotion de la santé mondiale","wikipedia","French"
"Global Health Promotion","Promoción de la salud mundial","wikipedia","Spanish"
"Göttingen miscellaneous","Göttinger Miszellen ","wikipedia","German"
"Göttingen miscellaneous","Göttingen divers","wikipedia","French"
"Graz Philosophical Studies","Grazer Philosophische Studien","wikipedia","German"
"Haigazian Armenological Review","Haykazyan hayagitakan ​​aknark","wikipedia","Armenian"
"Haigazian Armenological Review","Revue Arménologique Haigazienne","wikipedia","French"
"Haigazian Armenological Review","murajaeat 'armanulujiat hijazya","wikipedia","Arabic"
"Hask Armenological Review ","Haski hayagitakan ​​aknark","wikipedia","Armenian"
"Hask Armenological Review ","Revue arménologique Hask","wikipedia","French"
"Hatomim","khsumim","wikipedia","Yiddish"
"Hegel yearbook","Hegel-Jahrbuch","wikipedia","German"
"Heidegger Studies","Heidegger-Studien","wikipedia","German"
"Heidegger Studies","Études heideggeriennes","wikipedia","French"
"Henoch","Hénoch","wikipedia","French"
"Henoch","Henoch","wikipedia","German"
"Henoch","Henoch","wikipedia","Italian"
"Henoch","Enoc","wikipedia","Spanish"
"Spain","España","wikipedia","Spanish"
"Spain","Espanha","wikipedia","Portuguese"
"National Association of Hispanic Nurses","Asociación Nacional de Enfermeras Hispanas","wikipedia","Spanish"
"Hispanic Review","Revisión hispana","wikipedia","Spanish"
"Hispanic Review","Revisão Hispânica","wikipedia","Portuguese"
"History","Geschichte","wikipedia","German"
"History","Histoire","wikipedia","French"
"History","Storia","wikipedia","Italian"
"History of Sciences","Histoire des sciences","wikipedia","French"
"History of Sciences","Geschichte der Wissenschaften","wikipedia","German"
"Historical Reflections","Réflexions historiques","wikipedia","French"
"Historical Social Research","Historische Sozialforschung","wikipedia","German"
"Historical linguistic research","Historische Sprachforschung","wikipedia","German"
"Historical linguistic research","Recherche linguistique historique","wikipedia","French"
"History and Philosophy of the Life Sciences","Histoire et philosophie des sciences de la vie","wikipedia","French"
"History and Philosophy of the Life Sciences","Geschichte und Philosophie der Biowissenschaften","wikipedia","German"
"History and Philosophy of the Life Sciences","Storia e filosofia delle scienze della vita","wikipedia","Italian"
"The Hong Kong Journal of Social Work","Xiānggǎng shèhuì gōngzuò xuébào","wikipedia","Chinese"
"Hong Kong Studies","Xiānggǎng yánjiū","wikipedia","Chinese"
"Humanly","Humainement","wikipedia","French"
"Humanly","Menschlich","wikipedia","German"
"Humanly","Umanamente","wikipedia","Italian"
"Hungarian Studies","Études hongroises","wikipedia","French"
"Hungarian Studies","Ungarische Studien","wikipedia","German"
"Iberus","íbero","wikipedia","Spanish"
"Ilheringia","Ilheríngia","wikipedia","Portuguese"
"Indo-European research","Indogermanische Forschung","wikipedia","German"
"Indo-European research","Recherche indo-européenne","wikipedia","French"
"Intellectica","Intellectique","wikipedia","French"
"Inter-American Journal of Philosophy","Revista Interamericana de Filosofia","wikipedia","Portuguese"
