ID,ENTRYTYPE,doi,year,volume,number,url,journal,title,author,pages,abstract,language,dblp_key
000017,article,10.25300/MISQ/2016/40.3.10,2016,40,3,,MIS Quarterly,The Making of a Good Impression: Information Hiding in Ad Exchanges,"Sun, Zhen and Dawande, Milind and Janakiraman, Ganesh and Mookerjee, Vijay",717--739,,,
000018,article,10.25300/MISQ/2021/15514,2021,45,3,https://misq.umn.edu/the-impact-of-the-sharing-economy-on-household-bankruptcy.html,MIS Quarterly,The Impact of the Sharing Economy on Household Bankruptcy,"Nian, Tingting and Zhu, Yuyuan (Anthony) and Gurbaxani, Vijay",1213--1248,"Powered by digital technologies, many peer-to-peer platforms, or what is called the sharing economy, have emerged in the past decade. Although the impact of the sharing economy has received considerable attention over the past few years, extant research has not fully documented the impact of the sharing economy on consumers, workers, industry, or society as a whole. In this study, we exploit the geographical and temporal variation in Uber’s entry to examine its impact on the personal bankruptcy rate as well as on other consumer credit default rates. We empirically document the changes in personal bankruptcy filings after Uber’s entry, and show that personal bankruptcy filings under Chapter 7 experience a drop of 0.047 per 1,000 people after Uber enters a county, which translates to a 3.26% reduction in quarterly bankruptcy filings. Uber’s entry also leads to a reduction in Chapter 13 personal bankruptcy filings, but to a smaller degree (0.018 cases per 1,000 people per quarter). We check the validity of our estimates using business bankruptcy filings, which we find are uncorrelated with Uber’s entry.",,
000019,misc,10.25300/MISQ/2021/45.2,2021,45,2,https://misq.umn.edu/contents-45-2,,,,,,,
000020,misc,10.25300/MISQ/2017/41.4,2017,41,4,https://misq.umn.edu/contents-41-4/,,,,,,,
000021,article,10.2307/41410409,2012,36,1,,MIS Quarterly,Revisiting Bias Due to Construct Misspecification: Different Results from Considering Coefficients in Standardized Form,Aguirre-Urreta and Marakas,,,,
000022,article,10.25300/MISQ/2020/11872,2020,44,4,,MIS Quarterly,Organizational Sensemaking in ERP Implementation: The Influence of Sensemaking Structure,"Tan, Barney and Pan, Shan L. and Chen, Wenbo and Huang, Lihua",1773--1809,,,
000023,article,10.2307/25148734,2006,30,2,,MIS Quarterly,Managing Peer-to-Peer Conflicts in Disruptive Information Technology Innovations: The Case of Software Reuse,Sherif and Zmud and Browne,339,,,
000024,article,10.2307/249781,1990,14,4,,MIS Quarterly,TELCOT: An Application of Information Technology for Competitive Advantage in the Cotton Industry,"Lindsey, Darryl and Cheney, Paul H. and Kasper, George M. and Ives, Blake",,,,
000025,article,10.25300/MISQ/2018/13427,2018,42,1,,MIS Quarterly,Re-representation as Work Design in Outsourcing: A Semiotic View,"Oshri, Ilan and Henfridsson, Ola and Kotlarsky, Julia",1--23,,,
000026,article,10.2307/249012,1989,13,3,,MIS Quarterly,Establishing Telemarketing Leadership through Information Management: Creative Concepts at AT&T American Transtech,"Cobbin, W. Frank and Kozar, Kenneth A. and Michaele, Stephen J.",,,,
000027,article,10.2307/249616,1994,18,3,,MIS Quarterly,Creating and Sustaining a Global Community of Scholars,"Watson, Richard",,,,
000028,misc,10.25300/MISQ/2015/39.3/,2015,39,3,https://misq.umn.edu/contents-39-3,,,,,,,
000029,article,10.2307/23043497,2011,35,1,,MIS Quarterly,Errata Note: Are There Neural Gender Differences in Online Trust? An fMRI Study on the Perceived Trustworthiness of eBay Offers,DeGross,,,,
000030,article,10.2307/20650280,2009,33,1,,MIS Quarterly,Are Two Heads Better than One for Software Development? The Productivity Paradox of Pair Programming,Balijepally and Mahapatra and Nerur and Price,91,,,
000031,article,10.2307/4132313,2002,26,4,,MIS Quarterly,Cross-Cultural Software Production and Use: A Structurational Analysis,"Walsham, Geoff",359,,,
000032,article,10.2307/249564,1996,20,4,,MIS Quarterly,Computer-Based Monitoring: Common Perceptions and Empirical Results,"George, Joey F.",459,,,
000033,article,10.2307/25148668,2005,29,1,,MIS Quarterly,Antecedents of Knowledge Transfer from Consultants to Clients in Enterprise System Implementations,Ko and Kirsch and King,59,,,
000034,article,10.2307/248875,1986,10,1,,MIS Quarterly,Human Resource Information Systems: A Current Assessment,"DeSanctis, Gerardine",15,,,
000036,misc,10.25300/MISQ/2015/39.1/,2015,39,1,https://misq.umn.edu/contents-39-1,,,,,,,
000038,article,10.2307/248863,1980,4,1,,MIS Quarterly,Integration of Algorithmic Aids into Decision Support Systems,"Barbosa, L. C. and Hirko, R. G.",,,,
000040,article,10.2307/25148634,2004,28,2,,MIS Quarterly,Understanding Changes in Belief and Attitude toward Information Technology Usage: A Theoretical Model and Longitudinal Test,Bhattacherjee and Premkumar,229,,,
000041,article,10.2307/249563,1996,20,4,,MIS Quarterly,"Information Exchange and Use in Group Decision Making: You Can Lead a Group to Information, but You Can't Make It Think","Dennis, Alan R.",433,,,
000042,article,10.2307/25148873,2008,32,4,,MIS Quarterly,CyberGate: A Design Framework and System for Text Analysis of Computer-Mediated Communication,Abbasi and Chen,811,,,
000043,article,10.25300/MISQ/2020/15106,2020,44,1,https://misq.umn.edu/a-comprehensive-analysis-of-triggers-and-risk-factors-for-asthma-based-on-machine-learning-and-large-heterogeneous-data-sources.html,MIS Quarterly,A Comprehensive Analysis of Triggers and Risk Factors for Asthma Based on Machine Learning and Large Heterogeneous Data Sources,"Zhang, Wenli and Ram, Sudha",305--349,,,
000044,article,10.25300/MISQ/2018/13215,2018,42,2,https://misq.umn.edu/the-effects-of-communication-media-and-culture-on-deception-detection-accuracy.html,MIS Quarterly,The Effects of Communication Media and Culture on Deception Detection Accuracy,"George, Joey F. and Gupta, Manjul and Giordano, Gabriel and Mills, Annette M. and Tennant, Vanesa M. and Lewis, Carmen C.",551--575,,,
000045,article,10.2307/248788,1979,3,3,,MIS Quarterly,Motivation Levels of MIS Managers versus Those of Their Employees,"Couger, J. Daniel and Zawacki, Robert A. and Oppermann, Edward B.",47,,,
000046,article,10.2307/4132321,2002,26,2,,MIS Quarterly,Shaping up for E-Commerce: Institutional Enablers of the Organizational Assimilation of Web Technologies,"Chatterjee, Debabroto and Grewal, Rajdeep and Sambamurthy, V.",65,,,
000047,article,10.2307/248666,1984,8,3,,MIS Quarterly,Issues in the Design of Group Decision Support Sytems,"Huber, George P.",195,,,
000048,article,10.2307/41703497,2012,36,4,,MIS Quarterly,"Information Technology Outsourcing, Knowledge Transfer, and Firm Productivity: An Empirical Analysis",Chang and Gurbaxani,1043,,,
000049,article,10.25300/MISQ/2015/39.1.01,2015,39,1,https://misq.umn.edu/motivating-employees-to-explore-collaboration-technology-in-team-contexts.html,MIS Quarterly,Motivating Employees to Explore Collaboration Technology in Team Contexts,"Maruping, Likoebe M. and Magni, Massimo",1--16,,,
000050,article,10.25300/MISQ/2017/41.4.01,2017,41,4,https://misq.umn.edu/toward-meaningful-engagement-a-framework-for-design-and-research-of-gamified-information-systems.html,MIS Quarterly,Toward Meaningful Engagement: A Framework for Design and Research of Gamified Information Systems,"Liu, De and Santhanam, Radhika and Webster, Jane",1011--1034,,,
000052,article,10.2307/248742,1983,7,4,,MIS Quarterly,The Application Approach Worksheet: An Evaluative Tool for Matching New Development Methods with Appropriate Applications,"Shomenta, Jack and Kamp, Gary and Hanson, Bob and Simpson, Brandon",,,,
000053,article,10.2307/249289,1981,5,3,,MIS Quarterly,"The Golden Scope Syndrome, the Availability Effect, and MIS","Young, Lawrence F.",,,,
000055,article,10.25300/MISQ/2020/12336,2020,44,2,,MIS Quarterly,Optimal Asset Transfer in IT Outsourcing Contracts,"Shivendu, Shivendu and Zeng, David and Gurbaxani, Vijay",857--905,,,
000056,article,10.2307/248841,1988,12,2,,MIS Quarterly,Software Maintainability: Perceptions of EDP Professionals,"Kim, Chai and Westin, Stu",,,,
000057,article,10.2307/249470,1999,23,3,,MIS Quarterly,Horizontal Mechanisms under Differing IS Organization Contexts,"Brown, Carol V.",,,,
000058,article,10.25300/MISQ/2015/39.1.08,2015,39,1,https://misq.umn.edu/the-value-of-self-service-long-term-effects-of-technology-based-self-service-usage-on-customer-retention.html,MIS Quarterly,The Value of Self-Service: Long-Term Effects of Technology-Based Self-Service Usage on Customer Retention,"Scherer, Anne and Wünderlich, Nancy V. and von Wangenheim, Florian",177--200,,,
000059,article,10.25300/MISQ/2016/40.2.06,2016,40,2,https://misq.umn.edu/information-and-communication-technology-and-the-social-inclusion-of-refugees.html,MIS Quarterly,Information and Communication Technology and the Social Inclusion of Refugees,"Díaz Andrade, Antonio and Doolin, Bill",405--416,,,
000060,article,10.25300/MISQ/2017/41.2.12,2017,41,2,,MIS Quarterly,Is a Core-Periphery Network Good for Knowledge Sharing? A Structural Model of Endogenous Network Formation on a Crowdsourced Customer Support Forum,"Lu, Yingda and Singh, Param Vir and Sun, Baohong",607--628,,,
000061,article,10.2307/25148701,2005,29,4,,MIS Quarterly,Taking Industry Seriously in Information Systems Research,Chiasson and Davidson,591,,,
000062,article,10.25300/MISQ/2021/15887,2021,45,1,https://misq.umn.edu/everything-flows-studying-continuous-socio-technological-transformation-in-a-fluid-and-dynamic-digital-world.html,MIS Quarterly,Everything Flows: Studying Continuous Socio-Technological Transformation in a Fluid and Dynamic Digital World,"Mousavi Baygi, Reza and Introna, Lucas D. and Hultin, Lotta",423--452,,,
000063,article,10.25300/MISQ/2017/41.3.14,2017,41,3,https://misq.umn.edu/examining-the-mediating-roles-of-cognitive-load-and-performance-outcomes-in-user-satisfaction-with-a-website-a-field-quasi-experiment.html,MIS Quarterly,Examining the Mediating Roles of Cognitive Load and Performance Outcomes in User Satisfaction with a Website: A Field Quasi-Experiment,"Hu, Paul Jen-Hwa and Hu, Han-fen and Fang, Xiao",975--987,,,
000064,article,10.2307/25148767,2006,30,,,MIS Quarterly,Circuits of Power in Creating de jure Standards: Shaping an International Information Systems Security Standard,Backhouse and Hsu and Silva,413,,,
000065,article,10.25300/MISQ/2020/16371,2020,44,4,https://misq.umn.edu/understanding-echo-chambers-and-filter-bubbles-the-impact-of-social-media-on-diversificationi-and-partisan-shifts-in-news-consumption.html,MIS Quarterly,Understanding Echo Chambers and Filter Bubbles: The Impact of Social Media on Diversification and Partisan Shifts in News Consumption,"Kitchens, Brent and Johnson, Steve L. and Gray, Peter",1619--1649,,,
000066,article,10.25300/MISQ/2020/14589,2020,44,3,https://misq.umn.edu/altruism-or-shrewd-business-implications-of-technology-openness-on-innovations-and-competition.html,MIS Quarterly,Altruism or Shrewd Business? Implications of Technology Openness on Innovations and Competition,"Huang, He and Parker, Geoffrey and Tan, Yinliang (Ricky) and Xu, Hongyan",1049--1071,,,
000067,article,10.25300/MISQ/2016/40.2.08,2016,40,2,https://misq.umn.edu/the-evolution-of-an-ict-platform-enabled-ecosystem-for-poverty-alleviation-the-case-of-ekutir.html,MIS Quarterly,The Evolution of an ICT Platform-Enabled Ecosystem for Poverty Alleviation: The Case of eKutir,"Jha, Srivardhini K. and Pinsonneault, Alain and Dubé, Laurette",431--445,,,
000068,article,10.2307/248938,1978,2,2,,MIS Quarterly,Essential Principles of Information Systems Development,"Senn, James A.",,,,
000069,article,10.2307/249165,1977,1,2,,MIS Quarterly,Coalescence: The Inevitable Fate of Data Processing,"Getz, C. W.",,,,
000070,article,10.25300/MISQ/2021/13265,2021,45,2,https://misq.umn.edu/how-does-employee-infusion-use-of-crm-systems-drive-customer-satisfaction-mechanism-differences-between-face-to-face-and-virtual-channels.html,MIS Quarterly,How Does Employee Infusion Use of CRM Systems Drive Customer Satisfaction? Mechanism Differences Between Face-to-Face and Virtual Channels,"Chen, Liwei and Hsieh, J. J. Po-An and Rai, Arun and Xu, Sean Xin",719--754,"To attain customer satisfaction, service firms invest significant resources to implement customer relationship management (CRM) systems to support internal customer service (CS) employees who provide service to external customers in both face-to-face and virtual channels. How CS employees apply sophisticated CRM systems to interact with customers and how the mechanisms through which their CRM usage affects customer satisfaction vary across service channels and bear important implications. We approach these issues by investigating the concept of infusion use, defined as CS employees’ assessment of the extent to which they use a CRM system to its fullest potential to best support their work in the CRM-enabled service interaction context. Drawing on the IS success framework and expectation confirmation theory, we first formulate a baseline model that explains the direct and indirect mechanisms through which CS employees’ infusion use of CRM systems leads to customers’ expectation confirmation, which in turn affects customers’ satisfaction. We then draw on the lenses of media richness and communication adaptation to theorize why these two mechanisms exert differential influence in face-to-face and virtual channels. We test the hypotheses by collecting multiwave data from CS employees, customers, and firm archives of a Fortune 500 telecom service firm. We find that (1) CS employee infusion use can directly contribute to customer expectation confirmation and indirectly do so through CS employees’ satisfaction with the system (i.e., user satisfaction), and (2) the direct mechanism plays a more critical role in the face-to-face channel, whereas the indirect mechanism is more important in the virtual channel. Our findings inform managers of the avenues through which employees’ infusion use promotes CRM-enabled service success across face-to-face and virtual service channels.",,
000071,misc,10.25300/MISQ/2014/38.1,2014,38,1,https://misq.umn.edu/contents-38-1/,,,,,,,
000074,article,10.2307/249084,1979,3,2,,MIS Quarterly,"A ""Balanced"" Orientation for the Information Systems Manager","Taggart, William M. and Silbey, Valdur",,,,
000075,misc,10.25300/MISQ/2017/42.1,2018,42,1,https://misq.umn.edu/contents-42-1,,,,,,,
000076,article,10.2307/23044043,2011,35,2,,MIS Quarterly,Editorial Introduction: Special Research Commentary Series on Advanced Methodological Thinking for Quantitative Research,Stafford,,,,
000077,article,10.2307/249301,1990,14,1,,MIS Quarterly,"Comments on ""Price and Value of Decision Support Systems""","Toraskar, Kranti V. and Joglekar, Prafulla N.",,,,
000078,article,10.2307/249572,1992,16,2,,MIS Quarterly,"Response to Rao, et al: How to Deal with Cognitive Style","Huber, George P.",,,,
000079,article,10.2307/248794,1988,12,1,,MIS Quarterly,"How Long Will Computers Stay ""Dumb""?","Kugel, Peter",,,,
000080,article,10.2307/249290,1981,5,3,,MIS Quarterly,Structured Systems Planning,"Highsmith, Jim",,,,
000081,article,10.2307/23044050,2011,35,2,,MIS Quarterly,Managing Consumer Privacy Concerns in Personalization: A Strategic Analysis of Privacy Protection,Lee and Ahn and Bang,423,,,
000082,article,10.2307/249406,1999,23,1,,MIS Quarterly,Empirical Research in Information Systems: On the Relevance of Practice in Thinking of IS Research,"Lyytinen, Kalle",,,,
000083,article,10.25300/MISQ/2021/14809,2021,45,2,,MIS Quarterly,Designing Payment Contracts for Healthcare Services to Induce Information Sharing: The Adoption and the Value of Health Information Exchanges (HIEs),"Ayvaci, Mehmet and Cavusoglu, Huseyin and Kim, Yeongin and Raghunathan, Srinivasan",637--692,"Recent initiatives to improve healthcare quality and reduce costs have centered around payment mechanisms and IT-enabled health information exchanges (HIEs). Such initiatives profoundly influence both providers’ choices in terms of healthcare effort levels and HIE adoption and patients’ choice of providers. Using a game-theoretical model of a healthcare setup, we examine the role of payment models in aligning providers’ and patients’ incentives for realizing socially optimal (i.e., first-best) choices. We show that the traditional fee-for-service (FFS) payment model does not necessarily induce the first-best solution. The pay-for-performance (P4P) model may induce the first-best solution under some conditions if provider switching by patients during a health episode is socially suboptimal, making provider coordination less of an issue. We identify an episode-based payment (EBP) model that can always induce the first-best solution. The proposed EBP model reduces to the P4P model if the P4P model induces the first-best solution. In other cases, the first-best inducing EBP model is multilateral in the sense that the payment to a provider depends not only on the provider’s own efforts and outcomes but also on those of other providers. Furthermore, the payment in this EBP model is sequence dependent in the sense that payment to a provider is contingent upon whether the patient visits a given provider first or second. We show that the proposed EBP model achieves the lowest healthcare cost, not necessarily at the expense of care quality or provider payment, relative to FFS and P4P. Although our proposed contract is complex, it sets an optimality baseline when evaluating simpler contracts and also characterizes aspects of payment that need to be captured for socially desirable actions. We further show that the value of HIEs depends critically on the payment model as well as on the social desirability of patient switching. Under all three payment models, the HIE value is higher when switching by at least some patients is desirable than when switching by any patient is undesirable. Moreover, the HIE value is highest under the FFS model and lowest under the P4P model. Hence, assessing the value of HIEs in isolation from the underlying payment mechanism and patient-switching behavior may result in under- or overestimation of the HIE value. Therefore, as payment models evolve over time, there is a real need to reevaluate the HIE value and the government subsidies that induce providers to adopt HIEs.",,
000084,article,10.2307/249570,1992,16,2,,MIS Quarterly,"Hemispheric Specialization, Cognitive Differences, and Their Implications for the Design of Decision Support Systems","Rao, H. Raghav and Jacob, Varghese S. and Lin, Frank",,,,
000085,article,10.25300/MISQ/2021/15352,2021,45,2,https://misq.umn.edu/designing-promotional-incentives-to-embrace-social-sharing-evidence-from-field-and-online-experiments.html,MIS Quarterly,Designing Promotional Incentives to Embrace Social Sharing: Evidence from Field and Online Experiments,"Sun, Tianshu and Viswanathan, Siva and Huang, Ni and Zheleva, Elena",789--820,"Despite the increasing connectivity between consumers and the large volume of social shares supported by digital technologies, there is an absence of research systematically investigating how firms can design promotional incentives that jointly consider their consumers as both purchasers and sharers. In this study, we examine whether and how firms can leverage consumers’ social connections and engage consumers to share promotional incentives. In collaboration with a leading online deal platform, we report a large-scale randomized field experiment to test the effectiveness of different incentive designs (varying in the shareability and scarcity of promotion codes) in driving social sharing senders’ purchases and successful referrals. We find that the different incentive designs have distinct impacts on the purchase and referral outcomes. Specifically, providing senders with one non-shareable promo code significantly increases their own purchase likelihood, compared to the other experimental groups. In contrast, senders who receive one shareable promo code are less likely to purchase themselves yet are more likely to make successful referrals. Surprisingly, the incentive design with two promo codes containing one non-shareable code and one shareable code increases neither the senders’ purchases nor their successful referrals. Managerially, we estimate that although the one non-shareable promo code group derives the highest net revenue for the experimental period, the one shareable promo code group derives the highest customer lifetime value for the firm from the new customers acquired through the successful referrals. We further conducted two online experiments on Amazon Mechanical Turk that replicate the field experiment’s findings and explore the underlying mechanisms of the observed relationships. We find that exclusivity perception and social motives triggered by the incentive designs with one promo code mediate their effects on senders’ self-purchases and successful referrals, respectively, and explain the ineffectiveness of two promo codes. Our study contributes to the bodies of literature on IT-enabled social sharing and social promotions, providing implications for firms on how to design promotional incentives that accommodate the dual role of consumers as purchasers and sharers.",,
000086,article,10.2307/249048,1979,3,4,,MIS Quarterly,An Analysis of the Impact of Distributed Data Processing on Organizations in the 1980's,"Davis, Charles K. and Wetherbe, James C.",,,,
000088,article,10.2307/249033,1986,10,2,,MIS Quarterly,Evaluating MIS Design Principles,"Nutt, Paul C.",139,,,
000089,article,10.25300/MISQ/2017/41.4.10,2017,41,4,https://misq.umn.edu/drawing-a-line-in-the-sand-commitment-problem-in-ending-software-support.html,MIS Quarterly,Drawing a Line in the Sand: Commitment Problem in Ending Software Support,"Ghoshal, Abhijeet",1227--1247,,,
000090,article,10.2307/25148622,2004,28,1,,MIS Quarterly,Beta versus VHS and the Acceptance of Electronic Brainstorming Technology,Dennis and Reinicke,1,,,
000091,article,10.25300/MISQ/2016/40.1.04,2016,40,1,https://misq.umn.edu/valuing-information-technology-related-intangible-assets.html,MIS Quarterly,Valuing Information Technology Related Intangible Assets,"Saunders, Adam and Brynjolfsson, Erik",83--110,,,
000092,article,10.2307/41703480,2012,36,3,,MIS Quarterly,The Roles of Theory in Canonical Action Research,Davison and Martinsons and Ou,763,,,
000093,article,10.25300/MISQ/2020/14477,2020,44,1,https://misq.umn.edu/organized-complexity-of-digital-business-strategy-a-configurational-perspective.html,MIS Quarterly,Organized Complexity of Digital Business Strategy: A Configurational Perspective,"Park, YoungKi and Mithas, Sunil",85--127,,,
000094,article,10.25300/MISQ/2014/38.1.11,2014,38,1,https://misq.umn.edu/complementary-online-services-in-competitive-markets-maintaining-profitability-in-the-presence-of-network-effects.html,MIS Quarterly,Complementary Online Services in Competitive Markets: Maintaining Profitability in the Presence of Network Effects,"Etzion, Hila and Pang, Min-Seok",231--248,,,
000095,article,10.2307/20650321,2009,33,4,,MIS Quarterly,Fashion Waves versus Informing: Response to Baskerville and Myers,Gill and Bhattacherjee,667,,,
000096,article,10.2307/248920,1989,13,2,,MIS Quarterly,Implementing Security and Integrity in Micro-Mainframe Networks,"Boockholdt, J. L.",,,,
000097,article,10.2307/248686,1987,11,3,,MIS Quarterly,Information Resource Planning: Overcoming Difficulties in Identifying Top Management's Objectives,"Lederer, Albert L. and Mendelow, Aubrey L.",,,,
000098,article,10.25300/MISQ/2017/41.1.09,2017,41,1,,MIS Quarterly,A Data Envelopment Analysis Approach to Estimate IT-Enabled Production Capability,"Ayabakan, Sezgin and Bardhan, Indranil R. and Zheng, Zhiqiang (Eric)",189--205,,,
000099,article,10.25300/MISQ/2019/14653,2019,43,3,https://misq.umn.edu/technology-as-routine-capability.html,MIS Quarterly,Technology as Routine Capability,"Swanson, E. Burton",1007--1024,,,
000100,article,10.2307/249497,1997,21,3,,MIS Quarterly,Developing an Historical Tradition in MIS Research,"Mason, Richard O. and McKenney, James L. and Copeland, Duncan G.",,,,
000101,article,10.2307/249531,1992,16,3,,MIS Quarterly,The Application of Electronic Meeting Technology to Support Strategic Management,"Tyran, Craig K. and Dennis, Alan R. and Vogel, Douglas R. and Nunamaker, J. F.",313,,,
000102,article,10.2307/25148777,2007,31,1,,MIS Quarterly,Editor's Comments: Looking for a Few Good Concepts...and Theories...for the Information Systems Field,Markus and Saunders,iii,,,
000103,article,10.2307/249608,1994,18,1,,MIS Quarterly,A Multimedia Solution to Productivity Gridlock: A Re-Engineered Jewelry Appraisal System at Zale Corporation,"Newman, Julie and Kozar, Kenneth A.",,,,
000104,article,10.2307/248735,1989,13,4,,MIS Quarterly,Managing the Merger: Building Partnership through IT Planning at the New Baxter,"Main, Thomas J. and Short, James E.",,,,
000106,article,10.2307/248787,1979,3,3,,MIS Quarterly,The Financial Planning System at Louisiana National Bank,"Sprague, Ralph H. and Olson, Ronald L.",,,,
000107,article,10.2307/25148839,2008,32,2,,MIS Quarterly,"Cocreating Understanding and Value in Distributed Work: How Members of Onsite and Offshore Vendor Teams Give, Make, Demand, and Break Sense",Vlaar and van Fenema and Tiwari,227,,,
000108,article,10.2307/25750703,2010,34,4,,MIS Quarterly,Understanding Organization—Enterprise System Fit: A Path to Theorizing the Information Technology Artifact,Strong and Volkoff,731,,,
000111,article,10.25300/MISQ/2021/12860,2021,45,3,https://misq.umn.edu/the-dialectics-of-technology-standardization.html,MIS Quarterly,The Dialectics of Technology Standardization,"Lindgren, Rikard and Mathiassen, Lars and Schultze, Ulrike",1187--1212,"Technology standardization unfolds as a dialectic process marked by paradoxical tensions. However, standardization research has yet to provide a dialectic analysis of how tensions and management responses interact recursively over time, and with what effect. In this paper, we apply dialectics to analyze an action research study of a Swedish initiative that developed and diffused a technology standard to facilitate the integration of disparate IT systems in road haulage firms. Drawing on the technology standardization literature and our empirical analysis, we engage in midrange theorizing to capture the recursive dynamics through which standard-setters construct and respond to manifestations of three latent tensions: development versus diffusion activities, private versus public interests, and local versus global solutions. Our resulting dialectic theorizing explicates how standard-setters bring these latent tensions into being; how they construct salient tensions through the oppositional logics of polarization, complementarity, and mutuality; how they manage these tensions through splitting, integrating, and suspension responses; and how consequential functional, architectural, and organizational standardization outcomes produce a new social order in which new tensions emerge. These theoretical insights contribute to both the technology standardization and dialectics literatures.",,
000112,article,10.2307/249587,1993,17,4,,MIS Quarterly,User-Database Interface: The Effect of Abstraction Levels on Query Performance,"Chan, Hock Chuan and Wei, Kwok Kee and Siau, Keng Leng",441,,,
000113,article,10.2307/25148871,2008,32,4,,MIS Quarterly,Process Grammar as a Tool for Business Process Design,Lee and Wyner and Pentland,757,,,
000114,article,10.2307/248766,1977,1,1,,MIS Quarterly,Case Studies of End User Requirements for Interactive Problem-Solving Systems,"Carlson, Eric D. and Grace, Barbara F. and Sutton, Jimmy A.",,,,
000115,article,10.2307/249166,1977,1,2,,MIS Quarterly,Attributes of Information System Development,"Juergens, Hugh F.",,,,
000116,article,10.2307/248952,1985,9,3,,MIS Quarterly,Information Systems Support for Group Planning and Decision-Making Activities,"Rathwell, Margaret A. and Burns, Alan",,,,
000117,article,10.25300/MISQ/2020/15102,2020,44,1,https://misq.umn.edu/the-effects-of-participating-in-a-physician-driven-online-health-community-in-managing-chronic-disease-evidence-from-two-natural-experiments.html,MIS Quarterly,The Effects of Participating in a Physician-Driven Online Health Community in Managing Chronic Disease: Evidence from Two Natural Experiments,"Liu, Qianqian Ben and Liu, Xiaoxiao and Guo, Xitong",391--419,,,
000118,article,10.25300/MISQ/2015/39.1.06,2015,39,1,https://misq.umn.edu/an-enhanced-fear-appeal-rhetorical-framework-leveraging-threats-to-the-human-asset-through-sanctioning-rhetoric.html,MIS Quarterly,An Enhanced Fear Appeal Rhetorical Framework: Leveraging Threats to the Human Asset Through Sanctioning Rhetoric,"Johnston, Allen C. and Warkentin, Merrill and Siponen, Mikko",113--134,,,
000119,article,10.25300/MISQ/2020/15323,2020,44,4,https://misq.umn.edu/theoryon-a-design-framework-and-system-for-unlocking-behavioral-knowledge-through-ontology-learning.html,MIS Quarterly,TheoryOn: A Design Framework and System for Unlocking Behavioral Knowledge Through Ontology Learning,"Li, Jingjing and Larsen, Kai and Abbasi, Ahmed",1733--1772,,,
000120,article,10.25300/MISQ/2014/38.1.09,2014,38,1,https://misq.umn.edu/leveraging-philanthropic-behavior-for-customer-support-the-case-of-user-support-forums.html,MIS Quarterly,Leveraging Philanthropic Behavior for Customer Support: The Case of User Support Forums,"Jabr, Wael and Mookerjee, Radha and Tan, Yong and Mookerjee, Vijay S.",187--208,,,
