ID,orig_ID,orig_source,url,number,volume,year,doi,ENTRYTYPE,title,journal,author,pages,abstract,language,dblp_key
C_000023,000023,crossref,,2,30,2006,10.2307/25148734,article,Managing Peer-to-Peer Conflicts in Disruptive Information Technology Innovations: The Case of Software Reuse,MIS Quarterly,Sherif and Zmud and Browne,339,,,
C_000024,000024,crossref,,4,14,1990,10.2307/249781,article,TELCOT: An Application of Information Technology for Competitive Advantage in the Cotton Industry,MIS Quarterly,"Lindsey, Darryl and Cheney, Paul H. and Kasper, George M. and Ives, Blake",,,,
C_000025,000025,crossref,,1,42,2018,10.25300/MISQ/2018/13427,article,Re-representation as Work Design in Outsourcing: A Semiotic View,MIS Quarterly,"Oshri, Ilan and Henfridsson, Ola and Kotlarsky, Julia",1--23,,,
C_000026,000026,crossref,,3,13,1989,10.2307/249012,article,Establishing Telemarketing Leadership through Information Management: Creative Concepts at AT&T American Transtech,MIS Quarterly,"Cobbin, W. Frank and Kozar, Kenneth A. and Michaele, Stephen J.",,,,
C_000027,000027,crossref,,3,18,1994,10.2307/249616,article,Creating and Sustaining a Global Community of Scholars,MIS Quarterly,"Watson, Richard",,,,
C_000028,000028,crossref,https://misq.umn.edu/contents-39-3,3,39,2015,10.25300/MISQ/2015/39.3/,misc,,,,,,,
C_000029,000029,crossref,,1,35,2011,10.2307/23043497,article,Errata Note: Are There Neural Gender Differences in Online Trust? An fMRI Study on the Perceived Trustworthiness of eBay Offers,MIS Quarterly,DeGross,,,,
C_000030,000030,crossref,,1,33,2009,10.2307/20650280,article,Are Two Heads Better than One for Software Development? The Productivity Paradox of Pair Programming,MIS Quarterly,Balijepally and Mahapatra and Nerur and Price,91,,,
C_000031,000031,crossref,,4,26,2002,10.2307/4132313,article,Cross-Cultural Software Production and Use: A Structurational Analysis,MIS Quarterly,"Walsham, Geoff",359,,,
C_000032,000032,crossref,,4,20,1996,10.2307/249564,article,Computer-Based Monitoring: Common Perceptions and Empirical Results,MIS Quarterly,"George, Joey F.",459,,,
C_000033,000033,crossref,,1,29,2005,10.2307/25148668,article,Antecedents of Knowledge Transfer from Consultants to Clients in Enterprise System Implementations,MIS Quarterly,Ko and Kirsch and King,59,,,
C_000034,000034,crossref,,1,10,1986,10.2307/248875,article,Human Resource Information Systems: A Current Assessment,MIS Quarterly,"DeSanctis, Gerardine",15,,,
C_000036,000036,crossref,https://misq.umn.edu/contents-39-1,1,39,2015,10.25300/MISQ/2015/39.1/,misc,,,,,,,
C_000038,000038,crossref,,1,4,1980,10.2307/248863,article,Integration of Algorithmic Aids into Decision Support Systems,MIS Quarterly,"Barbosa, L. C. and Hirko, R. G.",,,,
C_000040,000040,crossref,,2,28,2004,10.2307/25148634,article,Understanding Changes in Belief and Attitude toward Information Technology Usage: A Theoretical Model and Longitudinal Test,MIS Quarterly,Bhattacherjee and Premkumar,229,,,
C_000041,000041,crossref,,4,20,1996,10.2307/249563,article,"Information Exchange and Use in Group Decision Making: You Can Lead a Group to Information, but You Can't Make It Think",MIS Quarterly,"Dennis, Alan R.",433,,,
C_000042,000042,crossref,,4,32,2008,10.2307/25148873,article,CyberGate: A Design Framework and System for Text Analysis of Computer-Mediated Communication,MIS Quarterly,Abbasi and Chen,811,,,
C_000043,000043,crossref,https://misq.umn.edu/a-comprehensive-analysis-of-triggers-and-risk-factors-for-asthma-based-on-machine-learning-and-large-heterogeneous-data-sources.html,1,44,2020,10.25300/MISQ/2020/15106,article,A Comprehensive Analysis of Triggers and Risk Factors for Asthma Based on Machine Learning and Large Heterogeneous Data Sources,MIS Quarterly,"Zhang, Wenli and Ram, Sudha",305--349,,,
C_000044,000044,crossref,https://misq.umn.edu/the-effects-of-communication-media-and-culture-on-deception-detection-accuracy.html,2,42,2018,10.25300/MISQ/2018/13215,article,The Effects of Communication Media and Culture on Deception Detection Accuracy,MIS Quarterly,"George, Joey F. and Gupta, Manjul and Giordano, Gabriel and Mills, Annette M. and Tennant, Vanesa M. and Lewis, Carmen C.",551--575,,,
C_000045,000045,crossref,,3,3,1979,10.2307/248788,article,Motivation Levels of MIS Managers versus Those of Their Employees,MIS Quarterly,"Couger, J. Daniel and Zawacki, Robert A. and Oppermann, Edward B.",47,,,
C_000046,000046,crossref,,2,26,2002,10.2307/4132321,article,Shaping up for E-Commerce: Institutional Enablers of the Organizational Assimilation of Web Technologies,MIS Quarterly,"Chatterjee, Debabroto and Grewal, Rajdeep and Sambamurthy, V.",65,,,
C_000047,000047,crossref,,3,8,1984,10.2307/248666,article,Issues in the Design of Group Decision Support Sytems,MIS Quarterly,"Huber, George P.",195,,,
C_000048,000048,crossref,,4,36,2012,10.2307/41703497,article,"Information Technology Outsourcing, Knowledge Transfer, and Firm Productivity: An Empirical Analysis",MIS Quarterly,Chang and Gurbaxani,1043,,,
C_000049,000049,crossref,https://misq.umn.edu/motivating-employees-to-explore-collaboration-technology-in-team-contexts.html,1,39,2015,10.25300/MISQ/2015/39.1.01,article,Motivating Employees to Explore Collaboration Technology in Team Contexts,MIS Quarterly,"Maruping, Likoebe M. and Magni, Massimo",1--16,,,
C_000050,000050,crossref,https://misq.umn.edu/toward-meaningful-engagement-a-framework-for-design-and-research-of-gamified-information-systems.html,4,41,2017,10.25300/MISQ/2017/41.4.01,article,Toward Meaningful Engagement: A Framework for Design and Research of Gamified Information Systems,MIS Quarterly,"Liu, De and Santhanam, Radhika and Webster, Jane",1011--1034,,,
C_000052,000052,crossref,,4,7,1983,10.2307/248742,article,The Application Approach Worksheet: An Evaluative Tool for Matching New Development Methods with Appropriate Applications,MIS Quarterly,"Shomenta, Jack and Kamp, Gary and Hanson, Bob and Simpson, Brandon",,,,
C_000053,000053,crossref,,3,5,1981,10.2307/249289,article,"The Golden Scope Syndrome, the Availability Effect, and MIS",MIS Quarterly,"Young, Lawrence F.",,,,
C_000055,000055,crossref,,2,44,2020,10.25300/MISQ/2020/12336,article,Optimal Asset Transfer in IT Outsourcing Contracts,MIS Quarterly,"Shivendu, Shivendu and Zeng, David and Gurbaxani, Vijay",857--905,,,
C_000056,000056,crossref,,2,12,1988,10.2307/248841,article,Software Maintainability: Perceptions of EDP Professionals,MIS Quarterly,"Kim, Chai and Westin, Stu",,,,
C_000057,000057,crossref,,3,23,1999,10.2307/249470,article,Horizontal Mechanisms under Differing IS Organization Contexts,MIS Quarterly,"Brown, Carol V.",,,,
C_000058,000058,crossref,https://misq.umn.edu/the-value-of-self-service-long-term-effects-of-technology-based-self-service-usage-on-customer-retention.html,1,39,2015,10.25300/MISQ/2015/39.1.08,article,The Value of Self-Service: Long-Term Effects of Technology-Based Self-Service Usage on Customer Retention,MIS Quarterly,"Scherer, Anne and Wünderlich, Nancy V. and von Wangenheim, Florian",177--200,,,
C_000059,000059,crossref,https://misq.umn.edu/information-and-communication-technology-and-the-social-inclusion-of-refugees.html,2,40,2016,10.25300/MISQ/2016/40.2.06,article,Information and Communication Technology and the Social Inclusion of Refugees,MIS Quarterly,"Díaz Andrade, Antonio and Doolin, Bill",405--416,,,
C_000060,000060,crossref,,2,41,2017,10.25300/MISQ/2017/41.2.12,article,Is a Core-Periphery Network Good for Knowledge Sharing? A Structural Model of Endogenous Network Formation on a Crowdsourced Customer Support Forum,MIS Quarterly,"Lu, Yingda and Singh, Param Vir and Sun, Baohong",607--628,,,
C_000061,000061,crossref,,4,29,2005,10.2307/25148701,article,Taking Industry Seriously in Information Systems Research,MIS Quarterly,Chiasson and Davidson,591,,,
C_000062,000062,crossref,https://misq.umn.edu/everything-flows-studying-continuous-socio-technological-transformation-in-a-fluid-and-dynamic-digital-world.html,1,45,2021,10.25300/MISQ/2021/15887,article,Everything Flows: Studying Continuous Socio-Technological Transformation in a Fluid and Dynamic Digital World,MIS Quarterly,"Mousavi Baygi, Reza and Introna, Lucas D. and Hultin, Lotta",423--452,,,
C_000063,000063,crossref,https://misq.umn.edu/examining-the-mediating-roles-of-cognitive-load-and-performance-outcomes-in-user-satisfaction-with-a-website-a-field-quasi-experiment.html,3,41,2017,10.25300/MISQ/2017/41.3.14,article,Examining the Mediating Roles of Cognitive Load and Performance Outcomes in User Satisfaction with a Website: A Field Quasi-Experiment,MIS Quarterly,"Hu, Paul Jen-Hwa and Hu, Han-fen and Fang, Xiao",975--987,,,
C_000064,000064,crossref,,,30,2006,10.2307/25148767,article,Circuits of Power in Creating de jure Standards: Shaping an International Information Systems Security Standard,MIS Quarterly,Backhouse and Hsu and Silva,413,,,
C_000065,000065,crossref,https://misq.umn.edu/understanding-echo-chambers-and-filter-bubbles-the-impact-of-social-media-on-diversificationi-and-partisan-shifts-in-news-consumption.html,4,44,2020,10.25300/MISQ/2020/16371,article,Understanding Echo Chambers and Filter Bubbles: The Impact of Social Media on Diversification and Partisan Shifts in News Consumption,MIS Quarterly,"Kitchens, Brent and Johnson, Steve L. and Gray, Peter",1619--1649,,,
C_000066,000066,crossref,https://misq.umn.edu/altruism-or-shrewd-business-implications-of-technology-openness-on-innovations-and-competition.html,3,44,2020,10.25300/MISQ/2020/14589,article,Altruism or Shrewd Business? Implications of Technology Openness on Innovations and Competition,MIS Quarterly,"Huang, He and Parker, Geoffrey and Tan, Yinliang (Ricky) and Xu, Hongyan",1049--1071,,,
C_000067,000067,crossref,https://misq.umn.edu/the-evolution-of-an-ict-platform-enabled-ecosystem-for-poverty-alleviation-the-case-of-ekutir.html,2,40,2016,10.25300/MISQ/2016/40.2.08,article,The Evolution of an ICT Platform-Enabled Ecosystem for Poverty Alleviation: The Case of eKutir,MIS Quarterly,"Jha, Srivardhini K. and Pinsonneault, Alain and Dubé, Laurette",431--445,,,
C_000068,000068,crossref,,2,2,1978,10.2307/248938,article,Essential Principles of Information Systems Development,MIS Quarterly,"Senn, James A.",,,,
C_000069,000069,crossref,,2,1,1977,10.2307/249165,article,Coalescence: The Inevitable Fate of Data Processing,MIS Quarterly,"Getz, C. W.",,,,
C_000070,000070,crossref,https://misq.umn.edu/how-does-employee-infusion-use-of-crm-systems-drive-customer-satisfaction-mechanism-differences-between-face-to-face-and-virtual-channels.html,2,45,2021,10.25300/MISQ/2021/13265,article,How Does Employee Infusion Use of CRM Systems Drive Customer Satisfaction? Mechanism Differences Between Face-to-Face and Virtual Channels,MIS Quarterly,"Chen, Liwei and Hsieh, J. J. Po-An and Rai, Arun and Xu, Sean Xin",719--754,"To attain customer satisfaction, service firms invest significant resources to implement customer relationship management (CRM) systems to support internal customer service (CS) employees who provide service to external customers in both face-to-face and virtual channels. How CS employees apply sophisticated CRM systems to interact with customers and how the mechanisms through which their CRM usage affects customer satisfaction vary across service channels and bear important implications. We approach these issues by investigating the concept of infusion use, defined as CS employees’ assessment of the extent to which they use a CRM system to its fullest potential to best support their work in the CRM-enabled service interaction context. Drawing on the IS success framework and expectation confirmation theory, we first formulate a baseline model that explains the direct and indirect mechanisms through which CS employees’ infusion use of CRM systems leads to customers’ expectation confirmation, which in turn affects customers’ satisfaction. We then draw on the lenses of media richness and communication adaptation to theorize why these two mechanisms exert differential influence in face-to-face and virtual channels. We test the hypotheses by collecting multiwave data from CS employees, customers, and firm archives of a Fortune 500 telecom service firm. We find that (1) CS employee infusion use can directly contribute to customer expectation confirmation and indirectly do so through CS employees’ satisfaction with the system (i.e., user satisfaction), and (2) the direct mechanism plays a more critical role in the face-to-face channel, whereas the indirect mechanism is more important in the virtual channel. Our findings inform managers of the avenues through which employees’ infusion use promotes CRM-enabled service success across face-to-face and virtual service channels.",,
C_000071,000071,crossref,https://misq.umn.edu/contents-38-1/,1,38,2014,10.25300/MISQ/2014/38.1,misc,,,,,,,
C_000074,000074,crossref,,2,3,1979,10.2307/249084,article,"A ""Balanced"" Orientation for the Information Systems Manager",MIS Quarterly,"Taggart, William M. and Silbey, Valdur",,,,
C_000075,000075,crossref,https://misq.umn.edu/contents-42-1,1,42,2018,10.25300/MISQ/2017/42.1,misc,,,,,,,
C_000076,000076,crossref,,2,35,2011,10.2307/23044043,article,Editorial Introduction: Special Research Commentary Series on Advanced Methodological Thinking for Quantitative Research,MIS Quarterly,Stafford,,,,
C_000077,000077,crossref,,1,14,1990,10.2307/249301,article,"Comments on ""Price and Value of Decision Support Systems""",MIS Quarterly,"Toraskar, Kranti V. and Joglekar, Prafulla N.",,,,
C_000078,000078,crossref,,2,16,1992,10.2307/249572,article,"Response to Rao, et al: How to Deal with Cognitive Style",MIS Quarterly,"Huber, George P.",,,,
C_000079,000079,crossref,,1,12,1988,10.2307/248794,article,"How Long Will Computers Stay ""Dumb""?",MIS Quarterly,"Kugel, Peter",,,,
C_000080,000080,crossref,,3,5,1981,10.2307/249290,article,Structured Systems Planning,MIS Quarterly,"Highsmith, Jim",,,,
C_000081,000081,crossref,,2,35,2011,10.2307/23044050,article,Managing Consumer Privacy Concerns in Personalization: A Strategic Analysis of Privacy Protection,MIS Quarterly,Lee and Ahn and Bang,423,,,
C_000082,000082,crossref,,1,23,1999,10.2307/249406,article,Empirical Research in Information Systems: On the Relevance of Practice in Thinking of IS Research,MIS Quarterly,"Lyytinen, Kalle",,,,
C_000083,000083,crossref,,2,45,2021,10.25300/MISQ/2021/14809,article,Designing Payment Contracts for Healthcare Services to Induce Information Sharing: The Adoption and the Value of Health Information Exchanges (HIEs),MIS Quarterly,"Ayvaci, Mehmet and Cavusoglu, Huseyin and Kim, Yeongin and Raghunathan, Srinivasan",637--692,"Recent initiatives to improve healthcare quality and reduce costs have centered around payment mechanisms and IT-enabled health information exchanges (HIEs). Such initiatives profoundly influence both providers’ choices in terms of healthcare effort levels and HIE adoption and patients’ choice of providers. Using a game-theoretical model of a healthcare setup, we examine the role of payment models in aligning providers’ and patients’ incentives for realizing socially optimal (i.e., first-best) choices. We show that the traditional fee-for-service (FFS) payment model does not necessarily induce the first-best solution. The pay-for-performance (P4P) model may induce the first-best solution under some conditions if provider switching by patients during a health episode is socially suboptimal, making provider coordination less of an issue. We identify an episode-based payment (EBP) model that can always induce the first-best solution. The proposed EBP model reduces to the P4P model if the P4P model induces the first-best solution. In other cases, the first-best inducing EBP model is multilateral in the sense that the payment to a provider depends not only on the provider’s own efforts and outcomes but also on those of other providers. Furthermore, the payment in this EBP model is sequence dependent in the sense that payment to a provider is contingent upon whether the patient visits a given provider first or second. We show that the proposed EBP model achieves the lowest healthcare cost, not necessarily at the expense of care quality or provider payment, relative to FFS and P4P. Although our proposed contract is complex, it sets an optimality baseline when evaluating simpler contracts and also characterizes aspects of payment that need to be captured for socially desirable actions. We further show that the value of HIEs depends critically on the payment model as well as on the social desirability of patient switching. Under all three payment models, the HIE value is higher when switching by at least some patients is desirable than when switching by any patient is undesirable. Moreover, the HIE value is highest under the FFS model and lowest under the P4P model. Hence, assessing the value of HIEs in isolation from the underlying payment mechanism and patient-switching behavior may result in under- or overestimation of the HIE value. Therefore, as payment models evolve over time, there is a real need to reevaluate the HIE value and the government subsidies that induce providers to adopt HIEs.",,
C_000084,000084,crossref,,2,16,1992,10.2307/249570,article,"Hemispheric Specialization, Cognitive Differences, and Their Implications for the Design of Decision Support Systems",MIS Quarterly,"Rao, H. Raghav and Jacob, Varghese S. and Lin, Frank",,,,
C_000085,000085,crossref,https://misq.umn.edu/designing-promotional-incentives-to-embrace-social-sharing-evidence-from-field-and-online-experiments.html,2,45,2021,10.25300/MISQ/2021/15352,article,Designing Promotional Incentives to Embrace Social Sharing: Evidence from Field and Online Experiments,MIS Quarterly,"Sun, Tianshu and Viswanathan, Siva and Huang, Ni and Zheleva, Elena",789--820,"Despite the increasing connectivity between consumers and the large volume of social shares supported by digital technologies, there is an absence of research systematically investigating how firms can design promotional incentives that jointly consider their consumers as both purchasers and sharers. In this study, we examine whether and how firms can leverage consumers’ social connections and engage consumers to share promotional incentives. In collaboration with a leading online deal platform, we report a large-scale randomized field experiment to test the effectiveness of different incentive designs (varying in the shareability and scarcity of promotion codes) in driving social sharing senders’ purchases and successful referrals. We find that the different incentive designs have distinct impacts on the purchase and referral outcomes. Specifically, providing senders with one non-shareable promo code significantly increases their own purchase likelihood, compared to the other experimental groups. In contrast, senders who receive one shareable promo code are less likely to purchase themselves yet are more likely to make successful referrals. Surprisingly, the incentive design with two promo codes containing one non-shareable code and one shareable code increases neither the senders’ purchases nor their successful referrals. Managerially, we estimate that although the one non-shareable promo code group derives the highest net revenue for the experimental period, the one shareable promo code group derives the highest customer lifetime value for the firm from the new customers acquired through the successful referrals. We further conducted two online experiments on Amazon Mechanical Turk that replicate the field experiment’s findings and explore the underlying mechanisms of the observed relationships. We find that exclusivity perception and social motives triggered by the incentive designs with one promo code mediate their effects on senders’ self-purchases and successful referrals, respectively, and explain the ineffectiveness of two promo codes. Our study contributes to the bodies of literature on IT-enabled social sharing and social promotions, providing implications for firms on how to design promotional incentives that accommodate the dual role of consumers as purchasers and sharers.",,
C_000086,000086,crossref,,4,3,1979,10.2307/249048,article,An Analysis of the Impact of Distributed Data Processing on Organizations in the 1980's,MIS Quarterly,"Davis, Charles K. and Wetherbe, James C.",,,,
C_000088,000088,crossref,,2,10,1986,10.2307/249033,article,Evaluating MIS Design Principles,MIS Quarterly,"Nutt, Paul C.",139,,,
C_000089,000089,crossref,https://misq.umn.edu/drawing-a-line-in-the-sand-commitment-problem-in-ending-software-support.html,4,41,2017,10.25300/MISQ/2017/41.4.10,article,Drawing a Line in the Sand: Commitment Problem in Ending Software Support,MIS Quarterly,"Ghoshal, Abhijeet",1227--1247,,,
C_000090,000090,crossref,,1,28,2004,10.2307/25148622,article,Beta versus VHS and the Acceptance of Electronic Brainstorming Technology,MIS Quarterly,Dennis and Reinicke,1,,,
C_000091,000091,crossref,https://misq.umn.edu/valuing-information-technology-related-intangible-assets.html,1,40,2016,10.25300/MISQ/2016/40.1.04,article,Valuing Information Technology Related Intangible Assets,MIS Quarterly,"Saunders, Adam and Brynjolfsson, Erik",83--110,,,
C_000092,000092,crossref,,3,36,2012,10.2307/41703480,article,The Roles of Theory in Canonical Action Research,MIS Quarterly,Davison and Martinsons and Ou,763,,,
C_000093,000093,crossref,https://misq.umn.edu/organized-complexity-of-digital-business-strategy-a-configurational-perspective.html,1,44,2020,10.25300/MISQ/2020/14477,article,Organized Complexity of Digital Business Strategy: A Configurational Perspective,MIS Quarterly,"Park, YoungKi and Mithas, Sunil",85--127,,,
C_000094,000094,crossref,https://misq.umn.edu/complementary-online-services-in-competitive-markets-maintaining-profitability-in-the-presence-of-network-effects.html,1,38,2014,10.25300/MISQ/2014/38.1.11,article,Complementary Online Services in Competitive Markets: Maintaining Profitability in the Presence of Network Effects,MIS Quarterly,"Etzion, Hila and Pang, Min-Seok",231--248,,,
C_000095,000095,crossref,,4,33,2009,10.2307/20650321,article,Fashion Waves versus Informing: Response to Baskerville and Myers,MIS Quarterly,Gill and Bhattacherjee,667,,,
C_000096,000096,crossref,,2,13,1989,10.2307/248920,article,Implementing Security and Integrity in Micro-Mainframe Networks,MIS Quarterly,"Boockholdt, J. L.",,,,
C_000097,000097,crossref,,3,11,1987,10.2307/248686,article,Information Resource Planning: Overcoming Difficulties in Identifying Top Management's Objectives,MIS Quarterly,"Lederer, Albert L. and Mendelow, Aubrey L.",,,,
C_000098,000098,crossref,,1,41,2017,10.25300/MISQ/2017/41.1.09,article,A Data Envelopment Analysis Approach to Estimate IT-Enabled Production Capability,MIS Quarterly,"Ayabakan, Sezgin and Bardhan, Indranil R. and Zheng, Zhiqiang (Eric)",189--205,,,
C_000099,000099,crossref,https://misq.umn.edu/technology-as-routine-capability.html,3,43,2019,10.25300/MISQ/2019/14653,article,Technology as Routine Capability,MIS Quarterly,"Swanson, E. Burton",1007--1024,,,
C_000100,000100,crossref,,3,21,1997,10.2307/249497,article,Developing an Historical Tradition in MIS Research,MIS Quarterly,"Mason, Richard O. and McKenney, James L. and Copeland, Duncan G.",,,,
C_000101,000101,crossref,,3,16,1992,10.2307/249531,article,The Application of Electronic Meeting Technology to Support Strategic Management,MIS Quarterly,"Tyran, Craig K. and Dennis, Alan R. and Vogel, Douglas R. and Nunamaker, J. F.",313,,,
C_000102,000102,crossref,,1,31,2007,10.2307/25148777,article,Editor's Comments: Looking for a Few Good Concepts...and Theories...for the Information Systems Field,MIS Quarterly,Markus and Saunders,iii,,,
C_000103,000103,crossref,,1,18,1994,10.2307/249608,article,A Multimedia Solution to Productivity Gridlock: A Re-Engineered Jewelry Appraisal System at Zale Corporation,MIS Quarterly,"Newman, Julie and Kozar, Kenneth A.",,,,
C_000104,000104,crossref,,4,13,1989,10.2307/248735,article,Managing the Merger: Building Partnership through IT Planning at the New Baxter,MIS Quarterly,"Main, Thomas J. and Short, James E.",,,,
C_000106,000106,crossref,,3,3,1979,10.2307/248787,article,The Financial Planning System at Louisiana National Bank,MIS Quarterly,"Sprague, Ralph H. and Olson, Ronald L.",,,,
C_000107,000107,crossref,,2,32,2008,10.2307/25148839,article,"Cocreating Understanding and Value in Distributed Work: How Members of Onsite and Offshore Vendor Teams Give, Make, Demand, and Break Sense",MIS Quarterly,Vlaar and van Fenema and Tiwari,227,,,
C_000108,000108,crossref,,4,34,2010,10.2307/25750703,article,Understanding Organization—Enterprise System Fit: A Path to Theorizing the Information Technology Artifact,MIS Quarterly,Strong and Volkoff,731,,,
C_000111,000111,crossref,https://misq.umn.edu/the-dialectics-of-technology-standardization.html,3,45,2021,10.25300/MISQ/2021/12860,article,The Dialectics of Technology Standardization,MIS Quarterly,"Lindgren, Rikard and Mathiassen, Lars and Schultze, Ulrike",1187--1212,"Technology standardization unfolds as a dialectic process marked by paradoxical tensions. However, standardization research has yet to provide a dialectic analysis of how tensions and management responses interact recursively over time, and with what effect. In this paper, we apply dialectics to analyze an action research study of a Swedish initiative that developed and diffused a technology standard to facilitate the integration of disparate IT systems in road haulage firms. Drawing on the technology standardization literature and our empirical analysis, we engage in midrange theorizing to capture the recursive dynamics through which standard-setters construct and respond to manifestations of three latent tensions: development versus diffusion activities, private versus public interests, and local versus global solutions. Our resulting dialectic theorizing explicates how standard-setters bring these latent tensions into being; how they construct salient tensions through the oppositional logics of polarization, complementarity, and mutuality; how they manage these tensions through splitting, integrating, and suspension responses; and how consequential functional, architectural, and organizational standardization outcomes produce a new social order in which new tensions emerge. These theoretical insights contribute to both the technology standardization and dialectics literatures.",,
C_000112,000112,crossref,,4,17,1993,10.2307/249587,article,User-Database Interface: The Effect of Abstraction Levels on Query Performance,MIS Quarterly,"Chan, Hock Chuan and Wei, Kwok Kee and Siau, Keng Leng",441,,,
C_000113,000113,crossref,,4,32,2008,10.2307/25148871,article,Process Grammar as a Tool for Business Process Design,MIS Quarterly,Lee and Wyner and Pentland,757,,,
C_000114,000114,crossref,,1,1,1977,10.2307/248766,article,Case Studies of End User Requirements for Interactive Problem-Solving Systems,MIS Quarterly,"Carlson, Eric D. and Grace, Barbara F. and Sutton, Jimmy A.",,,,
C_000115,000115,crossref,,2,1,1977,10.2307/249166,article,Attributes of Information System Development,MIS Quarterly,"Juergens, Hugh F.",,,,
