cluster,ID,title,author,number,volume,journal,grobid-version,file,ENTRYTYPE,doi,note,year,__orig_index
14,0000001549,Special Section: Strategic and Competitive Information Systems,"Clemons, Eric K and Row, Michael C",2,11,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/11_2/ClemonsRow1994.pdf,article,,,,1545
15,001579,Positivist Information Systems Action Research: Methodological Issues,"Kock, Ned and Avison, David",3,34,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/34_3/KockAvisonMalaurent2017.pdf,article,10.1080/07421222.2017.1373007,,,1573
15,001611,Positivist Information Systems Action Research: Methodological Issues,"Kock, Ned and Avison, David",3,34,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/34_3/KockAvisonMalaurent2017_wo_cp.pdf,article,10.1080/07421222.2017.1373007,,,1605
16,0000000857,Special Section: Information Technology and IT Organizational Impact,"Nunamaker, Jay F and Sprague, Ralph H",3,11,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/11_3/NunamakerJrSpragueJr1995.pdf,article,,,,853
16,0000001510,Special Issue: Information Technology and Its Organizational Impact,"Nunamaker, Jay F and Sprague, Ralph H",3,12,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/12_3/NunamakerJrSpragueJr1996.pdf,article,,,,1506
17,001601,A Rigidity Detection System for Automated Credibility Assessment,"Twyman, Nathan W and Elkins, Aaron C and Burgoon, Judee K and Nunamaker, Jay F",1,31,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/31_1/TwymanElkinsBurgoonEtAl2014.pdf,article,10.2753/MIS0742-1222310108,,,1595
17,001620,A Rigidity Detection System for Automated Credibility Assessment,"Twyman, Nathan W and Elkins, Aaron C and Burgoon, Judee K and Nunamaker, Jay F",1,31,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/31_1/TwymanElkinsBurgoonEtAl2014_wo_cp.pdf,article,10.2753/MIS0742-1222310108,,,1614
18,001570,"The Good, the Bad, and the Social Media: Financial Implications of Social Media Reactions to Firm-Related News","Peng, Jing and Zhang, Juheng and Gopal, Ram",3,39,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/39_3/PengZhangGopal2022.pdf,article,10.1080/07421222.2022.2096547,,,1564
18,001631,"The Good, the Bad, and the Social Media: Financial Implications of Social Media Reactions to Firm-Related News","Peng, Jing and Zhang, Juheng and Gopal, Ram",3,39,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/39_3/PengZhangGopal2022_wo_cp.pdf,article,10.1080/07421222.2022.2096547,,,1625
19,001597,"Online Consumer Search Depth: Theories and New Findings JIE ""JENNIFER"" ZHANG, XIAO FANG, AND OLIVIA R. LIU SHENG","Zhang, Jennifer "" and Liu Sheng, Olivia R and Sheng",3,23,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/23_3/ZhangFangSheng2006.pdf,article,10.2753/MIS0742-1222230304,,,1591
19,001616,"Online Consumer Search Depth: Theories and New Findings JIE ""JENNIFER"" ZHANG, XIAO FANG, AND OLIVIA R. LIU SHENG","Zhang, Jennifer "" and Liu Sheng, Olivia R and Sheng",3,23,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/23_3/ZhangFangSheng2006_wo_cp.pdf,article,10.2753/MIS0742-1222230304,,2014,1610
20,001581,Using IT Design to Prevent Cyberbullying,"Lowry, Paul Benjamin and Moody, Gregory D and Lowry, Benjamin",3,34,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/34_3/LowryMoodyChatterjee2017.pdf,article,10.1080/07421222.2017.1373012,,,1575
20,001610,Using IT Design to Prevent Cyberbullying,"Lowry, Paul Benjamin and Moody, Gregory D and Lowry, Benjamin",3,34,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/34_3/LowryMoodyChatterjee2017_wo_cp.pdf,article,10.1080/07421222.2017.1373012,,,1604
21,001605,Knowledge-Based Support for Combining Qualitative and Quantitative Judgments in Resource Allocation Decisions,"Agarwal, Ritu and Tanniru, Mohan R and Dacruz, Marcos and Agarwal, Rrru and Anniru, Mohan R T",1,9,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/9_1/AgarwalTanniruDacruz1992.pdf,article,,,,1599
21,001635,Knowledge-Based Support for Combining Qualitative and Quantitative Judgments in Resource Allocation Decisions,"Agarwal, Ritu and Tanniru, Mohan R and Dacruz, Marcos and Agarwal, Rrru and Anniru, Mohan R T",1,9,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/9_1/AgarwalTanniruDacruz1992_wo_cp.pdf,article,10.1080/07421222.1992.11517952,,,1629
22,001572,Special Section: Reevaluating Markets for Information,"Kauffman, Robert J and Weber, Thomas A",3,39,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/39_3/KauffmanWeber2022.pdf,article,10.1080/07421222.2022.2096552,,,1566
22,001633,Special Section: Reevaluating Markets for Information,"Kauffman, Robert J and Weber, Thomas A",3,39,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/39_3/KauffmanWeber2022_wo_cp.pdf,article,10.1080/07421222.2022.2096552,,,1627
23,001602,"A Data-Mining Approach to Identification of Risk Factors in Safety Management Systems DONGHUI SHI, JIAN GUAN, JOZEF ZURADA, AND ANDREW MANIKAS","Shi, Donghui",4,34,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/34_4/ShiGuanZuradaEtAl2017.pdf,article,10.1080/07421222.2017.1394056,,,1596
23,001621,"A Data-Mining Approach to Identification of Risk Factors in Safety Management Systems DONGHUI SHI, JIAN GUAN, JOZEF ZURADA, AND ANDREW MANIKAS","Shi, Donghui",4,34,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/34_4/ShiGuanZuradaEtAl2017_wo_cp.pdf,article,10.1080/07421222.2017.1394056,,,1615
24,001580,An Agile Methodology for the Disaster Recovery of Information Systems Under Catastrophic Scenarios,"Baham, Corey and Hirschheim, Rudy and Calderon, Andres A and Kisekka, Victoria",3,34,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/34_3/BahamHirschheimCalderonEtAl2017.pdf,article,10.1080/07421222.2017.1372996,,,1574
24,001609,An Agile Methodology for the Disaster Recovery of Information Systems Under Catastrophic Scenarios,"Baham, Corey and Hirschheim, Rudy and Calderon, Andres A and Kisekka, Victoria",3,34,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/34_3/BahamHirschheimCalderonEtAl2017_wo_cp.pdf,article,10.1080/07421222.2017.1372996,,,1603
25,001577,Is College Education Less Necessary with AI? Evidence from Firm-Level Labor Structure Changes,"Xue, Mei and Cao, Xing and Feng, Xu and Zhang, Yongjie",3,39,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/39_3/XueCaoFengEtAl2022.pdf,article,10.1080/07421222.2022.2096542,,,1571
25,001625,Is College Education Less Necessary with AI? Evidence from Firm-Level Labor Structure Changes,"Xue, Mei and Cao, Xing and Feng, Xu and Zhang, Yongjie",3,39,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/39_3/XueCaoFengEtAl2022_wo_cp.pdf,article,10.1080/07421222.2022.2096542,,,1619
26,001603,Beyond Brainstorming: Exploring Convergence in Teams,"Seeber, Isabella and De Vreede, Gert-Jan and Maier, Ronald and Weber, Barbara",4,34,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/34_4/SeeberdeVreedeMaierEtAl2017.pdf,article,10.1080/07421222.2017.1393303,,,1597
26,001622,Beyond Brainstorming: Exploring Convergence in Teams,"Seeber, Isabella and De Vreede, Gert-Jan and Maier, Ronald and Weber, Barbara",4,34,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/34_4/SeeberdeVreedeMaierEtAl2017_wo_cp.pdf,article,10.1080/07421222.2017.1393303,,,1616
27,0000000506,Decision Support and Knowledge-Based Systems: A Special Issue,"Stohr, Edward A",4,2,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/2_4/Stohr1986.pdf,article,,,,503
27,0000000954,special Issue: Decision Support and Knowledge-Based Systems,"Stohr, Edward A",4,3,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/3_4/Stohr1987.pdf,article,,,,950
28,0000000702,Special Section: Information Technology and Organization Design,"Baroudi, Jack and Lucas, Henry C",4,10,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/10_4/BaroudiLucas1994.pdf,article,,,,699
28,0000001559,The Role of Information Technology in Organization Design,"Lucas, Henry C and Baroudi, Jack",4,10,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/10_4/LucasJrBaroudi1994.pdf,article,,,,1555
29,0000000719,Managing the Risks Associated with End-User Computing,"Alavi, Maryam and Weiss, Ira R",3,2,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/2_3/AlaviWeiss1985.pdf,article,,,,716
29,0000001354,EN,,3,2,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/2_3/Zwass1985c.pdf,article,,,2016,1350
29,0000001526,Effect of Organizational Maturity on End-Users' Satisfaction with Information Systems,"Mahmood, Mo A and Becker, Jack D",3,2,Journal of Management Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/2_3/MahmoodBecker1985.pdf,article,,,,1522
