case,ID,ENTRYTYPE,title,year,volume,number,pages,abstract,author,doi,series,search_set,container_title,author_full
id_0002395;id_1005710,id_0002395,article,editorial,2015,15,1,,"the article offers information on the topics of the 2015 issue of new zealand journal of human resource management including the study on the engagement of employees at work, the importance of upwork feedback in leadership development, and factors that affect job retention of foreign workers",hayman roche,,,,new zeal j hum reso mana,"Hayman, Jeremy and Roche, Maree"
id_0002395;id_1005710,id_1005710,article,editorial,2015,25,2,67-69,,trauth,101111/isj12060,,,info syst j,"Trauth, Eileen M."
id_1000027;id_1004611,id_1004611,article,is research stakeholders cyborgs opportunity revisit normative is agenda,2012,27,4,321-323,,pouloudi,101057/jit201228,,,j info tech,"Pouloudi, Nancy"
id_1000027;id_1004611,id_1000027,article,is its agenda,2012,27,2,102-103,,adam,101057/jit201212,,,j info tech,"Adam, Alison"
id_1000053;id_1000054,id_1000054,article,editorial notes,2011,22,2,213-214,,agarwal,101287/isre11100369,,,info syst res,"Agarwal, Ritu"
id_1000053;id_1000054,id_1000053,article,editorial notes,2011,22,1,1-4,,agarwal,101287/isre11100355,,,info syst res,"Agarwal, Ritu"
id_1000053;id_1000055,id_1000055,article,editorial notes reflections year 12011 retrospective,2011,22,4,685-686,,agarwal,101287/isre11100403,,,info syst res,"Agarwal, Ritu"
id_1000053;id_1000055,id_1000053,article,editorial notes,2011,22,1,1-4,,agarwal,101287/isre11100355,,,info syst res,"Agarwal, Ritu"
id_1000053;id_1000056,id_1000056,article,editorial notes,2012,23,4,1087-1092,,agarwal,101287/isre11200458,,,info syst res,"Agarwal, Ritu"
id_1000053;id_1000056,id_1000053,article,editorial notes,2011,22,1,1-4,,agarwal,101287/isre11100355,,,info syst res,"Agarwal, Ritu"
id_1000053;id_1000057,id_1000053,article,editorial notes,2011,22,1,1-4,,agarwal,101287/isre11100355,,,info syst res,"Agarwal, Ritu"
id_1000053;id_1000057,id_1000057,article,editorial notes,2013,24,1,1-2,,agarwal,101287/isre20130476,,,info syst res,"Agarwal, Ritu"
id_1000053;id_1000058,id_1000053,article,editorial notes,2011,22,1,1-4,,agarwal,101287/isre11100355,,,info syst res,"Agarwal, Ritu"
id_1000053;id_1000058,id_1000058,article,editorial notes,2013,24,4,,"in this end of the year editorial commentary isrs accomplishments for 2013 are summarized. i recognize the contribution of members of the editorial board who are retiring and welcome new editorial team members. winners of the annual isr awards for 2012, including best paper, ae of the year, and reviewer of the year are acknowledged and congratulated. an overview of changes to the journals mission for 2014 is presented. the commentary closes with a discussion of papers in this issue. the research commentaries, articles, and notes span a broad gamut of research domains and theoretical traditions, ranging from digital networks, to information technology value, to online communities, to the design of software for games. the papers also exhibit considerable methodological diversity, including econometric analyses, qualitative approaches, and analytical modeling",agarwal,101287/isre20130507,,,info syst res,"Agarwal, Ritu"
id_1000053;id_1000059,id_1000053,article,editorial notes,2011,22,1,1-4,,agarwal,101287/isre11100355,,,info syst res,"Agarwal, Ritu"
id_1000053;id_1000059,id_1000059,article,editorial notes,2014,25,4,667-668,,agarwal,101287/isre20140559,,,info syst res,"Agarwal, Ritu"
id_1000053;id_1000060,id_1000060,article,editorial notes,2015,26,4,637-638,,agarwal,101287/isre20150616,,,info syst res,"Agarwal, Ritu"
id_1000053;id_1000060,id_1000053,article,editorial notes,2011,22,1,1-4,,agarwal,101287/isre11100355,,,info syst res,"Agarwal, Ritu"
id_1000053;id_1000062,id_1000053,article,editorial notes,2011,22,1,1-4,,agarwal,101287/isre11100355,,,info syst res,"Agarwal, Ritu"
id_1000053;id_1000062,id_1000062,article,editorial notes,2016,27,4,665-667,,agarwal,101287/isre20160686,,,info syst res,"Agarwal, Ritu"
id_1000053;id_1000589,id_1000589,article,editorial notes,2000,11,3,,,benbasat,101287/isre113012205,,,info syst res,"Benbasat, Izak"
id_1000053;id_1000589,id_1000053,article,editorial notes,2011,22,1,1-4,,agarwal,101287/isre11100355,,,info syst res,"Agarwal, Ritu"
id_1000053;id_1000590,id_1000590,article,editorial notes,2000,11,4,,,benbasat,101287/isre114011870,,,info syst res,"Benbasat, Izak"
id_1000053;id_1000590,id_1000053,article,editorial notes,2011,22,1,1-4,,agarwal,101287/isre11100355,,,info syst res,"Agarwal, Ritu"
id_1000053;id_1003008,id_1000053,article,editorial notes,2011,22,1,1-4,,agarwal,101287/isre11100355,,,info syst res,"Agarwal, Ritu"
id_1000053;id_1003008,id_1003008,article,editorial notes,2004,15,1,1-2,this month we welcome this years new associate editors and say thanks to those who are finishing their terms,kemerer,101287/isre10400018,,,info syst res,"Kemerer, Chris F."
id_1000053;id_1003009,id_1000053,article,editorial notes,2011,22,1,1-4,,agarwal,101287/isre11100355,,,info syst res,"Agarwal, Ritu"
id_1000053;id_1003009,id_1003009,article,editorial notes,2004,15,2,109,"we are now halfway through my final year as editor in chief of isr, and i am happy to report some good news with regards to turnaround time at the journal",kemerer,101287/isre10400025,,,info syst res,"Kemerer, Chris F."
id_1000053;id_1003010,id_1000053,article,editorial notes,2011,22,1,1-4,,agarwal,101287/isre11100355,,,info syst res,"Agarwal, Ritu"
id_1000053;id_1003010,id_1003010,article,editorial notes,2004,15,3,215,this month marks the announcement of some forthcoming changes in the editorial board of information systems research,kemerer,101287/isre10400033,,,info syst res,"Kemerer, Chris F."
id_1000053;id_1003011,id_1000053,article,editorial notes,2011,22,1,1-4,,agarwal,101287/isre11100355,,,info syst res,"Agarwal, Ritu"
id_1000053;id_1003011,id_1003011,article,editorial notes,2004,15,4,311-315,"this issue marks the end of the third and last year of my term as editorinchief of isr. three years ago i wrote an editorial for the first issue that set the tone and immediate goals for the journal, summarized as follows isr has established itself as one of a small set of toptier academic journals in the information systems discipline. editorial policy changes have been designed to strengthen a number of aspects of the journal, particularly the timeliness of the work published, without having a negative impact on the journals reputation for publishing highquality work isr website 2002. looking back at the past three years, these goals have been metwe have decreased turnaround time by more than 50, and the journals ratings are as strong as or stronger than they were before. in this editorial note i will highlight our current processes and provide some data regarding the journals progress over the last three years",kemerer,101287/isre10400038,,,info syst res,"Kemerer, Chris F."
id_1000053;id_1004959,id_1000053,article,editorial notes,2011,22,1,1-4,,agarwal,101287/isre11100355,,,info syst res,"Agarwal, Ritu"
id_1000053;id_1004959,id_1004959,article,editorial notes,2005,16,1,1-5,"this editorial describes the journals philosophy to encourage a diversity of submissions to information systems research. while acknowledging the contributions of previous editorsinchief, new initiatives are introduced. in particular, the journal encourages submission of research notes and will commission an annual special issue on a novel topic of significance to the information systems community. editorial changes to the board are discussed and the incoming senior editors and associate editors are introduced",sambamurthy,101287/isre10500048,,,info syst res,"Sambamurthy, Vallabh"
id_1000053;id_1004960,id_1000053,article,editorial notes,2011,22,1,1-4,,agarwal,101287/isre11100355,,,info syst res,"Agarwal, Ritu"
id_1000053;id_1004960,id_1004960,article,editorial notes,2005,16,2,107-108,"the synergistic relationship between information systems research and the information systems society is an important element of the information systems academic community. a call is made for members of the community to strengthen this relationship. further, the efforts of the founding generation of is academics in establishing the is community are acknowledged. finally, a new senior editor is introduced",sambamurthy,101287/isre10500060,,,info syst res,"Sambamurthy, Vallabh"
id_1000053;id_1004961,id_1004961,article,editorial notes,2005,16,3,235-236,"this editorial announces a new special issue calling for research on the interplay between digital and social networks. today, both digital and social networks play a crucial role in the structure and conduct of economic activity. therefore, isr seeks to foster research on this important topic. we also note with sadness the passing of a valued member of the information systems community, a great colleague, and a former member of the editorial board of the journal. finally, a new senior editor is introduced",sambamurthy,101287/isre10500066,,,info syst res,"Sambamurthy, Vallabh"
id_1000053;id_1004961,id_1000053,article,editorial notes,2011,22,1,1-4,,agarwal,101287/isre11100355,,,info syst res,"Agarwal, Ritu"
id_1000053;id_1004962,id_1004962,article,editorial notes,2005,16,4,331-333,"this has been truly a momentous year for information systems research. submission volumes are up by more than 100 over the previous years. the accomplishments and the challenges facing the journal are reviewed here. changes to the editorial board, including the appointment of a new senior editor, are announced",sambamurthy,101287/isre10500076,,,info syst res,"Sambamurthy, Vallabh"
id_1000053;id_1004962,id_1000053,article,editorial notes,2011,22,1,1-4,,agarwal,101287/isre11100355,,,info syst res,"Agarwal, Ritu"
id_1000053;id_1004963,id_1004963,article,editorial notes,2006,17,1,1-2,"we announce the appointment of 17 new associate editors for the journal. further, the journal has now migrated to an online system for the submission and review of manuscripts. the system is called manuscript central httpmc.manuscriptcentral.comisr and is similar to the system in use for other informs journals. finally, proposals for a new special issue are invited. these proposals should focus on, and highlight emerging, interdisciplinary research on novel and underresearched phenomena and must adhere to the guidelines developed for the journal",sambamurthy,101287/isre10600085,,,info syst res,"Sambamurthy, Vallabh"
id_1000053;id_1004963,id_1000053,article,editorial notes,2011,22,1,1-4,,agarwal,101287/isre11100355,,,info syst res,"Agarwal, Ritu"
id_1000053;id_1004964,id_1000053,article,editorial notes,2011,22,1,1-4,,agarwal,101287/isre11100355,,,info syst res,"Agarwal, Ritu"
id_1000053;id_1004964,id_1004964,article,editorial notes,2006,17,2,105-106,"we introduce a new type of article, issues and opinions, in this issue. the first article presents an analysis of the publishing opportunities for information systems research in the premier outlets and compares it with the opportunities in other business disciplines. an expansion of the editorial board is announced with the names of 14 new associate editors. finally, the synergy between the journal and the information systems society is once again reiterated",sambamurthy,101287/isre10600090,,,info syst res,"Sambamurthy, Vallabh"
id_1000053;id_1004965,id_1004965,article,editorial notes,2006,17,3,197,"information systems research continues to grow with submission increases, in no small part due to greater interest in the journal from asian academics. the journal welcomes manuscripts on important and interesting phenomena from the global community of is scholars. a new special issue on flexible and distributed information systems development is announced",sambamurthy,101287/isre10600099,,,info syst res,"Sambamurthy, Vallabh"
id_1000053;id_1004965,id_1000053,article,editorial notes,2011,22,1,1-4,,agarwal,101287/isre11100355,,,info syst res,"Agarwal, Ritu"
id_1000053;id_1004966,id_1000053,article,editorial notes,2011,22,1,1-4,,agarwal,101287/isre11100355,,,info syst res,"Agarwal, Ritu"
id_1000053;id_1004966,id_1004966,article,editorial notes,2007,18,1,1-3,"the performance of the journal in 2006 is reviewed. editorial transitions, including the appointment of new senior and associate editors are described. finally, proposals for a new special issue are invited. these proposals should focus on and highlight emerging, interdisciplinary research on novel and underresearched phenomena and must adhere to the guidelines developed for the journal",sambamurthy,101287/isre10700117,,,info syst res,"Sambamurthy, Vallabh"
id_1000053;id_1004967,id_1004967,article,editorial notes,2007,18,2,123-124,"two issues and opinions articles are being published in this issue to stimulate communitywide reflection on enhancing our teaching offerings. further, the journal also announces a new special issue on digital systems and competition",sambamurthy,101287/isre10700128,,,info syst res,"Sambamurthy, Vallabh"
id_1000053;id_1004967,id_1000053,article,editorial notes,2011,22,1,1-4,,agarwal,101287/isre11100355,,,info syst res,"Agarwal, Ritu"
id_1000053;id_1004971,id_1004971,article,editorial notes,2008,19,4,397-399,"the performance of the journal is reviewed and metrics for 2008 are presented. in addition, key editorial transitions are highlighted",sambamurthy,101287/isre10800213,,,info syst res,"Sambamurthy, Vallabh"
id_1000053;id_1004971,id_1000053,article,editorial notes,2011,22,1,1-4,,agarwal,101287/isre11100355,,,info syst res,"Agarwal, Ritu"
id_1000053;id_1004972,id_1004972,article,editorial notes,2009,20,1,1,new appointments to the editorial board are discussed in this issue,sambamurthy,101287/isre10900234,,,info syst res,"Sambamurthy, Vallabh"
id_1000053;id_1004972,id_1000053,article,editorial notes,2011,22,1,1-4,,agarwal,101287/isre11100355,,,info syst res,"Agarwal, Ritu"
id_1000053;id_1004973,id_1004973,article,editorial notes,2009,20,4,481-483,"the performance of the journal is reviewed and metrics for 2009 are presented. in addition, key editorial transitions are highlighted",sambamurthy,101287/isre10900263,,,info syst res,"Sambamurthy, Vallabh"
id_1000053;id_1004973,id_1000053,article,editorial notes,2011,22,1,1-4,,agarwal,101287/isre11100355,,,info syst res,"Agarwal, Ritu"
id_1000053;id_1004974,id_1000053,article,editorial notes,2011,22,1,1-4,,agarwal,101287/isre11100355,,,info syst res,"Agarwal, Ritu"
id_1000053;id_1004974,id_1004974,article,editorial notes,2010,21,4,661-664,"the performance of the journal is reviewed, and metrics for 2010 are presented. in addition, key editorial transitions are highlighted",sambamurthy,101287/isre11000333,,,info syst res,"Sambamurthy, Vallabh"
id_1000054;id_1000055,id_1000054,article,editorial notes,2011,22,2,213-214,,agarwal,101287/isre11100369,,,info syst res,"Agarwal, Ritu"
id_1000054;id_1000055,id_1000055,article,editorial notes reflections year 12011 retrospective,2011,22,4,685-686,,agarwal,101287/isre11100403,,,info syst res,"Agarwal, Ritu"
id_1000054;id_1000056,id_1000054,article,editorial notes,2011,22,2,213-214,,agarwal,101287/isre11100369,,,info syst res,"Agarwal, Ritu"
id_1000054;id_1000056,id_1000056,article,editorial notes,2012,23,4,1087-1092,,agarwal,101287/isre11200458,,,info syst res,"Agarwal, Ritu"
id_1000054;id_1000057,id_1000057,article,editorial notes,2013,24,1,1-2,,agarwal,101287/isre20130476,,,info syst res,"Agarwal, Ritu"
id_1000054;id_1000057,id_1000054,article,editorial notes,2011,22,2,213-214,,agarwal,101287/isre11100369,,,info syst res,"Agarwal, Ritu"
id_1000054;id_1000058,id_1000058,article,editorial notes,2013,24,4,,"in this end of the year editorial commentary isrs accomplishments for 2013 are summarized. i recognize the contribution of members of the editorial board who are retiring and welcome new editorial team members. winners of the annual isr awards for 2012, including best paper, ae of the year, and reviewer of the year are acknowledged and congratulated. an overview of changes to the journals mission for 2014 is presented. the commentary closes with a discussion of papers in this issue. the research commentaries, articles, and notes span a broad gamut of research domains and theoretical traditions, ranging from digital networks, to information technology value, to online communities, to the design of software for games. the papers also exhibit considerable methodological diversity, including econometric analyses, qualitative approaches, and analytical modeling",agarwal,101287/isre20130507,,,info syst res,"Agarwal, Ritu"
id_1000054;id_1000058,id_1000054,article,editorial notes,2011,22,2,213-214,,agarwal,101287/isre11100369,,,info syst res,"Agarwal, Ritu"
id_1000054;id_1000059,id_1000054,article,editorial notes,2011,22,2,213-214,,agarwal,101287/isre11100369,,,info syst res,"Agarwal, Ritu"
id_1000054;id_1000059,id_1000059,article,editorial notes,2014,25,4,667-668,,agarwal,101287/isre20140559,,,info syst res,"Agarwal, Ritu"
id_1000054;id_1000060,id_1000054,article,editorial notes,2011,22,2,213-214,,agarwal,101287/isre11100369,,,info syst res,"Agarwal, Ritu"
id_1000054;id_1000060,id_1000060,article,editorial notes,2015,26,4,637-638,,agarwal,101287/isre20150616,,,info syst res,"Agarwal, Ritu"
id_1000054;id_1000062,id_1000054,article,editorial notes,2011,22,2,213-214,,agarwal,101287/isre11100369,,,info syst res,"Agarwal, Ritu"
id_1000054;id_1000062,id_1000062,article,editorial notes,2016,27,4,665-667,,agarwal,101287/isre20160686,,,info syst res,"Agarwal, Ritu"
id_1000054;id_1000589,id_1000054,article,editorial notes,2011,22,2,213-214,,agarwal,101287/isre11100369,,,info syst res,"Agarwal, Ritu"
id_1000054;id_1000589,id_1000589,article,editorial notes,2000,11,3,,,benbasat,101287/isre113012205,,,info syst res,"Benbasat, Izak"
id_1000054;id_1000590,id_1000590,article,editorial notes,2000,11,4,,,benbasat,101287/isre114011870,,,info syst res,"Benbasat, Izak"
id_1000054;id_1000590,id_1000054,article,editorial notes,2011,22,2,213-214,,agarwal,101287/isre11100369,,,info syst res,"Agarwal, Ritu"
id_1000054;id_1003008,id_1003008,article,editorial notes,2004,15,1,1-2,this month we welcome this years new associate editors and say thanks to those who are finishing their terms,kemerer,101287/isre10400018,,,info syst res,"Kemerer, Chris F."
id_1000054;id_1003008,id_1000054,article,editorial notes,2011,22,2,213-214,,agarwal,101287/isre11100369,,,info syst res,"Agarwal, Ritu"
id_1000054;id_1003009,id_1000054,article,editorial notes,2011,22,2,213-214,,agarwal,101287/isre11100369,,,info syst res,"Agarwal, Ritu"
id_1000054;id_1003009,id_1003009,article,editorial notes,2004,15,2,109,"we are now halfway through my final year as editor in chief of isr, and i am happy to report some good news with regards to turnaround time at the journal",kemerer,101287/isre10400025,,,info syst res,"Kemerer, Chris F."
id_1000054;id_1003010,id_1000054,article,editorial notes,2011,22,2,213-214,,agarwal,101287/isre11100369,,,info syst res,"Agarwal, Ritu"
id_1000054;id_1003010,id_1003010,article,editorial notes,2004,15,3,215,this month marks the announcement of some forthcoming changes in the editorial board of information systems research,kemerer,101287/isre10400033,,,info syst res,"Kemerer, Chris F."
id_1000054;id_1003011,id_1003011,article,editorial notes,2004,15,4,311-315,"this issue marks the end of the third and last year of my term as editorinchief of isr. three years ago i wrote an editorial for the first issue that set the tone and immediate goals for the journal, summarized as follows isr has established itself as one of a small set of toptier academic journals in the information systems discipline. editorial policy changes have been designed to strengthen a number of aspects of the journal, particularly the timeliness of the work published, without having a negative impact on the journals reputation for publishing highquality work isr website 2002. looking back at the past three years, these goals have been metwe have decreased turnaround time by more than 50, and the journals ratings are as strong as or stronger than they were before. in this editorial note i will highlight our current processes and provide some data regarding the journals progress over the last three years",kemerer,101287/isre10400038,,,info syst res,"Kemerer, Chris F."
id_1000054;id_1003011,id_1000054,article,editorial notes,2011,22,2,213-214,,agarwal,101287/isre11100369,,,info syst res,"Agarwal, Ritu"
id_1000054;id_1004959,id_1004959,article,editorial notes,2005,16,1,1-5,"this editorial describes the journals philosophy to encourage a diversity of submissions to information systems research. while acknowledging the contributions of previous editorsinchief, new initiatives are introduced. in particular, the journal encourages submission of research notes and will commission an annual special issue on a novel topic of significance to the information systems community. editorial changes to the board are discussed and the incoming senior editors and associate editors are introduced",sambamurthy,101287/isre10500048,,,info syst res,"Sambamurthy, Vallabh"
id_1000054;id_1004959,id_1000054,article,editorial notes,2011,22,2,213-214,,agarwal,101287/isre11100369,,,info syst res,"Agarwal, Ritu"
id_1000054;id_1004960,id_1004960,article,editorial notes,2005,16,2,107-108,"the synergistic relationship between information systems research and the information systems society is an important element of the information systems academic community. a call is made for members of the community to strengthen this relationship. further, the efforts of the founding generation of is academics in establishing the is community are acknowledged. finally, a new senior editor is introduced",sambamurthy,101287/isre10500060,,,info syst res,"Sambamurthy, Vallabh"
id_1000054;id_1004960,id_1000054,article,editorial notes,2011,22,2,213-214,,agarwal,101287/isre11100369,,,info syst res,"Agarwal, Ritu"
id_1000054;id_1004961,id_1000054,article,editorial notes,2011,22,2,213-214,,agarwal,101287/isre11100369,,,info syst res,"Agarwal, Ritu"
id_1000054;id_1004961,id_1004961,article,editorial notes,2005,16,3,235-236,"this editorial announces a new special issue calling for research on the interplay between digital and social networks. today, both digital and social networks play a crucial role in the structure and conduct of economic activity. therefore, isr seeks to foster research on this important topic. we also note with sadness the passing of a valued member of the information systems community, a great colleague, and a former member of the editorial board of the journal. finally, a new senior editor is introduced",sambamurthy,101287/isre10500066,,,info syst res,"Sambamurthy, Vallabh"
id_1000054;id_1004962,id_1004962,article,editorial notes,2005,16,4,331-333,"this has been truly a momentous year for information systems research. submission volumes are up by more than 100 over the previous years. the accomplishments and the challenges facing the journal are reviewed here. changes to the editorial board, including the appointment of a new senior editor, are announced",sambamurthy,101287/isre10500076,,,info syst res,"Sambamurthy, Vallabh"
id_1000054;id_1004962,id_1000054,article,editorial notes,2011,22,2,213-214,,agarwal,101287/isre11100369,,,info syst res,"Agarwal, Ritu"
id_1000054;id_1004963,id_1004963,article,editorial notes,2006,17,1,1-2,"we announce the appointment of 17 new associate editors for the journal. further, the journal has now migrated to an online system for the submission and review of manuscripts. the system is called manuscript central httpmc.manuscriptcentral.comisr and is similar to the system in use for other informs journals. finally, proposals for a new special issue are invited. these proposals should focus on, and highlight emerging, interdisciplinary research on novel and underresearched phenomena and must adhere to the guidelines developed for the journal",sambamurthy,101287/isre10600085,,,info syst res,"Sambamurthy, Vallabh"
id_1000054;id_1004963,id_1000054,article,editorial notes,2011,22,2,213-214,,agarwal,101287/isre11100369,,,info syst res,"Agarwal, Ritu"
id_1000054;id_1004964,id_1000054,article,editorial notes,2011,22,2,213-214,,agarwal,101287/isre11100369,,,info syst res,"Agarwal, Ritu"
id_1000054;id_1004964,id_1004964,article,editorial notes,2006,17,2,105-106,"we introduce a new type of article, issues and opinions, in this issue. the first article presents an analysis of the publishing opportunities for information systems research in the premier outlets and compares it with the opportunities in other business disciplines. an expansion of the editorial board is announced with the names of 14 new associate editors. finally, the synergy between the journal and the information systems society is once again reiterated",sambamurthy,101287/isre10600090,,,info syst res,"Sambamurthy, Vallabh"
id_1000054;id_1004965,id_1004965,article,editorial notes,2006,17,3,197,"information systems research continues to grow with submission increases, in no small part due to greater interest in the journal from asian academics. the journal welcomes manuscripts on important and interesting phenomena from the global community of is scholars. a new special issue on flexible and distributed information systems development is announced",sambamurthy,101287/isre10600099,,,info syst res,"Sambamurthy, Vallabh"
id_1000054;id_1004965,id_1000054,article,editorial notes,2011,22,2,213-214,,agarwal,101287/isre11100369,,,info syst res,"Agarwal, Ritu"
id_1000054;id_1004966,id_1000054,article,editorial notes,2011,22,2,213-214,,agarwal,101287/isre11100369,,,info syst res,"Agarwal, Ritu"
id_1000054;id_1004966,id_1004966,article,editorial notes,2007,18,1,1-3,"the performance of the journal in 2006 is reviewed. editorial transitions, including the appointment of new senior and associate editors are described. finally, proposals for a new special issue are invited. these proposals should focus on and highlight emerging, interdisciplinary research on novel and underresearched phenomena and must adhere to the guidelines developed for the journal",sambamurthy,101287/isre10700117,,,info syst res,"Sambamurthy, Vallabh"
